"code_id","code_type","label","definition"
"strategy-classification","observation_type","Strategy Classification","Classifies the strategic positioning or approach described in the study"
"viability-prediction","observation_type","Viability Prediction","A forward-looking prediction about a technology or entity made at study time"
"actual-outcome","observation_type","Actual Outcome","What actually happened after the study; based on post-hoc research"
"technology-assessment","observation_type","Technology Assessment","Evaluation of a specific technology's features or capabilities"
"benchmark-result","observation_type","Benchmark Result","A quantitative performance measurement or benchmark"
"framework-factor","observation_type","Framework Factor","A structural or environmental factor identified within an analytical framework"
"market-data","observation_type","Market Data","Quantitative or qualitative market share or position data"
"expert-opinion","observation_type","Expert Opinion","Analyst or expert qualitative judgment or recommendation"
"high","confidence","High Confidence","Finding is well-supported by explicit text or authoritative post-hoc sources"
"medium","confidence","Medium Confidence","Finding is plausible but based on inference or partial evidence"
"low","confidence","Low Confidence","Finding is speculative or based on limited evidence"
"expert-assessment","methodology_code","Expert Assessment","Aberdeen analyst assessment based on product review and industry knowledge"
"vendor-claim","methodology_code","Vendor Claim","Claim made by IBM or Lotus in product documentation or briefings"
"historical-record","methodology_code","Historical Record","Post-hoc fact established from authoritative secondary sources"
"expert-forecast","methodology_code","Expert Forecast","Forward-looking prediction made by Aberdeen analysts"
"vendor-analysis","methodology_code","Vendor Analysis","Structured analysis of vendor product strategy"
"analyst-opinion","methodology_code","Analyst Opinion","Direct qualitative recommendation by Aberdeen analyst"
