filename,page,sha1,size_bytes,labels_on_page
figure_001.png,4,cae8711b09a6f3d39a3fb11e31909449de70534a,327075,1
figure_002.png,8,a34291b3fae037d5e02633bbe7c3194febf105a6,139097,1;2;3;4;5;6;7;1;2;3;4;5;6;7
figure_003.png,9,72e50f57c8b97c584ba95a5028b64a827f9461fd,377682,1
figure_004.png,10,915dba627bcc657034e9de504f4aeb7ace90da8d,202607,1;2
figure_005.png,11,f70523cf24658da888bfa8c92e4b07817a65d37c,162915,2;3;3
figure_006.png,12,a741f0d0b353b907a4c845ef817c8c0d85f0a9df,214251,3;3;2;3
figure_007.png,13,5c7ed0c3b6cdfe87db5559e871ba6e212aa115a7,236533,4
figure_008.png,14,2aacf28b54000e6a472248bdd8a7307c9824c225,257454,5;7
figure_009.png,15,96816cdff2f05f1bf8c9a7187db6a20977529cd6,122564,6;7
figure_010.png,16,72824115f10f116c7762765db61a5743fecc42c5,260286,8;8
figure_011.png,18,145ac207fbcce71d48006969a8ee742963507e9c,273599,1
figure_012.png,20,7afaa8f4fca8bbba9dc96d24be8688ec1a930580,327089,2;2
figure_013.png,22,201b4a13df0810ba58e1b81ee583a373af8ff8ba,246168,9;9
figure_014.png,23,a73144df1ef6caafeeda98cb81d369deb9800320,218801,10;3;4
figure_015.png,24,84fc89d4b421d6cddbb5191e753edf061a381dc3,307796,3;4
figure_016.png,27,794a4560166cc06f51c27238e378b1bfb945cb71,288622,6
