,,,,,,,,
Step,Project Activity ,,Analyst Output,,Task Time,,,Analyst Skill Set 
,,,,,,,,
Step 1,"Collect Information on the Market                                                                    Information can be obtained from  multiple sources that may include:  Supplier's internal marketing material, supplier's website, review of S1 information for companies that are public, on-line sources e.g. MSN investor.com / Quicken.com.  Additionally, analysts should review & analyze additional documentaion on the supplier's products/services from trade publications, financial analyst reports, chat rooms and competitor's web sites.  ",,Preparation for on-site meeting with client.,,1/2 day,,,Research Associate
,"1A - Market Overview:                                                                                             Perform a baseline analysis of the client's market to include market identification, current trends, segmentation, factors fueling and limiting growth, and potential new entrants into the markets. Client may use this information to drive primary market research services.",,*Research information and complete market overview template.,, ,,,
,"1B - Competitive Analysis:                                                                            Conduct a comprehensive overview of the client's competitive landscape to include players in the market, key differentiating factors of competitors and how they are positioned in the market.  Information captured is critical ""groundwork"" that is used for product positioning strategy.",,*Conduct SWOT Analysis on competitiors.                                                *Complete Competitive analysis template completed.,, ,,, *Demonstrative ability in caputuring data relatating to the client's competition.  Ability to conduct SWOT anlaysis.
,"1C - Product Analysis:                                                                                                      Captures information on technology in regards to such product attributes as scalability, flexibility, extensibility, usability, industry acceptance, efficiency, integration, technological innovation, reliability, manageability, security, etc.",,*SWOT analysis of product.                                         *Research information on product and complete product attributes template.,, ,,,*Knowledge of 
,1D - Market Trends Analysis                                   ,,*Research information on current positioning and complete product positioning template.,, ,,,
,1E - Corporate Presentation:  ,,Review corporate presentation,,,,,
,,,,,,,,
,,,,,,,,
Step 2,Meet with the Client On-Site                                    (Agenda)                                                           ,,,,1 Day (6 hours),,,
,,,,,,,,
,I.  Introduction / Get Acquainted,,Discussion with client on-site.,,,,,
,,,,,,,,
,II.  Present  Market Overview: Aberdeen's baseline on market                     -What market does the customer say they are in?                                        -What are the current market dynamics?                                                                     -Review market sizing.,,Open discussion on-site with client.,,,,,
,,,,,,,,
,III.  Present Market Attractiveness                                                               -What market is the client going after? Is this the best market to go after?                                                                -Is the client addressig the right market in the right way with the right amount of breath?,,Lead an interactive dialogue discussion with the client that reviews what ,,,,,
,IV.  Positioning Strategy with Client                                                ,,Review corporate presentation on-site with client and allow client to elaborate on presenation in with their own words.  Provide critique of presentation.,,,,,
,V.  Messaging & Communications,,"Lead a discussion with the client as to what the best communication /messaging should be given Aberdeen's understanding of the competition and the current market conditions.  Discuss and assess the clients communication strategies to include advertising, trade, media.  ",,,,,
,VI. Channel & Partnership ,,Lead an a discussion with the client as focusing on how the client plans t sell their product.  What other industry partners would improve their valule proposition and the clients ability to sell?,,,,,
,VII.  Review & Next Steps,,"Summarize the strenghs and weaknesses, opportunities and challenges and provide the client with immediate recommendations.  Hint at next steps with Aberdeen.",,,,,
, ,,,,,,,
,,,,,,,,
Step 3,Prepare 4-6 Page Assessment Report for Client Management:                                                  ,," Your analysis should be based on your experience as well as the data collected.  Additionally, your analysis should demonstrate vision and thought leadership in the clients market.                        I",,,,,
