,,,,,,
Project Activity ,,Analyst Output,,Task Time,,Analyst Skill Set 
,,,,,,
Step 1 - Preparation                                                                                       Review current content information with the client as well as          ,,*Teleconference call with client to identify areas where additional data is needed.,,2 hours,,
"Step 2 - Data Collection                                                          Execute supplemental data collection as identified in step 1.  This includes reviewing multiple sources that may include:  Supplier's internal marketing material, supplier's website, review of S1 information for companies that are public, on-line sources e.g. MSN investor.com / Quicken.com.  Trade publications, financial anlyst reports, chat rooms and competitor websites are all additional sources of information you can use.  ",,"*On-site meeting with client to review clients technologyk, strategy, business plan and operating plans.",,1 day,,
"1A - Market Overview:                                                                                             Perform a baseline analysis of the client's market to include market identification, current trends, segmentation, factors fueling and limiting growth, and potential new entrants into the markets. Client may use this information to drive primary market research services.",,*Research information and complete market overview template.,,1/2 day,,
"1B - Competitive Analysis:                                                                            Conduct a comprehensive overview of the client's competitive landscape to include players in the market, key differentiating factors of competitors and how they are positioned in the market.  Information captured is critical ""groundwork"" that is used for product positioning strategy.",,*Conduct SWOT Analysis on competitiors.                                                *Complete Competitive analysis template completed.,,1/2 day,, *Demonstrative ability in caputuring data relatating to the client's competition.  Ability to conduct SWOT anlaysis.
"1C - Product Analysis:                                                                                                      Captures information on technology in regards to such product attributes as scalability, flexibility, extensibility, usability, industry acceptance, efficiency, integration, technological innovation, reliability, manageability, security, etc.",,*SWOT analysis of product.                                         *Research information on product and complete product attributes template.,,1/2 day,,*Knowledge of 
1D - Current Position Analysis:                                       ,,*Research information on current positioning and complete product positioning template.,,1/2 day,,
,,,,,,
,,,,,,
Step 2 - Analysis                                                                                               Analyze all pertinent data and formulate analysis that demonstrates vision and thought leadership.   I,, ,,,,
,,,,,,
2A - Affect of tends on completeness ,,"*Various but may include charts, graphs, etc.",,,,
,,,,,,
2B -Affect of Current Position,,"*Various but may include charts, graphs, etc.",,,,
,,,,,,
2C - ,,"*Various but may include charts, graphs, etc.",,,,
2D - ,,,,,,
,,,,,,
,,,,,,
 ,,,,,,
,,,,,,
"Step 3 - Prepare Your Deliverables:                                       Your analysis should be based on your experience as well as the data collected.  Additionally, your analysis should demonstrate vision and thought leadership in the clients market.                        I",,,,,,
