"entity_id","entity_name","entity_type","sector","status","successor","years_active","study_id","notes"
"best-buy","Best Buy (stores)","company","PC-retail","[DEFERRED]","[DEFERRED]","1966-present","dct-weekly-2003-07-26","Retailer covered in weekly commentary 2003-07-26"
"bestbuy-com","BestBuy.com","company","PC-retail","[DEFERRED]","[DEFERRED]","2000-present","dct-weekly-2003-07-26","Retailer covered in weekly commentary 2003-07-26"
"circuit-city","Circuit City (stores)","company","PC-retail","[DEFERRED]","[DEFERRED]","1949-2009","dct-weekly-2003-07-26","Retailer covered in weekly commentary 2003-07-26"
"circuitcity-com","CircuitCity.com","company","PC-retail","[DEFERRED]","[DEFERRED]","1999-2012","dct-weekly-2003-07-26","Retailer covered in weekly commentary 2003-07-26"
"compusa","CompUSA","company","PC-retail","[DEFERRED]","[DEFERRED]","1984-2012","dct-weekly-2003-07-26","Retailer covered in weekly commentary 2003-07-26"
"hpshopping","HP Shopping","company","PC-retail","[DEFERRED]","[DEFERRED]","1999-present","dct-weekly-2003-07-26","Retailer covered in weekly commentary 2003-07-26"
"gateway-online","Gateway.com","company","PC-retail","[DEFERRED]","[DEFERRED]","1995-2007","dct-weekly-2003-07-26","Retailer covered in weekly commentary 2003-07-26"
"sony-online","Sony Style","company","PC-retail","[DEFERRED]","[DEFERRED]","2000-present","dct-weekly-2003-07-26","Retailer covered in weekly commentary 2003-07-26"
"dell","Dell Computer","company","PC-manufacturing","[DEFERRED]","[DEFERRED]","1984-present","dct-weekly-2003-07-26","PC manufacturer discussed in weekly commentary 2003-07-26"
"hewlett-packard","Hewlett-Packard","company","PC-manufacturing","[DEFERRED]","[DEFERRED]","1939-present","dct-weekly-2003-07-26","PC manufacturer discussed in weekly commentary 2003-07-26"
"compaq","Compaq Computer","company","PC-manufacturing","[DEFERRED]","[DEFERRED]","1982-2013","dct-weekly-2003-07-26","PC manufacturer discussed in weekly commentary 2003-07-26"
"gateway-inc","Gateway, Inc.","company","PC-manufacturing","[DEFERRED]","[DEFERRED]","1985-2007","dct-weekly-2003-07-26","PC manufacturer discussed in weekly commentary 2003-07-26"
"sony","Sony","company","PC-manufacturing","[DEFERRED]","[DEFERRED]","1946-present","dct-weekly-2003-07-26","PC manufacturer discussed in weekly commentary 2003-07-26"
"emachines","eMachines","company","PC-manufacturing","[DEFERRED]","[DEFERRED]","1998-2013","dct-weekly-2003-07-26","PC manufacturer discussed in weekly commentary 2003-07-26"
"intel","Intel Corporation","company","semiconductor","[DEFERRED]","[DEFERRED]","1968-present","dct-weekly-2003-07-26","Industry entity referenced in weekly commentary 2003-07-26"
"amd","Advanced Micro Devices","company","semiconductor","[DEFERRED]","[DEFERRED]","1969-present","dct-weekly-2003-07-26","Industry entity referenced in weekly commentary 2003-07-26"
