,,,,,,
,Senior Exec.,VP,Director,Sr Analyst,Analyst,
Headcount 7/1/01,2,7,25,8,4,
"Annual Average                    (Base, MBO, Benefits)",199205,157143,125067,102765,92955,
,,,,,,
Per Diem Cost,766.17,604.4,481.03,395.25,357.52,
,,,,,,
Add-On Day Rate,10000,6000,4500,4500,3000,
Add-On Day Base Cost %,7.6617%,10.0733333333333%,10.6895555555556%,8.78333333333333%,11.9173333333333%,
Add-On Day On-Overplan Cost %  [Assumes analyst is over plan],27.6617%,30.0733333333333%,30.6895555555556%,28.7833333333333%,31.9173333333333%,
Contribution Margin $,7233.83,4195.6,3118.97,3204.75,2042.48,
Contribution Margin %,72.3383%,69.9266666666667%,69.3104444444445%,71.2166666666667%,68.0826666666667%,
,,,,,,
,,,,,,
5 consulting days per quarter,,,,,,
GMR,50000,30000,22500,22500,15000,5
Contribution Margin $,36169.15,20978,15594.85,16023.75,10212.4,
Company Rollup GMR,100000,210000,562500,180000,60000,1112500
Company Rollup Contribution $,72338.3,146846,389871.25,128190,40849.6,778095.15
,,,,,,
6 consulting days per quarter,,,,,,
GMR,60000,36000,27000,27000,18000,6
Contribution Margin $,43402.98,25173.6,18713.82,19228.5,12254.88,
Company Rollup GMR,120000,252000,675000,216000,72000,1335000
Company Rollup Contribution $,86805.96,176215.2,467845.5,153828,49019.52,933714.18
