,,,,,,,
,,,,,,,
,,,,,,,
Hours per Year,8766,,,,,,
MaXLine Years / Milllion Hours MTBF,114.077116130504,83.3333333333333%,,,,,
FC Years / 1.2 Million Hours MTBF,136.892539356605,,,,,,
,GB,80% loading,Disks Per TB,RAID Multiplier,RAID Drives / TB,System MTBF (Years),Failure Ratio
FC disk drive,73,58.4,17.1232876712329,2,34.2465753424658,3.99726214921287,
MaXLine disk,250,200,5,2,10,11.4077116130504,0.3504
,,,,,,,
FC disk drive,73,58.4,17.1232876712329,5,85.6164383561644,1.59890485968515,
MaXLine disk,250,200,5,5,25,4.56308464522017,0.3504
,,,,,,,
FC disk drive,73,58.4,17.1232876712329,3,51.3698630136986,2.66484143280858,
MaXLine disk,250,200,5,3,15,7.60514107536695,0.3504
,,,,,,,
FC disk drive,73,58.4,17.1232876712329,1,17.1232876712329,7.99452429842574,
MaXLine disk,250,200,5,1,5,22.8154232261008,0.3504
,,,,,,,
FC disk drive,73,58.4,17.1232876712329,2,34.2465753424658,3.99726214921287,
MaXLine disk,300,240,4.16666666666667,2,8.33333333333333,13.6892539356605,0.292
,,,,,,,
FC disk drive,146,116.8,8.56164383561644,2,17.1232876712329,7.99452429842574,
MaXLine disk,300,240,4.16666666666667,2,8.33333333333333,13.6892539356605,0.584
,,,,,,,
FC disk drive,36.5,29.2,34.2465753424658,5,171.232876712329,0.799452429842574,
MaXLine disk,300,240,4.16666666666667,5,20.8333333333333,5.4757015742642,0.146
,,,,,,,
"In all cases, MaXLine has superior system-level MTBF per TB",,,,,,,
