"code_id","code_type","label","definition"
"ANALYST-JUDGMENT","methodology_code","Analyst Judgment","Qualitative assessment based on analyst expertise and market observation"
"WEB-RESEARCH","methodology_code","Web Research","Outcome determined through post-hoc web research and secondary sources"
"VENDOR-DATA","methodology_code","Vendor Data","Data sourced directly from vendor disclosures or press releases"
"SURVEY","methodology_code","Survey","Data from structured survey of enterprises or users"
"BENCHMARK","methodology_code","Benchmark","Performance data from standardized benchmark tests"
"strategy-classification","observation_type","Strategy Classification","Classifies a vendor or enterprise strategy or approach"
"viability-prediction","observation_type","Viability Prediction","Forward-looking prediction about technology or vendor viability"
"actual-outcome","observation_type","Actual Outcome","Documented actual result of a prior prediction or trend"
"technology-assessment","observation_type","Technology Assessment","Evaluation of a technology's capabilities or maturity"
"benchmark-result","observation_type","Benchmark Result","Quantitative performance measurement from a formal benchmark"
"framework-factor","observation_type","Framework Factor","Component or factor in an analytical framework presented in the study"
"market-data","observation_type","Market Data","Quantitative or qualitative market size/share/trend data"
"expert-opinion","observation_type","Expert Opinion","Named analyst or expert viewpoint without formal data backing"
