filename,page,sha1,size_bytes,labels_on_page
figure_001.png,7,2948d3da642d0d4691fd7b06eaea2b0522a0dbec,100229,1;2;3;4;5;1;2;3;4
figure_002.png,9,b09d8a43726d6856c1c8c3f7e8a2d5369c59dec9,266813,1
figure_003.png,11,bc2405e9fcfaa1c339e26756891077806e2b8a7e,259542,2
figure_004.png,12,c0dc5bf4c5334358524eb6f67d81db7fe246e48f,268187,3
figure_005.png,13,e6909c46b67d9d3941cf1e066764a28e9b64ccec,190162,4
figure_006.png,14,e2145f800cd13ab8ab75c8cf19227a3f8f1018ac,277008,1
figure_007.png,16,201593e0c9de760492db27eeb2b1f532545b8964,316202,2;2
figure_008.png,17,85d377bb45b9d3465b35dc44f68618d04d9e672e,314907,3
figure_009.png,18,36adcdebc7ac05ee95306c1dfce54292eda8ef43,305167,4
figure_010.png,20,f6634d99b1d28f1123841e56455e6a204621e79a,263884,5
