# Source: 2002 DCT Pubs.xls

## Sheet: Sheet1 (436 rows x 5 cols)
[r0] 2002 PUBLICATIONS |  |  |  | 
[r1] # | DATE | TITLE | PUB TYPE | ANALYST
[r2] 1 | 2002-01-02 | Flexi’s FMS Service:  Pioneering Accounting Outsourcing for Today’s Complex Businesses (FlexiInternational) | Profile | Yong, Alan
[r3] 9 | 2002-01-02 | Creating a New Reseller Channel for Tommy Hilfiger (eGroupOne) | OnSite | Allen, Kent
[r4] 74 | 2002-03-02 | Enlightened e-Service:  The Key to Successfully Balancing Customer Growth and Lowering Operational Costs (Quantum/Broad Daylight) | Report OnSite | Allen, Kent
[r5] 90 | 2002-03-02 | Moving Beyond One-Off e-Mail Campaigns (Quris) | Impact | Allen, Kent
[r6] 141 | 2002-05-02 | From the Sell-Side Looking in, Part 1:  Making Sense of the CRM Jungle | InSight | Allen, Kent
[r7] 142 | 2002-05-02 | From the Sell-Side Looking in, Part 1:  Making Sense of the Channel Conundrum | InSight | Allen, Kent
[r8] 176 | 2002-06-02 | DoubleClick Assumes the Advertising technology Leadership Position:  Just Lies --- Damn Lies --- and Stats, or Is Real Progress Being Made | Perspective | Allen, Kent
[r9] 222 | 2002-07-02 | E-Mail Marketing: The Last Mile of CRM?  | InSight | Allen, Kent
[r10] 235 | 2002-08-02 | Avitage! For the Visual Age of Selling (New Media Solutions) | Profile | Allen, Kent
[r11] 267 | 2002-08-02 | New Media Solutions, Inc. | Snapshot | Allen, Kent
[r12] 296 | 2002-09-02 | Aqueduct, Inc: Channeling Sharp's Aftermarket Goods and Current Product Information to Downstream Customers (Sharp) | OnSite | Allen, Kent
[r13] 297 | 2002-09-02 | Omaha Steaks and eOneGroup: Delivering Premium E-commerce from the Heartland of America | OnSite | Allen, Kent
[r14] 298 | 2002-09-02 | Ironside Rigs Tighter Order Processing Flows for Day-Brite Capri Omega | OnSite | Allen, Kent
[r15] 299 | 2002-09-02 | Extinguishing the Flames of Order Management and ERP Integration: HAHT Passes MSA's Smell Test | OnSite | Allen, Kent
[r16] 302 | 2002-09-02 | What Works: Sell-Side/Demand Chain Best Practices: Empowering the Multi-Channel Buyer | Report | Allen, Kent
[r17] 320 | 2002-12-02 | Time to Get Serious About the Online Channel | InSight | Allen, Kent
[r18] 321 | 2002-12-02 | Silverpop | Snapshot | Allen, Kent
[r19] 323 | 2002-12-02 | Quantifying the Vision: Building the Case for Project Collaboration in the Construction Industry | White Paper | Allen, Kent
[r20] 147 | 2002-05-02 | PeopleSoft Takes Its Case Directly to the CEO | InSight | Alschuler, David
[r21] 186 | 2002-06-02 | SAP Continues to Set Pace in Enterprise Space | Perspective | Alschuler, David
[r22] 269 | 2002-09-02 | Survivor 4: The Enterprise Applications Software Market? | Perspective | Alschuler, David
[r23] 42 | 2002-03-02 | What Works in Europe:  Success Stories in Customer Relationship Management | Report | Appenzeller, Ute
[r24] 43 | 2002-03-02 | HSBC Bank: Automated e-Mail with ‘Personal Touch’ Improves Customer Service (Amacis) | Report OnSite | Appenzeller, Ute
[r25] 44 | 2002-03-02 | Schleswag:  Integrated Call Center and Field Service Automation Improve Customer Support (Applix) | Report OnSite | Appenzeller, Ute
[r26] 45 | 2002-03-02 | FBTO:  Better Prediction of Customer Behavior Improves Marketing Campaign Yield (DataDistilleries) | Report OnSite | Appenzeller, Ute
[r27] 46 | 2002-03-02 | BUPA:  Maintaining Market Leadership in Britain’s Private Healthcare Insurance Sector (Point Info) | Report OnSite | Appenzeller, Ute
[r28] 47 | 2002-03-02 | Ericsson:  Simplifying Configure-to-Order Sales for Competitive Edge (Tacton) | Report OnSite | Appenzeller, Ute
[r29] 48 | 2002-03-02 | Cantonal Banks Switzerland:  Leading Member Banks into the Virtual Channel, Closer to a ‘360 Degree’ Customer View (UniQuare) | Report OnSite | Appenzeller, Ute
[r30] 86 | 2002-03-02 | BUPA:  Maintaining Market Leadership in Britain’s Private Healthcare Insurance Sector | Report OnSite | Appenzeller, Ute
[r31] 146 | 2002-05-02 | Where Financial Processes and Technologies Stand:  The Enterprise Reality | InSight | Arkhipov, Andrei
[r32] 176 | 2002-06-02 | Benchmarking Financial Operations Processes and Technologies | Report | Arkhipov, Andrei
[r33] 230 | 2002-07-02 | WebSideStory, Inc. | Snapshot | Arkhipov, Andrei
[r34] 231 | 2002-07-02 | Xign Corporation | Snapshot | Arkhipov, Andrei
[r35] 314 | 2002-09-02 | Wolverine World Wide Simplifies Its International Trade Finance Operations | OnSite | Arkhipov, Andrei
[r36] 317 | 2002-09-02 | alterna Technologies Group | Snapshot | Arkhipov, Andrei
[r37] 329 | 2002-10-02 | Best Practices in Streamlining the Financial Value Chain: Top Seven FVCM Implementations | Report | Arkhipov, Andrei
[r38] 362 | 2002-10-02 | CompUSA Gets a Tight Grip on Its Collection Activities | OnSite | Arkhipov, Andrei
[r39] 366 | 2002-10-02 | XRT Brings Real-Time, Enterprisewide Cash Flow Management into the Financial Value Chain | Profile | Arkhipov, Andrei
[r40] 23 | 2002-02-02 | Front-End Enablement:  Digital Cortex Offers Solution Providers a Productive, Capable Alternative to Back-End Integration (Anysoft) | Profile | Benett, Gordon
[r41] 24 | 2002-02-02 | Front-End Enablement:  Digital Cortex Transforms the User Interface into a Productive Programming Interface (Anysoft) | Profile | Benett, Gordon
[r42] 127 | 2002-04-02 | ColdFusion MX:  Raising the Return on Investment of Internet Application Development (Macromedia) | White Paper | Benett, Gordon
[r43] 209 | 2002-07-02 | Interoperability Brings Opportunities, Challenges to CRM (UAN) | Viewpoint | Benett, Gordon & Pombriant, Denis
[r44] 329 | 2002-12-03 | Flash Remoting MX: A Responsive Client-Server Architecture for the Web | White Paper | Bennett, Gordon
[r45] 49 | 2002-03-02 | Technology Forecasting Consortium:  2002 User Buying Intentions | Report | Bishop, Hugh
[r46] 138 | 2002-05-02 | A Star Is Born:  Accelerating IT Market Formation | Executive Viewpoint | Bishop, Hugh
[r47] 228 | 2002-07-02 | Worldwide CRM Spending: Forecast and Analysis 2001-2005 | Report | Bishop, Hugh
[r48] 233 | 2002-07-02 | Mobile Middleware: Adding Business Value to Handheld Devices | Report | Bishop, Hugh
[r49] 250 | 2002-08-02 | IT Spending Shows Signs of Stabilizing | InSight | Bishop, Hugh
[r50] 306 | 2002-09-02 | Technology Forecasting Consortium:  2002 User Buying Intentions Update | Report | Bishop, Hugh
[r51] 352 | 2002-10-02 | How to Survive in the Incremental Economy | Executive Viewpoint | Bishop, Hugh
[r52] 291 | 2002-11-02 | IT Spending Shows Encouraging Signs | InSight | Bishop, Hugh
[r53] 326 | 2002-12-02 | World IT Spending 2002-2006: Measuring the Incremental Recovery | Report | Bishop, Hugh
[r54] 159 | 2002-05-02 | Is a CRM Turnaround in Sight? | InSight | Bishop/Fantozzi
[r55] 177 | 2002-06-02 | Customer Relationship Management: Mid-Market Holds Surprises | Report | Bishop/Pombriant
[r56] 65 | 2002-03-02 | The Next B-to-B Gestalt:  Business Process Networks | Market Viewpoint | Brandel, Bill
[r57] 185 | 2002-06-02 | From Buildings to Bricks: SAP Delivers New Supply Chain Management Technology in Layers | Perspective | Brandel, Bill
[r58] 227 | 2002-07-02 | Transaction Networks: Efficient Enablers of B-to-B Interaction (GE Global Exchange Services) | Profile | Brandel, Bill
[r59] 256 | 2002-08-02 | GXS Gets Its Own Wings | Impact | Brandel, Bill
[r60] 260 | 2002-08-02 | Event Management: The Missing Link in Supply Chain Services | InSight | Brandel, Bill
[r61] 289 | 2002-09-02 | SynQuest Merger: Death Knell for the Event Management Market?  | Perspective | Brandel, Bill
[r62] 340 | 2002-10-02 | QRS: Delivering Collaborative Commerce Solutions for the Retail Industry | White Paper | Brandel, Bill
