"entity_id","entity_name","current_entity_type","current_sector","current_status","current_successor","proposed_entity_type","proposed_sector","proposed_status","proposed_successor","source_rule","confidence","review_notes"
"informix-software","Informix Software Inc.","information-technology","Enterprise Computing","[DEFERRED]","Siemens-Nixdorf","software-vendor","Database software","acquired","IBM (2001, $1B)","siemens_bleed + known_active_marked_dead","high","Informix was NEVER acquired by Siemens-Nixdorf. IBM bought the Informix database business for $1B in April 2001. The Siemens-Nixdorf string is a bleed. entity_type='information-technology' is vague; 'software-vendor' matches other DB vendor rows. sector='Enterprise Computing' -> 'Database software' aligns with Sybase Inc. + Oracle canonical. Status was legacy '[DEFERRED]' - now definitively 'acquired'."
"microsoft","Microsoft Corporation","information-technology","Software / Operating Systems","restructured","HP Inc. / Hewlett Packard Enterprise","information-technology","Software / Operating Systems","active","","compaq_hp_successor_bleed","high","Microsoft has never been acquired or restructured. This is a bleed from a DEC/Compaq/HP successor-fanout ingest bug. Keep entity_type/sector unchanged; only status + successor need fixing."
"microsoft-corporation","Microsoft Corporation","software-vendor","Information Technology","acquired","Oracle Corporation (1995)","software-vendor","Information Technology","active","","known_active_marked_dead","high","Microsoft was NOT acquired by Oracle in 1995 (or ever). This is a fanout bug on a Microsoft alias row (canonical per CANONICAL_IDS.md - so this row's metadata matters most). Keep entity_type/sector unchanged."
"intel","Intel Corporation","semiconductor","semiconductor / microprocessor","operating","Compaq (1998) then HP (2002)","semiconductor","semiconductor / microprocessor","active","","compaq_hp_successor_bleed","high","Intel is publicly traded and independent. Successor string is DEC-fanout bleed. Also normalize status='operating' -> 'active' for consistency with other vendor rows."
"intel-corporation","Intel Corporation","company","computing-industry","active","[DEFERRED]","company","computing-industry","active","","legacy_deferred_sentinel_on_active_entity","high","Intel has no successor. [DEFERRED] on a still-active entity's successor field is a legacy sentinel from before status semantics were locked. Clear to null (not 'Deferred Review' - the answer is definitively 'no successor'). Companion to the Phase E [DEFERRED] migration sweep."
"sybase","Sybase Inc","marketing-services","Database / Development Tools","dissolved","Compaq (1997); then HP (2002); technology lives on as HPE NonStop","software-vendor","Database / Development Tools","acquired","SAP AG (2010, $5.8B)","compaq_hp_successor_bleed + known_active_marked_dead","high","Sybase was acquired by SAP in July 2010 for $5.8B. entity_type='marketing-services' is nonsense (bleed from an unrelated row). Successor string is DEC-fanout bleed. Note the canonical sybase-inc row already has correct metadata - this fixes the alias to match. Will be merged into sybase-inc in Phase D."
"yahoo","Yahoo","corporation","information-technology","acquired","HP Inc. / HPE (2015 split)","corporation","information-technology","acquired","Verizon Media (2017) then Apollo Global Management (2021)","known_active_marked_dead","high","Yahoo's core business was acquired by Verizon in 2017 for $4.5B; Verizon Media (Yahoo + AOL) sold to Apollo Global Mgmt in 2021 for $5B. HP was never involved. Status='acquired' correct - only successor is wrong."
"stratus-technologies","Stratus Technologies","corporation","fault-tolerant computing","active (as of 2024)","Compaq (1998) then HP (2002)","corporation","fault-tolerant computing","active","","compaq_hp_successor_bleed","high","Stratus was NEVER acquired by Compaq. Stratus Technologies still operates independently making fault-tolerant systems. Bleed on successor field. Also normalize status='active (as of 2024)' -> 'active' for cleanliness."
"oracle-corporation","Oracle Corporation","Enterprise Customer","database & enterprise software","acquired","Accrue Software then JDA Software","software-vendor","database & enterprise software","active","","known_active_marked_dead","high","Oracle is publicly traded and independent. entity_type='Enterprise Customer' is nonsense on the CANONICAL Oracle row (per CANONICAL_IDS.md). This is the most critical Phase B fix - future queries about Oracle key off this row. successor 'Accrue Software then JDA Software' is a total bleed; Accrue and JDA are separate small companies with no relation to Oracle."
"ENT-S3-001","IBM Corporation — Software Solutions Division","Vendor","Computing Hardware / IT Services","Acquired","Compaq (1998); HP (2002)","Vendor","Software","Active","","compaq_hp_successor_bleed","medium","This row is a Pass-B placeholder for IBM's Software Solutions Division. IBM has never been acquired. Successor string is DEC-fanout bleed. sector='Computing Hardware / IT Services' doesn't match a Software Division; propose 'Software'. This row will be merged into 'ibm' canonical in Phase C-broad. medium confidence - Pete may prefer to defer this row to Phase C-broad and leave it as-is for now."
