study_id,proposed_pub_year,source_rule,needs_pete_review,source_file,date_field,title,candidate_years_found,notes
1997-nortel--transforming-business-by-po-3edae6,1997,,True,1997 Nortel_ Transforming Business By Powering The Enterprise pr.pdf,May 1997,Nortel: Transforming Business By Powering The Enterprise,,raw_text_not_found
1q05-dtp-best-practices-telecom012705a-0e3ad6,2005,,True,1q05-dtp-best_practices_telecom012705a.pdf,,==> picture [441 x 108] intentionally omitted <==,,no_year_in_window
1q05-dtp-ondemandsupplymgmt-012705b-fd896d,2006,,True,1q05-dtp-ondemandsupplymgmt_012705b.pdf,,==> picture [441 x 108] intentionally omitted <==,,no_year_in_window
1q05-dtp-pe-card-012805a-9f8ea1,2005,,True,1q05-dtp-pe_card_012805a.pdf,,==> picture [441 x 108] intentionally omitted <==,,no_year_in_window
1q05-ee-enterprisetalentmgmt-012705a-737075,2005,,True,1q05-ee-enterprisetalentmgmt_012705a.pdf,,==> picture [441 x 108] intentionally omitted <==,,no_year_in_window
1q05-ee-sox-compliance-automation-012705a-60ff9d,2005,raw_text_earliest_year,False,1q05-ee-sox_compliance_automation_012705a.pdf,,==> picture [441 x 109] intentionally omitted <==,2004;2005,
1q05-ee-storagegrowth-012805b-b446ce,2005,,True,1q05-ee-storagegrowth_012805b.pdf,,==> picture [441 x 108] intentionally omitted <==,,no_year_in_window
1q06-asset-20management-e1ca0f,2006,raw_text_earliest_year,False,1q06_asset%20management.pdf,,==> picture [441 x 108] intentionally omitted <==,2006,
1q06-ee-beyondpayforperformance-b12c3f,2006,,True,1q06-ee-beyondpayforperformance.pdf,,==> picture [441 x 95] intentionally omitted <==,,no_year_in_window
1q06-gsm-senblmtbm1q06-collateral-8c7e6c,2006,raw_text_earliest_year,False,1q06_gsm_senblmtbm1q06_collateral.pdf,,==> picture [441 x 95] intentionally omitted <==,2004,
1q06-gsm-ttcmwireless1q06-collateral-beabeb,2006,,True,1q06_gsm_ttcmwireless1q06_collateral.pdf,,==> picture [441 x 95] intentionally omitted <==,,no_year_in_window
1q06-industrialcontrolplatform-f59746,2006,,True,1q06_industrialcontrolplatform.pdf,,==> picture [441 x 108] intentionally omitted <==,,no_year_in_window
