# Prescience Salvage Trust Manifest Audit — 2026-06-14T13:42:45.384518
# ARCHIVE_ROOT=/Users/scott/Desktop/Archive
# CANONICAL_PROMPT_SHA256=(set)

[master] /Users/scott/Desktop/Archive/aberdeen-group-archive/_master_prescience_scores.csv: row_count=3761 parse_ok_rate=0.9968
[master] /Users/scott/Desktop/Archive/archive_masters/_master_prescience_scores.csv: row_count=4082 parse_ok_rate=0.9968
[wdir] /Users/scott/Desktop/Archive/prepared/08011974-195886/working: score_file=/Users/scott/Desktop/Archive/prepared/08011974-195886/working/scoreable_obs_v4.csv driver=None row_count=9
[wdir] /Users/scott/Desktop/Archive/prepared/09010002-18ee8a/working: score_file=/Users/scott/Desktop/Archive/prepared/09010002-18ee8a/working/entity_candidates.csv driver=None row_count=8
[wdir] /Users/scott/Desktop/Archive/prepared/09010004-25b35c/working: score_file=/Users/scott/Desktop/Archive/prepared/09010004-25b35c/working/entity_candidates.csv driver=None row_count=7
[wdir] /Users/scott/Desktop/Archive/prepared/09010005-d36601/working: score_file=/Users/scott/Desktop/Archive/prepared/09010005-d36601/working/entity_candidates.csv driver=None row_count=11
[wdir] /Users/scott/Desktop/Archive/prepared/09010006-f43488/working: score_file=/Users/scott/Desktop/Archive/prepared/09010006-f43488/working/entity_candidates.csv driver=None row_count=8
[wdir] /Users/scott/Desktop/Archive/prepared/09010007-2a8be4/working: score_file=/Users/scott/Desktop/Archive/prepared/09010007-2a8be4/working/entity_candidates.csv driver=None row_count=10
[wdir] /Users/scott/Desktop/Archive/prepared/09010008-931106/working: score_file=/Users/scott/Desktop/Archive/prepared/09010008-931106/working/entity_candidates.csv driver=None row_count=9
[wdir] /Users/scott/Desktop/Archive/prepared/10991290-4e6131/working: score_file=/Users/scott/Desktop/Archive/prepared/10991290-4e6131/working/skipped_obs_v3.csv driver=None row_count=9
[wdir] /Users/scott/Desktop/Archive/prepared/1996-electronic-commerce-06b0b5/working: score_file=/Users/scott/Desktop/Archive/prepared/1996-electronic-commerce-06b0b5/working/entity_candidates.csv driver=None row_count=3
[wdir] /Users/scott/Desktop/Archive/prepared/1998-software-ag-insurance-74c710/working: score_file=/Users/scott/Desktop/Archive/prepared/1998-software-ag-insurance-74c710/working/entity_candidates.csv driver=None row_count=5
