"tech_id","study_id"
"10-100-ethernet","dct-why-aberdeen-follows-pc-deals-2002"
"100vg","aberdeen-1996-hp-networking-vision-workgroups"
"10base-t","aberdeen-1996-hp-networking-vision-workgroups"
"15-inch-lcd","dct-pitch-2002-11-08-christmas"
"16pf-instrument","psk-personality-profile-2000-8be0a6"
"300mm-wafer","topic-semiconductor-practice-definition-2002"
"32-bit-minicomputer","stratus-corporate-overview-1982-11-a7e367"
"32-bit-minicomputer","volume-1-ch10-the-long-view-1966-2026"
"3270-terminal-emulation","aberdeen-1995-digital-multia"
"32bit-fault-tolerant-server","ee-times-stratus-tandem-fault-tolerant-1-42f6c7"
"32nm-process","2010-intel-vpro-daily-globe-6f615e"
"3com-accessbuilder","aberdeen-1997-3com-accelerates-remote-access-market"
"3com-impact-isdn","aberdeen-1997-3com-accelerates-remote-access-market"
"3d-vr-interface","1997-ca-s-unicenter-tng-framework-pk-apr-50d15f"
"3g-cellular","dct-webinar-nov-2002"
"3g-wireless","2003-aberdeen-group-free-research-aberdeen-insights-1-968e18"
"3g-wireless","dct-webinar-announcement-2002-11"
"3gio-pci","intel-infiband-wp--edit-psk-5-22f-a2c551"
"3space-viewer","aberdeen-1996-digitals-personal-workstation-new-markets-channels"
"450mm-wafer","topic-semiconductor-practice-definition-2002"
"4gl","nti-2-open-systems-1dd3af"
"4gl","nti-5-development-toolsets-0e71c5"
"4gl","psk-misc-speech-agendas-5965a3"
"4gl","volume-1-appendix-career-timeline"
"5-year-tco","tandem-tr-85-2-debitcredit-1985-ca207a"
"5-year-tco","volume-1-ch09-expert-witness-technology-on-trial-1992-2015"
"56k-modem","1997-bay-networks--concentrating-on-remo-06bdd8"
"56k-modem","dct-why-aberdeen-follows-pc-deals-2002"
"64-bit-computing","amd-industry-analyst-visionaries-64bit-2-7a191f"
"64-bit-computing","usatoday-kessler-itanium-mckinley-kastne-77362b"
"64-bit-unix","aberdeen-1996-risc-unix-market"
"8-inch-semiconductor-fab","2003-sars-electronics-supply-chain-ec0375"
"802-11a","2002-802-11a-b-wireless-comes-of-age-6a071d"
"802-11a","dct-webinar-nov-2002"
"802-11b","2002-802-11a-b-wireless-comes-of-age-6a071d"
"90nm-process","power-macs-won-t-hit-3ghz-this-year-anal-73ad0f"
"90nm-process","year-in-macs-part-one-macworld-dalrymple-dd247c"
"96-column-card","management-skills-learned-1969-3e75d0"
"AMSOFTWARE-SCP","aberdeen-1996-advanced-planning-engines-white-paper"
"APET","aberdeen-1996-advanced-planning-engines-white-paper"
"APP-SERVER","aberdeen-1996-3com-reconciling-clientserver-development-internet"
"as400","aberdeen-1996-as400-year-2000-ibm-leading-users"
"cgi","aberdeen-1996-3com-reconciling-clientserver-development-internet"
"client-server","aberdeen-1996-3com-reconciling-clientserver-development-internet"
"CLIENT-SERVER-APET","aberdeen-1996-advanced-planning-engines-white-paper"
"CS6400","aberdeen-1995-rdbms-cray-research-inc"
"DATE-WINDOWING","aberdeen-1996-as400-year-2000-ibm-leading-users"
"DISTRIBUTED-CSS","aberdeen-1996-app-dun-bradstreet-software-smartstrtogether-better"
"edi","aberdeen-1996-3com-reconciling-clientserver-development-internet"
"ENSYNC","aberdeen-1996-advanced-planning-engines-white-paper"
"ERP-CSS","aberdeen-1996-app-dun-bradstreet-software-smartstrtogether-better"
"intranet","aberdeen-1996-3com-reconciling-clientserver-development-internet"
"JAVA","aberdeen-1996-3com-reconciling-clientserver-development-internet"
"MANU-SUITE","aberdeen-1996-advanced-planning-engines-white-paper"
"MILLENNIUM-SERIES","aberdeen-1996-app-dun-bradstreet-software-smartstrtogether-better"
"mrp","aberdeen-1996-advanced-planning-engines-white-paper"
"MS-SQL-65","aberdeen-1996-app-dun-bradstreet-software-smartstrtogether-better"
"NUMETRIX-SOL","aberdeen-1996-advanced-planning-engines-white-paper"
"object-oriented","aberdeen-1996-advanced-planning-engines-white-paper"
"oltp","aberdeen-1996-3com-reconciling-clientserver-development-internet"
"OS400V3","aberdeen-1996-as400-year-2000-ibm-leading-users"
"powerbuilder","aberdeen-1996-app-dun-bradstreet-software-smartstrtogether-better"
"RESPONSEAGENT","aberdeen-1996-advanced-planning-engines-white-paper"
"RHYTHM-I2","aberdeen-1996-advanced-planning-engines-white-paper"
"SMARTSTREAM-DE","aberdeen-1996-app-dun-bradstreet-software-smartstrtogether-better"
"smp","aberdeen-1995-rdbms-cray-research-inc"
"SOLARIS-CX","aberdeen-1995-rdbms-cray-research-inc"
"supply-chain-mgmt","aberdeen-1996-advanced-planning-engines-white-paper"
"SYBASE-REPSERVER","aberdeen-1996-app-dun-bradstreet-software-smartstrtogether-better"
"SYBASE-SQL11","aberdeen-1996-app-dun-bradstreet-software-smartstrtogether-better"
"system3x","aberdeen-1996-as400-year-2000-ibm-leading-users"
"T3D","aberdeen-1995-rdbms-cray-research-inc"
"tech-015","1998-pc-impact-and-metadata-e2a169"
"tech-016","1998-pc-impact-and-metadata-e2a169"
"TECH-ATM-001","1997-nortel--transforming-business-by-po-3edae6"
"TECH-BO-001","1997-dev-expanding-universes-for-busines-c42c71"
"TECH-BO-002","1997-dev-expanding-universes-for-busines-c42c71"
"TECH-BO-003","1997-dev-expanding-universes-for-busines-c42c71"
"TECH-BO-004","1997-dev-expanding-universes-for-busines-c42c71"
"TECH-BO-005","1997-dev-expanding-universes-for-busines-c42c71"
