"tech_id","tech_name","category","vendor","era","lifecycle_at_study","lifecycle_current","notes","source_studies"
"dors","Distributed Open Relational DBMS (DORS)","framework","Industry","1990s","emerging","rebranded","Kastner-era Aberdeen framing","aberdeen-dors-buying-guide-1996-web-5ee808"
"rdbms","Relational DBMS","platform","various","1980s-present","mature","mature","","10ibmiss-f66945; 1992-tpc-benchmarks-vp-ed0e0d; 1996-electronic-commerce-25d31b; 2026-kastner-core-arguments-framework-0b0c6b; 2026-kastner-prescience-methodology-demo-0cdf48; aberdeen-1996-enterprise-data-knowledge-integrated-data-marts; aberdeen-1996-live-object-caching-high-performance; aberdeen-1996-object-oriented-three-tier-plus-computing; aberdeen-1996-web-warehouses-dss-for-masses; aberdeen-dors-buying-guide-1996-web-5ee808; bbn1989-1e6838; caunic-ltr98-80140d; dbmspr~1-7c854e; encore-b7c40d; ft-mitfor~1-a56a9d; ibmrs6k-05561e; informdsa-9f8bcf; informix-dsa-presentation-2-8d5fa3; inforx95-3-9a45fe; intel-dss99-42b2bc; jungle-1-5-675c58; jungle-6-7af8b7; nti-11-distributed-midrange-servers-1993-dedd19; nti-12-client-server-goals-1993-15a519; nti-2-open-systems-1dd3af; nti-4-nextgen-os-timing-1993-a45049; nti-5-development-toolsets-0e71c5; nti-6-rdbms-technology-48f4aa; psk-bio97-475934; psk-ibmbio-fde139; software-market-safegu~1-ea7453; tpc2-92-c2a45c; tpcbench92-139998; volume-1-ch07-founding-aberdeen-1988-1997; volume-1-ch10-the-long-view-1966-2026"
"olap","Relational OLAP","platform","various","1990s-present","emerging","mature","Next-gen DORS category","1997-oracle-data-mart-suite-for-nt-926845; aberdeen-1996-khalix-financial-awareness-competitive-advantage; aberdeen-dors-buying-guide-1996-web-5ee808; aberdeen-practice-definitions-compendium-2000-b7a001; data-know-69ab04; pilot-internet-publisher-51e601"
"universal-server","Universal Server","platform","Informix/Oracle","1996-2005","emerging","succeeded","Object-relational; Illustra-heritage at Informix","aberdeen-dors-buying-guide-1996-web-5ee808"
"db2","IBM DB2","platform","IBM","1983-present","mature","mature","","1999pr~1-c5516b; 2002-performance-breakthroughs-the-benchmarking-fanatic-6d41fa; 2004-03-intelitaniummfewp11.doc-618d4a; aberdeen-1996-flexiinternational-software-financial-acumen-technology; aberdeen-dors-buying-guide-1996-web-5ee808; nti-6-rdbms-technology-48f4aa; nti-9-mainframe-role-1993-77fc40; perspective-041304-e4be4c; pilot-internet-publisher-51e601"
"oracle-7","Oracle7","platform","Oracle","1992-1999","mature","succeeded","","aberdeen-dors-buying-guide-1996-web-5ee808; ibmrs6k-05561e; inforx95-3-9a45fe; jungle-1-5-675c58; jungle-6-7af8b7; rdbms-for-ibm-powera~1-7a44be; savant-targets-feds-with-oracle-database-60eca2"
"sybase-sql-server","Sybase SQL Server","platform","Sybase","1987-2010","mature","rebranded","Became Sybase ASE","aberdeen-dors-buying-guide-1996-web-5ee808; bbn1989-1e6838; ibmrs6k-05561e; inforx95-3-9a45fe; jungle-1-5-675c58; jungle-6-7af8b7; rdbms-for-ibm-powera~1-7a44be; sap-sybase-face-off-f2612e; tpcbench92-139998"
"ms-sql-server","Microsoft SQL Server","platform","Microsoft","1989-present","mature","mature","","1997-the-ec-company-not-your-father-s-edi-c1ebff; aberdeen-dors-buying-guide-1996-web-5ee808; rdbms-for-ibm-powera~1-7a44be"
"informix-online","Informix OnLine","platform","Informix","1990s","mature","retired","","aberdeen-dors-buying-guide-1996-web-5ee808; rdbms-for-ibm-powera~1-7a44be"
"ca-opening","CA-OpenIngres / CA-IDMS","platform","Computer Associates","1990s","mature","retired","","aberdeen-dors-buying-guide-1996-web-5ee808"
"progress-4gl","Progress 4GL","platform","Progress Software","1990s-present","mature","legacy-supported","","1997-unify-vision-8fcfc3; aberdeen-1996-progress-software-webspeed-internet; aberdeen-dors-buying-guide-1996-web-5ee808; nti-6-rdbms-technology-48f4aa"
"adabas","Software AG Adabas","platform","Software AG","1971-present","mature","mature","","aberdeen-1995-commercial-messaging; aberdeen-dors-buying-guide-1996-web-5ee808; nti-6-rdbms-technology-48f4aa; sap-r-3-on-wintel-servers-712986"
"ibm-360-65","IBM System 360/65","platform","IBM","1966-1975","mature","legacy-end-of-life","Kastner operated Cornell's IBM System 360/65 and wrote some of the university's first commercial software on it.","adl-commercial-engagements-kastner-1972-1979-b8b001; phi-psd-brochure-and-kastner-engagements-1969-1972-b8d001; volume-1-about-the-author; volume-1-appendix-career-timeline; volume-1-ch01-waiting-for-automation-1960-1969; volume-1-ch02-physics-of-the-machine-1969-1972; volume-1-epilogue-argument-with-reality"
"ibm-eliza","ELIZA","application","MIT","1964-1966","emerging","legacy-end-of-life","Being developed at MIT in the same building where Kastner trained as a computer operator in 1966.","aberdeen-corporate-collateral-2001-v2-b4b001; ibm-major-account-plan-8-cc6400; ibm-messaging-workshop-report-final-9-ef7fbc; volume-1-about-the-author; volume-1-appendix-career-timeline; volume-1-ch10-the-long-view-1966-2026"
"ibm-mainframe","IBM Mainframe","platform","IBM","1966-","mature","active","Kastner taught himself to program on IBM mainframes at MIT overnight at $360/hour on his operator account.","1998-y2k-report-f512fb; aberdeen-megatrends-mfa-cs-mis-1993-05-98fc87; hp-analyst-phone-call-6-204870; informationweek-windows-2000-high-end-am-4ccdae; kaiser-permanente-ramp-interview-for-max-8e4033; safeway-damages-report-draft-b502f4; sirius-web-enablement-b81ea8; unisys-florida-hrs-expert-witness-tallah-5b4524; volume-1-about-the-author; volume-1-ch10-the-long-view-1966-2026; volume-1-introduction-physics-of-the-machine; y2k-computerworld-aberdeen-psk-irving-19-5bcd20"
"ibm-system-88","IBM System 88","platform","IBM","1983-1990","growing","legacy-end-of-life","IBM OEM of Stratus fault-tolerant hardware; Kastner helped build the marketing for this product.","computerworld-stratus-xa2000-launch-1987-d9d143; dec-primer-comparing-debit-credit-tests--c30cfa; stratus-sequoia-comeback-marlboro-1987-e725fa; stratus-xa2000-launch-cw-1987-11913f; volume-1-about-the-author; volume-1-appendix-career-timeline; volume-1-ch05-stratus-fault-tolerant-wars-1981-1987"
"fault-tolerant-computing","Fault-Tolerant Computing","platform","Stratus Computer","1981-1987","growing","active","Kastner spent six years marketing fault-tolerant computing at Stratus, competing against Tandem and IBM.","boston-globe-mit-enterprise-forum-kastne-2a3462; businessweek-stratus-launch-fail-safe-ba-82c028; volume-1-about-the-author; volume-1-appendix-career-timeline; volume-1-ch05-stratus-fault-tolerant-wars-1981-1987; volume-1-epilogue-argument-with-reality; volume-1-introduction-physics-of-the-machine"
"dectp","DECtp","platform","Digital Equipment Corporation","1987-1992","emerging","legacy-end-of-life","Kastner led the DECtp initiative at DEC 1987-1988, including a secret midnight benchmark against IBM mainframes.","dec-mgmt-memo-v7n5-state-of-company-1988-6a9954; dtj-v03-01-tp-and-fault-tolerant-1991-cf078c; volume-1-about-the-author; volume-1-appendix-career-timeline; volume-1-ch06-dec-mainframes-last-stand-1987-1988"
"benchmark-methodology","TPC Benchmark Methodology","framework","Transaction Processing Performance Council","1988-","emerging","active","Kastner was a founding member of TPC, which brought audited transparency to database performance claims.","ibm-scm-murray2-tm-4a0fbf; volume-1-about-the-author; volume-1-ch09-expert-witness-technology-on-trial-1992-2015"
"tco-modeling","TCO Modeling Frameworks","framework","Aberdeen Group","1988-2006","growing","active","Aberdeen's TCO modeling frameworks defined gold-standard enterprise technology research through the 1990s and early 2000s.","hp-mainframe-alternative-fernandez-mfasc-a2179f; volume-1-about-the-author"
"power-line-carrier","Power-Line Carrier (Remote Meter Reading)","protocol","unknown","1970s","emerging","legacy-supported","Kastner consulted on a utility running remote meter reading over power lines at five baud.","minicomputer-news-ase-asep-1979-2b5327; volume-1-about-the-author; volume-1-ch03-physics-of-consulting-1972-1979"
