"run_id","source_location","source_path","row_count","obs_count_distinct","studies_covered","prompt_file_path","prompt_file_sha256","prompt_matches_v2_canonical","prompt_scale","prompt_mid_run_edits","model_tag","model_family","temperature","num_predict","think_false_set","top_p","top_k","driver_script_path","driver_script_sha256","driver_version","driver_pre_v2_scale","driver_mid_run_modified","input_manifest_path","input_manifest_sha256","input_payload_shape","input_field_used","run_started_at","run_finished_at","run_duration_sec","run_completed_cleanly","run_abandoned","run_abandon_reason","run_restarted_from_checkpoint","parse_ok_rate","score_dist_neg1","score_dist_0","score_dist_1_to_5","abstention_rate","score_mean","score_out_of_range","confidence_out_of_range","accepted_at_time","commit_sha","pete_review_notes","trust_verdict","dropped_gates","salvage_action","notes"
"repo_master_aberdeen-group-archive_2026-05-31","repo_master","/Users/scott/Desktop/Archive/aberdeen-group-archive/_master_prescience_scores.csv","3761","3761","492","/Users/scott/Desktop/Archive/prescience_score_prompt_v2.md","f8c1e07469d8fce3148ad7c53f3ebb7f02fa312d8e0b724f6912808923385d29","true","0-5","unknown","","","","","","","","","","","","","","","","","2026-05-29T22:13:00Z","2026-05-30T19:30:36Z","","unknown","false","","","0.9968","795","1717","1249","0.6679","3.655","0","0","yes_committed_to_master","","","DROP","T2,T4,T5","discard","Master file — composite of one or more runs. Per-model split may need to be done as separate manifest rows."
"mac_master_archive_masters_2026-06-13","mac_master","/Users/scott/Desktop/Archive/archive_masters/_master_prescience_scores.csv","4082","4082","510","/Users/scott/Desktop/Archive/prescience_score_prompt_v2.md","f8c1e07469d8fce3148ad7c53f3ebb7f02fa312d8e0b724f6912808923385d29","true","0-5","unknown","","","","","","","","","","","","","","","","","2026-05-29T22:13:00Z","2026-06-13T15:30:56Z","","unknown","false","","","0.9968","796","1752","1281","0.6242","3.638","0","0","unknown","","","DROP","T2,T4,T5","discard","Master file — composite of one or more runs. Per-model split may need to be done as separate manifest rows."
"mac_working_dir_08011974-195886_2026-05-29","mac_working_dir","/Users/scott/Desktop/Archive/prepared/08011974-195886/working","9","9","1","/Users/scott/Desktop/Archive/prescience_score_prompt_v2.md","f8c1e07469d8fce3148ad7c53f3ebb7f02fa312d8e0b724f6912808923385d29","true","0-5","","","","","","","","","","","","","","/Users/scott/Desktop/Archive/prepared/08011974-195886/working/entity_candidates.csv","c88cb39098916a5e1506845479fcc948ef2e62bc2a1906dc92d25c9cbe48daa3","unknown","","","","","true","false","","","","0","0","0","0.0000","","0","0","yes_lives_in_working_dir_only","","","DROP","T2,T4,T6","discard",""
"mac_working_dir_09010002-18ee8a_2026-05-29","mac_working_dir","/Users/scott/Desktop/Archive/prepared/09010002-18ee8a/working","8","0","0","/Users/scott/Desktop/Archive/prescience_score_prompt_v2.md","f8c1e07469d8fce3148ad7c53f3ebb7f02fa312d8e0b724f6912808923385d29","true","0-5","","","","","","","","","","","","","","/Users/scott/Desktop/Archive/prepared/09010002-18ee8a/working/observation_candidates.csv","373e001b37be3230f31b05867feff809ddd9b5a45920d8054bc0ca7b38ecf037","unknown","","","","","true","false","","","","0","0","0","0.0000","","0","0","yes_lives_in_working_dir_only","","","DROP","T2,T4,T6","discard",""
"mac_working_dir_09010004-25b35c_2026-05-29","mac_working_dir","/Users/scott/Desktop/Archive/prepared/09010004-25b35c/working","7","0","0","/Users/scott/Desktop/Archive/prescience_score_prompt_v2.md","f8c1e07469d8fce3148ad7c53f3ebb7f02fa312d8e0b724f6912808923385d29","true","0-5","","","","","","","","","","","","","","/Users/scott/Desktop/Archive/prepared/09010004-25b35c/working/observation_candidates.csv","373e001b37be3230f31b05867feff809ddd9b5a45920d8054bc0ca7b38ecf037","unknown","","","","","true","false","","","","0","0","0","0.0000","","0","0","yes_lives_in_working_dir_only","","","DROP","T2,T4,T6","discard",""
"mac_working_dir_09010005-d36601_2026-05-29","mac_working_dir","/Users/scott/Desktop/Archive/prepared/09010005-d36601/working","11","0","0","/Users/scott/Desktop/Archive/prescience_score_prompt_v2.md","f8c1e07469d8fce3148ad7c53f3ebb7f02fa312d8e0b724f6912808923385d29","true","0-5","","","","","","","","","","","","","","/Users/scott/Desktop/Archive/prepared/09010005-d36601/working/observation_candidates.csv","25476c4744cc50399fb1a9ecc4d59d80caef59da99d0fb9438e6247d02ccbdec","unknown","","","","","true","false","","","","0","0","0","0.0000","","0","0","yes_lives_in_working_dir_only","","","DROP","T2,T4,T6","discard",""
"mac_working_dir_09010006-f43488_2026-05-29","mac_working_dir","/Users/scott/Desktop/Archive/prepared/09010006-f43488/working","8","0","0","/Users/scott/Desktop/Archive/prescience_score_prompt_v2.md","f8c1e07469d8fce3148ad7c53f3ebb7f02fa312d8e0b724f6912808923385d29","true","0-5","","","","","","","","","","","","","","/Users/scott/Desktop/Archive/prepared/09010006-f43488/working/observation_candidates.csv","4744d5f8b746e0ac589689b922a0ba5a1a1a696556acdf8f2dc55bd2af5fde5e","unknown","","","","","true","false","","","","0","0","0","0.0000","","0","0","yes_lives_in_working_dir_only","","","DROP","T2,T4,T6","discard",""
"mac_working_dir_09010007-2a8be4_2026-05-29","mac_working_dir","/Users/scott/Desktop/Archive/prepared/09010007-2a8be4/working","10","0","0","/Users/scott/Desktop/Archive/prescience_score_prompt_v2.md","f8c1e07469d8fce3148ad7c53f3ebb7f02fa312d8e0b724f6912808923385d29","true","0-5","","","","","","","","","","","","","","/Users/scott/Desktop/Archive/prepared/09010007-2a8be4/working/observation_candidates.csv","63130b1449277d27b1581a2c96256d203dbb62aff9ab6f347c31eda9f7d16ed0","unknown","","","","","true","false","","","","0","0","0","0.0000","","0","0","yes_lives_in_working_dir_only","","","DROP","T2,T4,T6","discard",""
"mac_working_dir_09010008-931106_2026-05-29","mac_working_dir","/Users/scott/Desktop/Archive/prepared/09010008-931106/working","9","0","0","/Users/scott/Desktop/Archive/prescience_score_prompt_v2.md","f8c1e07469d8fce3148ad7c53f3ebb7f02fa312d8e0b724f6912808923385d29","true","0-5","","","","","","","","","","","","","","/Users/scott/Desktop/Archive/prepared/09010008-931106/working/observation_candidates.csv","373e001b37be3230f31b05867feff809ddd9b5a45920d8054bc0ca7b38ecf037","unknown","","","","","true","false","","","","0","0","0","0.0000","","0","0","yes_lives_in_working_dir_only","","","DROP","T2,T4,T6","discard",""
"mac_working_dir_10991290-4e6131_2026-05-29","mac_working_dir","/Users/scott/Desktop/Archive/prepared/10991290-4e6131/working","9","9","1","/Users/scott/Desktop/Archive/prescience_score_prompt_v2.md","f8c1e07469d8fce3148ad7c53f3ebb7f02fa312d8e0b724f6912808923385d29","true","0-5","","","","","","","","","","","","","","/Users/scott/Desktop/Archive/prepared/10991290-4e6131/working/entity_candidates.csv","9ac37bbb3716fc79710f7ea93809770ba58caa4c8054a71ecfbd039ac13ce645","unknown","","","","","true","false","","","","0","0","0","0.0000","","0","0","yes_lives_in_working_dir_only","","","DROP","T2,T4,T6","discard",""
