"row_id","article_id","horizon_label","horizon_int","analyst","headline","publication","date","quote","p2_score","p2_confidence","p2_bucket","p2_rationale","p2_elapsed_sec","p2_parse_ok","tiebreaker_invoked","p1_score","p1_confidence","p1_bucket","p1_rationale","p1_elapsed_sec","p1_parse_ok","final_score","final_confidence","final_bucket","final_pipeline","final_rationale","blog_scrape_contamination_flag","scorer_version","source_pass","promoted_at"
"883","pdf-0","SH-3y","3","","Unix draws a crowd","Computerworld","1990-03-19","went out of [its] way to be nothing like Stratus.","0","3","low","Kastner’s line is a qualitative description of Tandem’s then-current architectural choice for the Integrity S-2 relative to Stratus, not a forward-looking prediction about market direction or future technology behavior. While Tandem’s NonStop and Integrity designs did remain architecturally distinct from Stratus’s lockstep hardware approach in the early 1990s, that persistence is incidental; the quotation itself does not stake out a falsifiable claim about what would happen over the three-year horizon, so it cannot meaningfully be judged for prescience.","24.10","true","false","","","","","","","0","3","low","P2","Kastner’s line is a qualitative description of Tandem’s then-current architectural choice for the Integrity S-2 relative to Stratus, not a forward-looking prediction about market direction or future technology behavior. While Tandem’s NonStop and Integrity designs did remain architecturally distinct from Stratus’s lockstep hardware approach in the early 1990s, that persistence is incidental; the quotation itself does not stake out a falsifiable claim about what would happen over the three-year horizon, so it cannot meaningfully be judged for prescience.","false","quotations_corpus_v1","quotations_corpus","2026-06-19T20:32:56.595276+00:00"
"884","pdf-0","SH-3y","3","","Unix draws a crowd","Computerworld","1990-03-19","Does my application run better on a uniprocessor or spread over a bunch of general-purpose processors?","0","3","low","The quoted sentence is a rhetorical question about a perennial architectural tradeoff, not a concrete prediction about how workloads or system designs would evolve by roughly 1993. Both powerful uniprocessor systems and emerging multiprocessor Unix and fault-tolerant platforms coexisted throughout the early 1990s, with performance depending on workload and implementation rather than converging in a way that would clearly validate or falsify this question. Because it does not assert a specific future outcome, it cannot be meaningfully scored for prescience.","24.62","true","false","","","","","","","0","3","low","P2","The quoted sentence is a rhetorical question about a perennial architectural tradeoff, not a concrete prediction about how workloads or system designs would evolve by roughly 1993. Both powerful uniprocessor systems and emerging multiprocessor Unix and fault-tolerant platforms coexisted throughout the early 1990s, with performance depending on workload and implementation rather than converging in a way that would clearly validate or falsify this question. Because it does not assert a specific future outcome, it cannot be meaningfully scored for prescience.","false","quotations_corpus_v1","quotations_corpus","2026-06-19T20:32:56.595276+00:00"
"950","pdf-10","SH-3y","3","","Sybase sets its own direction","Computerworld","1993-05-03","Sybase has always been known for blazing their own technology path and not necessarily following the rest of the industry,","2","3","medium","Sybase did help pioneer commercial client/server relational databases in the late 1980s and early 1990s, so there was some basis for saying it had charted its own path up to 1993. However, over the 1993–1996 horizon its core database architecture and product roadmap converged with the mainstream RDBMS market, while competitors like Oracle, IBM, and Microsoft drove many of the major new directions (e.g., Windows NT, large-scale data warehousing) and Sybase lost share. By the mid‑1990s, industry perception was less that Sybase was blazing a unique technology trail and more that it was a solid but struggling follower, so the strong form of this characterization did not really hold up.","14.65","true","false","","","","","","","2","3","medium","P2","Sybase did help pioneer commercial client/server relational databases in the late 1980s and early 1990s, so there was some basis for saying it had charted its own path up to 1993. However, over the 1993–1996 horizon its core database architecture and product roadmap converged with the mainstream RDBMS market, while competitors like Oracle, IBM, and Microsoft drove many of the major new directions (e.g., Windows NT, large-scale data warehousing) and Sybase lost share. By the mid‑1990s, industry perception was less that Sybase was blazing a unique technology trail and more that it was a solid but struggling follower, so the strong form of this characterization did not really hold up.","false","quotations_corpus_v1","quotations_corpus","2026-06-19T20:32:56.595276+00:00"
"951","pdf-10","SH-3y","3","","Sybase sets its own direction","Computerworld","1993-05-03","Clearly, they can differentiate themselves by finding a better model for distributed enterprise computing, and that's what they believe they've got with System 10.","2","3","medium","System 10 did introduce a more fully featured client/server and distributed database platform for Sybase, but it did not become a clearly superior or market-defining model for distributed enterprise computing relative to Oracle7 or emerging competitors. Within three years, Sybase was losing share and momentum to Oracle and to Microsoft SQL Server, and System 10’s technical and quality problems hurt rather than strengthened Sybase’s differentiation, leading to subsequent corrective releases (System 11/ASE) and a long-term position as a niche rather than leading enterprise database vendor. Thus the idea that System 10 gave Sybase a sustainably differentiating and better model for distributed enterprise computing mostly failed to materialize.","8.26","true","false","","","","","","","2","3","medium","P2","System 10 did introduce a more fully featured client/server and distributed database platform for Sybase, but it did not become a clearly superior or market-defining model for distributed enterprise computing relative to Oracle7 or emerging competitors. Within three years, Sybase was losing share and momentum to Oracle and to Microsoft SQL Server, and System 10’s technical and quality problems hurt rather than strengthened Sybase’s differentiation, leading to subsequent corrective releases (System 11/ASE) and a long-term position as a niche rather than leading enterprise database vendor. Thus the idea that System 10 gave Sybase a sustainably differentiating and better model for distributed enterprise computing mostly failed to materialize.","false","quotations_corpus_v1","quotations_corpus","2026-06-19T20:32:56.595276+00:00"
"736","pdf-10","SH-5y","4","","Sybase sets its own direction","Computerworld","1993-05-03","Clearly, they can differentiate themselves by finding a better model for distributed enterprise computing, and that's what they believe they've got with System 10.","2","3","medium","Sybase System 10 did introduce notable distributed and client/server capabilities, including integrated replication and tools aimed at multi-node, heterogeneous enterprise environments, which provided some technical differentiation. However, between 1993 and the late 1990s Sybase’s overall database market share eroded as Oracle and Microsoft SQL Server became the dominant enterprise platforms, and System 10’s architecture did not translate into a sustained, market-defining advantage in distributed enterprise computing. By the end of the forecast window, Sybase was increasingly a niche player rather than a leader differentiated by a superior distributed model.","13.31","true","false","","","","","","","2","3","medium","P2","Sybase System 10 did introduce notable distributed and client/server capabilities, including integrated replication and tools aimed at multi-node, heterogeneous enterprise environments, which provided some technical differentiation. However, between 1993 and the late 1990s Sybase’s overall database market share eroded as Oracle and Microsoft SQL Server became the dominant enterprise platforms, and System 10’s architecture did not translate into a sustained, market-defining advantage in distributed enterprise computing. By the end of the forecast window, Sybase was increasingly a niche player rather than a leader differentiated by a superior distributed model.","false","quotations_corpus_v1","quotations_corpus","2026-06-19T20:32:56.595276+00:00"
"1088","pdf-114","SH-3y","3","","The problem, Kastner explains, is that ""it takes a lot of software to move icons, and that, in turn, requires a","AP","","The problem, Kastner explains, is that ""it takes a lot of software to move icons, and that, in turn, requires a lot of MIPS."" ""You need at least 6M bytes on the user's desk to do anything with Decwindows,"" says Charles Babcock, editor of Boston-based Digital","4","3","high","From the late 1980s into the early 1990s, GUI environments such as DECwindows (X11/Motif), OS/2 Presentation Manager, and Windows 3.0/3.1 did in practice require substantially more CPU and memory than character-mode systems, with ""usable"" setups typically needing several megabytes of RAM on 386-class PCs or VAXstations. Over the subsequent three-year horizon, the industry broadly validated this view: GUI rollouts went hand-in-hand with upgrades to higher-MIPS desktops and workstations, and GUI stacks continued to be regarded as resource-hungry rather than becoming lightweight. However, falling hardware prices and rapid adoption of 4–8 MB RAM PCs meant that while the technical assessment of GUIs as MIPS- and memory-intensive was accurate, the notion of this being a lasting *problem* diminished as such configurations quickly became mainstream.","36.44","true","false","","","","","","","4","3","high","P2","From the late 1980s into the early 1990s, GUI environments such as DECwindows (X11/Motif), OS/2 Presentation Manager, and Windows 3.0/3.1 did in practice require substantially more CPU and memory than character-mode systems, with ""usable"" setups typically needing several megabytes of RAM on 386-class PCs or VAXstations. Over the subsequent three-year horizon, the industry broadly validated this view: GUI rollouts went hand-in-hand with upgrades to higher-MIPS desktops and workstations, and GUI stacks continued to be regarded as resource-hungry rather than becoming lightweight. However, falling hardware prices and rapid adoption of 4–8 MB RAM PCs meant that while the technical assessment of GUIs as MIPS- and memory-intensive was accurate, the notion of this being a lasting *problem* diminished as such configurations quickly became mainstream.","false","quotations_corpus_v1","quotations_corpus","2026-06-19T20:32:56.595276+00:00"
"1089","pdf-115","SH-3y","3","","""Coding to a graphical interface borders on rocket science. It is very difficult and time-consuming,"" Kastner","AP","","""Coding to a graphical interface borders on rocket science. It is very difficult and time-consuming,"" Kastner explains. As a result, most developers have to be cautious about where and when they commit their limited resources. Compatibility with X Window and Motif may well be a critical deciding factor in how well DEC does with independents. Some","4","3","high","In the early 1990s, building native GUIs with X11 and Motif on VMS and UNIX was widely regarded as difficult and labor‑intensive, requiring event‑driven programming expertise and low‑level toolkit work that most traditional business developers lacked. Over roughly the next three years, DEC’s DECwindows strategy explicitly centered on X/Motif compatibility to court workstation‑style ISVs and meet enterprise RFP checkboxes, even as easier PC tools like Visual Basic and PowerBuilder began shifting new GUI development toward Windows and away from DEC platforms. The claim slightly overstates the long‑term difficulty of GUI coding as higher‑level tools spread, but for the stated timeframe and DEC/X/Motif context it captured the key technical and ecosystem constraints accurately.","115.24","true","false","","","","","","","4","3","high","P2","In the early 1990s, building native GUIs with X11 and Motif on VMS and UNIX was widely regarded as difficult and labor‑intensive, requiring event‑driven programming expertise and low‑level toolkit work that most traditional business developers lacked. Over roughly the next three years, DEC’s DECwindows strategy explicitly centered on X/Motif compatibility to court workstation‑style ISVs and meet enterprise RFP checkboxes, even as easier PC tools like Visual Basic and PowerBuilder began shifting new GUI development toward Windows and away from DEC platforms. The claim slightly overstates the long‑term difficulty of GUI coding as higher‑level tools spread, but for the stated timeframe and DEC/X/Motif context it captured the key technical and ecosystem constraints accurately.","false","quotations_corpus_v1","quotations_corpus","2026-06-19T20:32:56.595276+00:00"
"116","pdf-12","SH-3y","1","","IMRS TO PUSH CLIENT/SERVER","Computerworld","1993-04-19","A lot of companies haven't delivered products yet, and the reality is that purchases won't be made until 1994,'' said Peter Kastner, a vice president at Aberdeen Group in Boston.","4","2","high","Kastner’s timing that most client/server financial accounting purchases would not occur until 1994 aligns with the broader pattern that, while client/server architectures had existed since the 1980s, packaged client/server business applications (including financials and early ERP suites) did not see broad enterprise buying until the mid‑1990s. In 1993 many vendors were still finishing client/server rewrites of their GL/AP/AR products, and large organizations continued to run mainframe financials while planning or piloting client/server migrations that translated into significant purchase waves starting around 1994–1995. The claim slightly overstates how few purchases would occur before 1994, but it correctly characterizes that the real market ramp for client/server financial packages was just beginning and would not materialize in earnest until the following year.","12.65","true","false","","","","","","","4","2","high","P2","Kastner’s timing that most client/server financial accounting purchases would not occur until 1994 aligns with the broader pattern that, while client/server architectures had existed since the 1980s, packaged client/server business applications (including financials and early ERP suites) did not see broad enterprise buying until the mid‑1990s. In 1993 many vendors were still finishing client/server rewrites of their GL/AP/AR products, and large organizations continued to run mainframe financials while planning or piloting client/server migrations that translated into significant purchase waves starting around 1994–1995. The claim slightly overstates how few purchases would occur before 1994, but it correctly characterizes that the real market ramp for client/server financial packages was just beginning and would not materialize in earnest until the following year.","false","quotations_corpus_v1","quotations_corpus","2026-06-19T20:32:56.595276+00:00"
"735","pdf-12","SH-3y","1","","IMRS TO PUSH CLIENT/SERVER","Computerworld","1993-04-19","The client/server application market is wide open. A lot of companies haven't delivered products yet, and the reality is that purchases won't be made until 1994,","4","2","high","In 1993, most enterprises were still experimenting with client/server architectures, and large-scale adoption of client/server business applications, including financial suites, ramped materially in 1994–1996 with products such as SAP R/3, PeopleSoft Financials, and Oracle’s client/server financials. While some early client/server financial systems were purchased before 1994, the main wave of broad, enterprise-wide purchasing and competitive vendor activity did in fact emerge around 1994 and later, so his characterization of the market as still wide open in 1993 and poised for real purchasing starting in 1994 was directionally accurate, though somewhat overstated in implying almost no 1993 buying.","28.58","true","false","","","","","","","4","2","high","P2","In 1993, most enterprises were still experimenting with client/server architectures, and large-scale adoption of client/server business applications, including financial suites, ramped materially in 1994–1996 with products such as SAP R/3, PeopleSoft Financials, and Oracle’s client/server financials. While some early client/server financial systems were purchased before 1994, the main wave of broad, enterprise-wide purchasing and competitive vendor activity did in fact emerge around 1994 and later, so his characterization of the market as still wide open in 1993 and poised for real purchasing starting in 1994 was directionally accurate, though somewhat overstated in implying almost no 1993 buying.","false","quotations_corpus_v1","quotations_corpus","2026-06-19T20:32:56.595276+00:00"
"946","pdf-12","SH-3y","3","","IMRS TO PUSH CLIENT/SERVER","Computerworld","1993-04-19","The client/server application market is wide open. A lot of companies haven't delivered products yet, and the reality is that purchases won't be made until 1994,","4","3","high","In 1993 the client/server application market—particularly for packaged financial and ERP software—was still immature, with many vendors only then rolling out offerings and relatively few enterprises having fully deployed such systems. The main purchasing wave for client/server financial and business applications did in fact ramp up from roughly 1994 onward as products like SAP R/3, PeopleSoft, and Oracle Applications gained traction, so the prediction that most purchases would wait until 1994 was directionally and temporally sound, even though some early adopters bought earlier.","10.12","true","false","","","","","","","4","3","high","P2","In 1993 the client/server application market—particularly for packaged financial and ERP software—was still immature, with many vendors only then rolling out offerings and relatively few enterprises having fully deployed such systems. The main purchasing wave for client/server financial and business applications did in fact ramp up from roughly 1994 onward as products like SAP R/3, PeopleSoft, and Oracle Applications gained traction, so the prediction that most purchases would wait until 1994 was directionally and temporally sound, even though some early adopters bought earlier.","false","quotations_corpus_v1","quotations_corpus","2026-06-19T20:32:56.595276+00:00"
