"tech_id","tech_name","category","vendor","era","lifecycle_at_study","lifecycle_current","study_id","notes"
"windows-nt-5","Windows NT 5.0 / Windows 2000","platform","Microsoft","1999-2005","emerging","obsolete","1998-microsoft-windows-nt-5-0-a-planning-guide-cd9d08","Released Dec 15 1999 (RTM); Feb 17 2000 (GA); superseded by XP 2001 / Server 2003"
"windows-nt-4","Windows NT 4.0","platform","Microsoft","1996-2000","mature","obsolete","1998-microsoft-windows-nt-5-0-a-planning-guide-cd9d08","Predecessor to NT 5.0; Service Pack 4 delivered many robustness fixes in Oct 1998"
"active-directory","Active Directory","application","Microsoft","1999-present","emerging","active","1998-microsoft-windows-nt-5-0-a-planning-guide-cd9d08","New directory service in NT 5.0; Aberdeen warned mid/large orgs would need major effort to deploy"
"microsoft-cluster-server","Microsoft Cluster Server (MSCS)","application","Microsoft","1997-2008","emerging","obsolete","1998-microsoft-windows-nt-5-0-a-planning-guide-cd9d08","Enterprise Edition feature; required careful testing; succeeded by Windows Server Failover Clustering"
"intellimirror","IntelliMirror","application","Microsoft","1999-2006","emerging","obsolete","1998-microsoft-windows-nt-5-0-a-planning-guide-cd9d08","Client-data mirroring technology in NT 5.0; absorbed into Group Policy and other management tools"
"kerberos","Kerberos Authentication","protocol","IETF/Microsoft","1988-present","mature","active","1998-microsoft-windows-nt-5-0-a-planning-guide-cd9d08","Added to NT 5.0 for enhanced security; Aberdeen flagged interoperability concerns with non-Microsoft environments"
"pki","Public Key Infrastructure (PKI)","framework","Multiple","1995-present","emerging","active","1998-microsoft-windows-nt-5-0-a-planning-guide-cd9d08","Added to NT 5.0; Aberdeen noted Microsoft had not resolved heterogeneous interoperability"
"sso","Single Sign-On (SSO)","application","Microsoft","1998-present","emerging","active","1998-microsoft-windows-nt-5-0-a-planning-guide-cd9d08","NT 5.0 security feature; concept remains critical in modern identity management"
"sms-2","Systems Management Server 2.0","application","Microsoft","1998-2007","emerging","obsolete","1998-microsoft-windows-nt-5-0-a-planning-guide-cd9d08","Part of ZAW initiative; evolved into System Center Configuration Manager"
"ia-64-merced","Intel IA-64 / Itanium (Merced)","platform","Intel","1999-2021","emerging","obsolete","1998-microsoft-windows-nt-5-0-a-planning-guide-cd9d08","Microsoft planned 64-bit NT 5.0 for IA-64; Itanium released 2001 but never achieved mass market; discontinued 2021"
"zaw","Zero Administration Windows (ZAW)","framework","Microsoft","1997-2001","emerging","obsolete","1998-microsoft-windows-nt-5-0-a-planning-guide-cd9d08","Microsoft initiative to reduce Windows admin burden; succeeded by Group Policy and later Intune"
"mmc","Microsoft Management Console (MMC)","application","Microsoft","1998-present","emerging","active","1998-microsoft-windows-nt-5-0-a-planning-guide-cd9d08","New admin framework in NT 5.0; still in use in Windows Server today"
