# Source: access PC Deals 2002-2003.xls

## Sheet: Consumer (2160 rows x 12 cols)
[r0] PricingDate | PCmaker | SKU | ListPrice | CPUclass | CPUspeed | Memory | HDD | Opticals | Monitor | Printer | Merchant
[r1] 2002-12-23 | Alienware | Area 51 series | 2439 | Pentium 4 HT | 3.06 | 512 RDRAM 1066 | 200 | DVD-ROM; CD-RW |  |  | www.alienware.com
[r2] 2002-12-15 | Alienware | Area 51 series | 2500 | Pentium 4 HT | 3.06 | 512 RDRAM 1066 | 200 | DVD-ROM; CD-RW |  |  | BestBuy Stores
[r3] 2002-12-08 | Alienware | Area 51 series | 2500 | Pentium 4 HT | 3.06 | 512 RDRAM 1066 | 200 | DVD-ROM; CD-RW |  |  | BestBuy Stores
[r4] 2002-10-13 | Alienware | Aurora  | 1780 | Athlon 2400+ | 2 | 512 DDR | 80 | DVD-ROM; CD-RW | None |  | BestBuy strores
[r5] 2002-10-06 | Alienware | Aurora  | 1780 | Athlon 2400+ | 2 | 512 DDR | 80 | DVD-ROM; CD-RW | None |  | BestBuy strores
[r6] 2002-12-15 | Best Buy | VPR Matrix FT6100 | 1600 | Pentium 4 | 2.53 | 512 DDR | 100 | DVD; DVD-RW/CD-RW | 17" VPR 1796 flat screen |  | BestBuy Stores
[r7] 2002-12-08 | Best Buy | VPR Matrix FT6100 | 1500 | Pentium 4 | 2.53 | 512 DDR | 100 | DVD; DVD-RW/CD-RW | 15" Samsung LCD Flat Panel | Canon S330 | BestBuy Stores
[r8] 2002-08-24 | Compaq | 6000T | 768.99 | Pentium 4 | 2.26 | 256 DDR | 40 | CD-RW | 17" Compaq CV7500 |  | BestBuy Stores
[r9] 2002-11-10 | Compaq | 6000T | 1449 | Pentium 4 | 2.4 | 512 DDR | 120 | DVD+R/+R; CD-RW | 17" Compaq CV7500 |  | Staples Stores
[r10] 2002-08-24 | Compaq | 6000T | 718.99 | Pentium 4 | 2.0A | 256 DDR | 40 | CD-RW | 17" Compaq CV7500 |  | BestBuy Stores
[r11] 2002-08-11 | Compaq | 6000Z | 699 | Athlon 2000+ | 1.67 | 256 DDR | 40 | DVD-ROM | 17" Compaq CV7500 |  | Staples Stores
[r12] 2002-08-11 | Compaq | 6029US | 1199.99 | Athlon 2100+ | 1.73 | 512 DDR | 80 | DVD-RW/CD-RW Combo Drive | none |  | www.circuitcity.com
[r13] 2002-07-29 | Compaq | 6029US | 1399.97 | Athlon 2100+ | 1.73 | 512 DDR | 80 | DVD-RW/CD-RW Combo Drive | 17" Compaq FS7550 |  | BestBuy Stores
[r14] 2002-12-23 | Compaq | 6300US | 650 | Celeron | 1.4 | 128 SDRAM | 40 | CD-ROM | 17" Compaq 7550 flat screen | HP 3820 | Staples stores
[r15] 2002-12-15 | Compaq | 6300US | 600 | Celeron | 1.4 | 128 SDRAM | 40 | CD-ROM | 17" Compaq MV7500 | HP 3820 | CompUSA Stores
[r16] 2002-12-08 | Compaq | 6300US | 550 | Celeron | 1.4 | 128 SDRAM | 40 | CD-ROM | 17" Compaq FS7550 | HP 3820 | Staples Stores
[r17] 2002-12-02 | Compaq | 6300US | 550 | Celeron | 1.4 | 128 SDRAM | 40 | CD-ROM | 17" Compaq FS7550 | HP 3820 | Staples Stores
[r18] 2002-11-24 | Compaq | 6300US | 450 | Celeron | 1.4 | 128 SDRAM | 40 | CD-ROM |  |  | www.circuitcity.com
[r19] 2002-11-17 | Compaq | 6300US | 649.99 | Celeron | 1.4 | 128 SDRAM | 40 | CD-ROM | 17" Compaq MV7500 | HP 3820 | Circuit City Stores
[r20] 2002-11-10 | Compaq | 6300US | 599.96 | Celeron | 1.4 | 128 SDRAM | 40 | CD-ROM | 17" Compaq FS7500 | HP 3820 | Staples Stores
[r21] 2002-12-15 | Compaq | 6300z | 759 | Athlon 2000+ | 1.67 | 256 DDR | 120 | DVD-ROM; CD-RW | 17" Compaq CV 7500 |  | www.staples.com
[r22] 2002-12-08 | Compaq | 6300z | 899 | Athlon 2000+ | 1.67 | 256 DDR | 120 | DVD-ROM; CD-RW | 17" Compaq CV 7500 |  | Staples Stores
[r23] 2002-12-23 | Compaq | 6310US | 500 | Athlon 1800+ | 1.53 | 128 DDR | 40 | CD-RW |  |  | www.shopping.hp.com
[r24] 2002-12-15 | Compaq | 6310US | 550 | Athlon 1800+ | 1.53 | 128 DDR | 40 | CD-RW |  |  | www.circuitcity.com
[r25] 2002-12-08 | Compaq | 6310US | 549.99 | Athlon 1800+ | 1.53 | 128 DDR | 40 | CD-RW | 17" Compaq MV7500 | HP 3820 | www.circuitcity.com
[r26] 2002-12-02 | Compaq | 6310US | 549.99 | Athlon 1800+ | 1.53 | 128 DDR | 40 | CD-RW | 17" Compaq MV7500 | HP 3820 | www.circuitcity.com
[r27] 2002-11-24 | Compaq | 6310US | 700 | Athlon 1800+ | 1.53 | 128 DDR | 40 | CD-RW | 17" Compaq MV7500 | HP 3820 | Circuit City Stores
[r28] 2002-11-17 | Compaq | 6310US | 599.99 | Athlon 1800+ | 1.53 | 128 DDR | 40 | CD-RW |  |  | www.circuitcity.com
[r29] 2002-11-10 | Compaq | 6310US | 599.99 | Athlon 1800+ | 1.53 | 128 DDR | 40 | CD-RW |  |  | www.circuitcity.com
[r30] 2002-11-03 | Compaq | 6310US | 549.99 | Athlon 1800+ | 1.53 | 128 DDR | 40 | CD-RW | 17" Compaq MV7500 | HP 3820 | Circuit City stores
[r31] 2002-12-23 | Compaq | 6320US | 830 | Athlon 2000+ | 1.67 | 256 DDR | 60 | DVD-ROM; CD-RW | 17" Compaq MV7500 | HP 3820 | CompUSA stores
[r32] 2002-12-15 | Compaq | 6320US | 639 | Athlon 2000+ | 1.67 | 256 DDR | 60 | DVD-ROM; CD-RW |  |  | www.microcenter.com
[r33] 2002-12-08 | Compaq | 6320US | 680 | Athlon 2000+ | 1.67 | 256 DDR | 60 | DVD-ROM; CD-RW |  |  | www.circuitcity.com
[r34] 2002-12-02 | Compaq | 6320US | 679 | Athlon 2000+ | 1.67 | 256 DDR | 60 | DVD-ROM; CD-RW |  |  | www.circuitcity.com
[r35] 2002-11-24 | Compaq | 6320US | 561 | Athlon 2000+ | 1.67 | 256 DDR | 60 | DVD-ROM; CD-RW |  |  | MicroCenter Stores
[r36] 2002-11-17 | Compaq | 6320US | 879.99 | Athlon 2000+ | 1.67 | 256 DDR | 60 | DVD-ROM; CD-RW | 17" Compaq MV7500 | HP 3820 | Circuit City or CompUSA Stores
[r37] 2002-11-10 | Compaq | 6320US | 729.99 | Athlon 2000+ | 1.67 | 256 DDR | 60 | DVD-ROM; CD-RW |  |  | www.circuitcity.com
[r38] 2002-11-03 | Compaq | 6320US | 679.99 | Athlon 2000+ | 1.67 | 256 DDR | 60 | DVD-ROM; CD-RW | 17" Compaq MV7500 | HP 3820 | Circuit City stores
[r39] 2002-12-23 | Compaq | 6330US | 771 | Pentium 4 | 2.0A | 256 DDR | 60 | DVD-ROM; CD-RW |  |  | www.compusa.com
[r40] 2002-12-15 | Compaq | 6330US | 1000 | Pentium 4 | 2.0A | 256 DDR | 60 | DVD-ROM; CD-RW | 17" Compaq MV7500 | HP 3820 | CompUSA Stores
[r41] 2002-11-10 | Compaq | 6330US | 849.99 | Pentium 4 | 2.0A | 256 DDR | 60 | DVD-ROM; CD-RW | 17" Compaq FS7550 |  | www.circuitcity.com
[r42] 2002-12-08 | Compaq | 6331RSH | 750 | Athlon 2200+ | 1.8 | 256 DDR | 60 | DVD-ROM; CD-RW | 17" Compaq monitor | HP 3820 | Radio Shack Stores
[r43] 2002-12-02 | Compaq | 6331RSH | 750 | Athlon 2200+ | 1.8 | 256 DDR | 60 | DVD-ROM; CD-RW | 17" Compaq monitor | HP 3820 | Radio Shack Stores
[r44] 2002-12-23 | Compaq | 6350US | 871 | Pentium 4 | 2.4 | 512 DDR | 80 | DVD-ROM; CD-RW |  |  | www.compusa.com
[r45] 2002-12-15 | Compaq | 6350US | 1050 | Pentium 4 | 2.4 | 512 DDR | 80 | DVD-ROM; CD-RW | 17" Compaq FS7550 flat screen |  | CompUSA Stores
[r46] 2002-12-08 | Compaq | 6350US | 1000 | Pentium 4 | 2.4 | 512 DDR | 80 | DVD-ROM; CD-RW | 17" Compaq FS7550 | HP 3820 | CompUSA Stores
[r47] 2002-12-02 | Compaq | 6350US | 1000 | Pentium 4 | 2.4 | 512 DDR | 80 | DVD-ROM; CD-RW | 17" Compaq FS7550 | HP 3820 | CompUSA Stores
[r48] 2002-12-23 | Compaq | 6370US | 1021 | Pentium 4 | 2.53 | 512 DDR | 120 | DVD-ROM; CD-RW |  |  | www.circuitcity.com
[r49] 2002-12-15 | Compaq | 6370US | 1050 | Pentium 4 | 2.53 | 512 DDR | 120 | DVD-ROM; CD-RW |  |  | www.circuitcity.com
[r50] 2002-12-08 | Compaq | 6370US | 1049.99 | Pentium 4 | 2.53 | 512 DDR | 120 | DVD-ROM; CD-RW |  |  | www.circuitcity.com
[r51] 2002-12-02 | Compaq | 6370US | 1049.99 | Pentium 4 | 2.53 | 512 DDR | 120 | DVD-ROM; CD-RW |  |  | www.circuitcity.com
[r52] 2002-11-24 | Compaq | 6370US | 1250 | Pentium 4 | 2.53 | 512 DDR | 120 | DVD-ROM; CD-RW | 17" Compaq FS7550 | HP 3820 | Circuit City Stores
[r53] 2002-08-24 | Compaq | 8000 customized | 1295 | Pentium 4 | 2.53 | 512 DDR | 120 | CD-RW | 17" Compaq CV7550 |  | athome.compaq.com
[r54] 2002-08-18 | Compaq | 8000T | 1554 | Pentium 4 | 2.4 | 512 DDR | 120 | CD-RW | 17" Compaq CV7550 Flat Screen  |  | www.athome.compaq.com
[r55] 2002-08-11 | Compaq | 8000T | 1554 | Pentium 4 | 2.4 | 512 DDR | 120 | CD-RW | 17" Compaq CV7550 Flat Screen  |  | www.athome.compaq.com
[r56] 2002-07-29 | Compaq | 8000T | 1554 | Pentium 4 | 2.4 | 512 DDR | 120 | CD-RW | 17" Compaq CV7550 Flat Screen  |  | www.athome.compaq.com
[r57] 2002-10-20 | Compaq | 8000T | 1392 | Pentium 4 | 2.53 | 512 DDR | 120 | DVD-ROM; CD-RW | 17" Compaq CV7550 Flat Screen  |  | www.athome.compaq.com
[r58] 2002-10-13 | Compaq | 8000T | 1487 | Pentium 4 | 2.53 | 512 DDR | 120 | DVD-ROM; CD-RW | 17" Compaq CV7550 Flat Screen  |  | www.athome.compaq.com
[r59] 2002-10-06 | Compaq | 8000T | 1372 | Pentium 4 | 2.53 | 512 DDR | 120 | DVD-ROM; CD-RW | 17" Compaq CV7550 Flat Screen  |  | www.athome.compaq.com
[r60] 2002-09-29 | Compaq | 8000T | 1383 | Pentium 4 | 2.53 | 512 DDR | 120 | CD-RW | 17" Compaq CV7550 Flat Screen  |  | www.athome.compaq.com
[r61] 2002-09-22 | Compaq | 8000T | 1479 | Pentium 4 | 2.53 | 1 GB DDR | 120 | CD-RW | 17" Compaq CV7550 Flat Screen  |  | www.athome.compaq.com
[r62] 2002-09-15 | Compaq | 8000T | 1499 | Pentium 4 | 2.53 | 1 GB DDR | 120 | CD-RW | 17" Compaq CV7550 Flat Screen  |  | www.athome.compaq.com
[r63] 2002-09-07 | Compaq | 8000T | 1359 | Pentium 4 | 2.53 | 512 DDR | 120 | CD-RW | 17" Compaq CV7550 Flat Screen  |  | www.athome.compaq.com
[r64] 2002-08-31 | Compaq | 8000T | 1384 | Pentium 4 | 2.53 | 512 DDR | 120 | CD-RW | 17" Compaq CV7550 Flat Screen  |  | www.athome.compaq.com
[r65] 2002-08-24 | Compaq | 8000T | 1475.99 | Pentium 4 | 2.53 | 512 DDR | 120 | CD-RW | 17" Compaq CV7550 Flat Screen  |  | Best Buy stores
[r66] 2002-11-10 | Compaq | 8000T series | 1249.99 | Pentium 4 | 2.6 | 256 DDR | 60 | DVD-ROM; CD-RW | 17" Compaq CV7500 |  | BestBuy Stores
[r67] 2002-10-06 | Compaq | Presario 4403US | 649.97 | Celeron | 1.4 | 128 SDRAM | 60 | CD-RW | none |  | CompUSA Stores
[r68] 2002-09-29 | Compaq | Presario 4403US | 629.91 | Celeron | 1.4 | 128 SDRAM | 60 | CD-RW | 15" Compaq MV5500 |  | CompUSA Stores
[r69] 2002-09-22 | Compaq | Presario 4403US | 569.99 | Celeron | 1.4 | 128 SDRAM | 60 | CD-RW | 15" Compaq MV5500 |  | Circuit City Stores
[r70] 2002-08-31 | Compaq | Presario 4403US | 499.96 | Celeron | 1.4 | 128 SDRAM | 60 | CD-RW | 17" Compaq CV7500 |  | Staples Stores
[r71] 2002-08-18 | Compaq | Presario 4403US | 699.99 | Celeron | 1.4 | 128 SDRAM | 60 | CD-RW | 15" Compaq MV5500 |  | Circuit City Stores
[r72] 2002-08-11 | Compaq | Presario 4403US | 549.91 | Celeron | 1.4 | 128 SDRAM | 60 | CD-RW | 15" Compaq MV5500 |  | CompUSA Stores
[r73] 2002-07-29 | Compaq | Presario 4403US | 599.99 | Celeron | 1.4 | 256 SDRAM | 30 | CD-RW | none |  | www.circuitcity.com
[r74] 2002-09-15 | Compaq | Presario 4409CL | 749.98 | Celeron | 1.4 | 256 SDRAM | 20 | DVD-ROM; CD-RW | 17" Compaq CV7500 |  | Staples Stores
[r75] 2002-08-31 | Compaq | Presario 4410US | 599.99 | Celeron | 1.3 | 128 SDRAM | 40 | DVD-ROM; CD-RW | none |  | www.officedepot.com
[r76] 2002-08-24 | Compaq | Presario 4410US | 624.99 | Celeron | 1.3 | 128 SDRAM | 40 | DVD-ROM; CD-RW | none |  | www.techdepot.com or www.computers4sure.com
[r77] 2002-08-18 | Compaq | Presario 4410US | 624.99 | Celeron | 1.3 | 128 SDRAM | 40 | DVD-ROM; CD-RW | none |  | www.techdepot.com or www.computers4sure.com
[r78] 2002-08-11 | Compaq | Presario 4410US | 624.99 | Celeron | 1.3 | 128 SDRAM | 40 | DVD-ROM; CD-RW | none |  | www.techdepot.com or www.computers4sure.com
[r79] 2002-07-29 | Compaq | Presario 4410US | 624.99 | Celeron | 1.3 | 128 SDRAM | 40 | DVD-ROM; CD-RW | none |  | www.techdepot.com or www.computers4sure.com
[r80] 2002-10-13 | Compaq | Presario 6000T | 999.99 | Pentium 4 | 2.4 | 256 DDR | 60 | CD-ROM | 15" Compaq CV5500 | HP 3320 | BestBuy Stores
[r81] 2002-09-29 | Compaq | Presario 6000T series | 709.99 | Athlon 2000+ | 1.67 | 128 DDR | 60 | DVD-ROM | 15" Compaq CV5500 |  | BestBuy Stores
[r82] 2002-09-15 | Compaq | Presario 6000T series | 1069.99 | Pentium 4 | 2.4 | 256 DDR | 40 | DVD-ROM; CD-RW | 17" Compaq CV7500 |  | BestBuy Stores
[r83] 2002-09-22 | Compaq | Presario 6000T series | 819.99 | Pentium 4 | 2.0A | 128 DDR | 40 | CD-RW OR DVD-ROM | 15" Compaq CV5500 |  | BestBuy Stores
