"entity_id","entity_name","entity_type","sector","status","successor","years_active","study_id","notes"
"aberdeen-group","Aberdeen Group","firm","Market Research / IT Consulting","acquired","Aberdeen/Harte-Hanks","1988-present","08-phase2-project-kickoff-2ea711","Co-author organization; Boston-based market research and consulting firm. From cache."
"maxtor","Maxtor Corporation","company","Storage Hardware / Disk Drives","unknown [REVIEW]","","1982-2006","08-phase2-project-kickoff-2ea711","Client/sponsor; maker of MaXLine enterprise ATA disk drives. From cache."
"peter-kastner","Peter S. Kastner","person","IT Market Research","active","[none]","1988-present","08-phase2-project-kickoff-2ea711","Executive VP Aberdeen Group; primary account lead for Maxtor engagement. From cache."
"david-hill","David Hill","person","Market Research / IT Consulting","unknown [REVIEW]","","2000s","08-phase2-project-kickoff-2ea711","Aberdeen Research Director, Storage; primary storage analyst on project. From cache."
"stan-elbaum","Stan Elbaum","person","IT Consulting","unknown [REVIEW]","","2000s","08-phase2-project-kickoff-2ea711","Aberdeen VP Strategic Solutions; responsible for Task 2 Tools Development."
"john-boyne","John Boyne","person","IT Consulting","unknown [REVIEW]","","2000s","08-phase2-project-kickoff-2ea711","Aberdeen Project Manager; primary Maxtor day-to-day contact."
"kerri-conrad","Kerri Conrad","person","IT Consulting","unknown [REVIEW]","","2000s","08-phase2-project-kickoff-2ea711","Aberdeen Director, Sales Training Solutions; contributions to Tasks 1 and 2."
"jay-erikson","Jay Erikson","person","IT Consulting","unknown [REVIEW]","","2000s","08-phase2-project-kickoff-2ea711","Aberdeen Technology Manager; Task 2 tools infrastructure developer."
"brian-sommer","Brian Sommer","person","IT Consulting","unknown [REVIEW]","","2000s","08-phase2-project-kickoff-2ea711","Aberdeen VP Field Research Services; Quality Audit executive."
"sandra-tubbs","Sandra Tubbs","person","IT Consulting","unknown [REVIEW]","","2000s","08-phase2-project-kickoff-2ea711","Aberdeen SVP Sales; sales executive responsibility for Maxtor account."
"snia","Storage Networking Industry Association (SNIA)","institution","Standards Body / Storage","unknown [REVIEW]","","1997-present","08-phase2-project-kickoff-2ea711","Target evangelization audience; user storage group. From cache."
