entity_id,entity_name,entity_type,sector,hit_count,first_context
aberdeen-group,Aberdeen Group,firm,IT market analysis,312,"nge in the QA department.   In this study of 240 end-users, Aberdeen Group research shows that Bestin-Class (BIC) companies are taking"
oracle,Oracle,company,enterprise software,20,"der picture of data to the user; e.g., by combining data in Oracle and IBM DB2 databases.   - EII encourages IT administrators"
ent-16,Sybase,software-vendor,database-software,14,"access stock, product, and pricing data in IBM, Oracle, and Sybase databases.   - Aventis uses IBM to mine its Oracle database"
microsoft,Microsoft,company,Software,8,"tems  for example, scheduling offline backup of Oracle and Microsoft databases in sequence, to load balance a backup.   Potentia"
informix,Informix,company,relational database software,7,"rating from one database to another  e.g., from Sybase and Informix to IBM relational databases   All print and electronic righ"
business-objects,Business Objects,company,Business Intelligence / Analytics,7,"technologies. The advent of larger suppliers — such as BEA, Business Objects, and IBM — ensures that IT buyers will run fewer risks of s"
ctspace,CTSpace,company,enterprise-software,5,Aberdeen Group • 17   Aligning IT to Business Processes   CTSpace is a leading software-as-a-service provider of enterprise c
software-ag,Software AG,company,Enterprise Software,4,"Taviz Technology, Transoft, EnterWorks, Mer-<br>cator, PTC, Software AG, WRQ| |Database technology|IBM, IBM/Informix, Microsoft, Or"
hitachi,Hitachi,company,IT-hardware,4,"95131 Tel: 800-817-4BEA www.bea.com nvalencia@bea.com   As Hitachi, Ltd.'s (NYSE: HIT) global consulting company, Hitachi Cons"
xaware,XAware,company,enterprise-software,4,"EII suppliers are small ones, such as MetaMatrix, Venetica, XAware, Enosys, and Nimble Technologies. Over the past year, large"
venetica,Venetica,company,enterprise-software,4,"and most EII suppliers are small ones, such as MetaMatrix, Venetica, XAware, Enosys, and Nimble Technologies. Over the past yea"
ENT-IBM-DB2,IBM DB2,product,database-software,3,"ive, and IBM’s Xperanto EII project has resulted in the new IBM DB2 Information Integrator products.   All print and electronic"
ENT-BO-007,ISoft,Vendor,Data Mining,3,ervices.   ## **Case Study:  Applying Quality End-to-End at iSOFT**   ìQA at iSOFT has changed to implement an end-to-end vie
attunity,Attunity,company,enterprise-software,3,"); HP, IBM, Sun, Microsoft<br>(Web services)| |EII solution|Attunity, Business Objects, Ipedo, XAware,<br>MetaMatrix, Venetica,"
perry-donham-aberdeen,Perry Donham,person,industry-analyst,3,"en publications can be found at www.Aberdeen.com.   Author: Perry Donham, Director, Enterprise Applications Research (perry.donham@a"
solstice-software,Solstice Software,company,software,3,"==**  **==> picture [200 x 81] intentionally omitted <==**  Solstice Software is the leading provider of automated, end-to-end integratio"
compaq,Compaq,company,computing/pc-server,2,">webMethods, CNT, MITEM, Tempest, Candle,<br>CommerceQuest, Compaq, Compuware, Darc<br>Software, DataMirror, Dharma, ETI, IBM,"
wayne-kernochan,Wayne Kernochan,person,technology research and advisory,2,"information (Second Edition)   ## **Author Profile**   ## **Wayne Kernochan, Managing Vice-President, Platform Infrastructure**   Wayne"
bea-systems,BEA Systems,company,enterprise middleware,2,"in an exclusive production and product of Aberdeen Group.   BEA Systems, Inc. (Nasdaq: BEAS) is a world leader in enterprise infras"
neon-software,NEON,company,enterprise-software,2,"Software, DataMirror, Dharma, ETI, IBM, Level<br>8 Systems, Neon Systems, OST Business<br>Rules, Percussion, Scribe Software"
microfocus,Micro Focus,corporation,technology,2,"=**  **==> picture [150 x 7] intentionally omitted <==**  **Micro Focus** , a member of the FTSE 250, provides innovative software"
nimble-technologies,Nimble Technologies,company,enterprise-software,2,"all ones, such as MetaMatrix, Venetica, XAware, Enosys, and Nimble Technologies. Over the past year, large firms have be   - gun adding th"
raining-data,Raining Data Corporation,company,enterprise-software,2,"=> picture [433 x 303] intentionally omitted <==**  Source: Raining Data Inc. and Aberdeen Group, March 2003   ## _**The State of th"
ramco-systems,Ramco Systems,company,enterprise-software,2,"ices for true end-to-end SOA based application development. Ramco Systems has offices in nine countries and customers in 1,000 locati"
cornell-university,Cornell University,institution,higher education,1,"t from Harvard University, an M.S. in Computer Science from Cornell University, and an M.B.A. in Information Systems from Sloan School of"
prime-computer,Prime Computer,company,technology/minicomputers,1,"ment tools, e-mail, and office automation, most recently at Prime Computer. Before joining Aberdeen, Kernochan covered non-mainframe c"
yankee-group,Yankee Group,firm,technology research / analyst,1,rnochan covered non-mainframe computer technologies for The Yankee Group.   Kernochan holds a B.A. in Government from Harvard Univer
ernst-young,Ernst & Young,firm,professional services / audit,1,"the Big Five PSOs (Andersen Consulting, Deloitte & Touche, Ernst & Young, KPMG, and PricewaterhouseCoopers) and industry service hea"
intel,Intel,company,semiconductors,1,Moving COBOL packages from the mainframe to less expensive Intel platforms resulted in major cost savings. Where performance
jboss,JBoss,company,open-source middleware,1,"as IBM WebSphere, BEA WebLogic, SAP Application Server, and JBoss-compliant open source application servers.   MetaMatrix Ser"
nasdaq-stock-market,NASDAQ,institution,financial markets,1,"duction and product of Aberdeen Group.   BEA Systems, Inc. (Nasdaq: BEAS) is a world leader in enterprise infrastructure softw"
teradata,Teradata,company,enterprise data warehousing,1,"ybase offer extensive data warehousing support, as does NCR-Teradata.   ## _Enterprise Operational Data Store_   The idea of the"
unisys,Unisys,company,IT services / mainframe,1,"rise operational data store, pioneered by suppliers such as Unisys, is now generally accepted across the industry, and most ma"
andersen-consulting,Andersen Consulting,firm,management / IT consulting,1,"ganizations (PSOs). The A-list comprises the Big Five PSOs (Andersen Consulting, Deloitte & Touche, Ernst & Young, KPMG, and Pricewaterhous"
shell,Shell,company,Energy / Oil & Gas,1,"and information across projects. Key customers include GE, Shell Oil, Duke Energy, London Underground, IKEA and BNP Paribas"
amazon,Amazon.com,company,E-Commerce,1,"ion that competitors cannot readily duplicate. For example, Amazon.com may seek to combine information about customers’ preference"
peoplesoft,PeopleSoft,company,Enterprise Software,1,"jor packaged applications such as those provided by SAP and PeopleSoft. Recently, ETL tools have appeared in the offerings of EII"
pricewaterhousecoopers,PricewaterhouseCoopers,firm,professional-services,1,"sen Consulting, Deloitte & Touche, Ernst & Young, KPMG, and PricewaterhouseCoopers) and industry service heavyweights (e.g., HP and Sun). Aber"
e91-07,Merrill Lynch,company,financial-services,1,-world examples show that EII is making a contribution:   - Merrill Lynch uses MetaMatrix to speed development and to allow analysts
mindreef-inc,"Mindreef, Inc.",company,soa-tools,1,"40 of the Fortune 100.   ## **For additional information on Mindreef, Inc.:**   22 Proctor Hill Road Tel: 603.465.2204 Hollis, NH 0304"
fortune-100,Fortune 100,institution,Business Ranking,1,"at over 1,200 organizations worldwide, including 40 of the Fortune 100.   ## **For additional information on Mindreef, Inc.:**   2"
complex-architectures,Complex Architectures,company,enterprise-software,1,"EII by increasing the costs of administering unnecessarily complex architectures.   - The EII market is still new, and most EII suppliers ar"
appian-corp,Appian Corporation,company,enterprise-software,1,"ahead of the competition.   **For additional information on Appian Corporation:** 8000 Towers Crescent Drive, 16[th] Floor Vienna, VA 2218"
