char_offset,trigger_labels,sentence
1263,best_in_class,"More importantly, Best-in-Class companies are increasing the involvement of business users in all phases of the development lifecycle, and view quality not as something thatís done at the end of the cycle, but as a horizontal attribute that spans multiple business processes."
1541,best_in_class,## **Best-in-Class Performance**
1576,best_in_class,"For this report, Aberdeen used four primary performance criteria to distinguish Best-in-Class companies from Industry Average and Laggard organizations:"
1782,best_in_class,**94%** of the Best-in-Class reported an increase in software quality
1856,best_in_class,**Number of defects discovered in production code: 61%** of the Best-in-Class recorded fewer defects
2001,best_in_class,**57%** of the Best-in-Class saw reduced time to repair
2110,best_in_class,**70%** of the Best-in-Class said maintainability had improved
2756,best_in_class,Typical Best-in-Class organizations:
3584,best_in_class,"Best-in-Class organizations track both business requirements and quality across the entire enterprise, not on a service-by-service basis."
4055,best_in_class,**Improve visibility of deployed services.** Best-in-Class organizations are using monitoring and reporting tools on their production systems to give them a better understanding of what is going wrong ñ and also going right ñ in their deployed software.
9506,best_in_class,## **Chapter One: Benchmarking the Best-in-Class**
10291,best_in_class,√ **94%** of Best-in-Class organizations report an increase in the quality of deployed services
10391,best_in_class,√ **61%** of Best-in-Class companies saw a reduction in the number of defects discovered in production
10498,best_in_class,√ **57%** of Best-in-Class reported a decrease in the time required to repair defects
10665,best_in_class,"In analyzing the data, four primary performance criteria were used to distinguish Best-in-Class companies from Industry Average and Laggard organizations:"
11013,best_in_class,"With the Best-in-Class companies identified, they were then compared to the Industry Average and Laggard organizations (Table 1) in a number of key areas."
11170,best_in_class,## **Table 1: Companies with Top Performance Earn Best-in-Class Status**
11245,best_in_class,"|**Definition of**<br>**Maturity Class**|**Mean Class Performance**|
|---|---|
|**Best-in-Class:**<br> <br>**Top 20%**of aggregate<br>performance scorers|• **61%**saw a reduction in the number of defects<br>discovered in production<br>• **57%**reported a decrease in the mean time to<br>repair defects<br>• **71%**saw an increase in code test coverage<br>• **94%**reported an increase in the quality of<br>deployed software|"
12708,best_in_class,The Best-in-Class organizations profiled in this report have attacked the problem from multiple angles.
12812,figure_reference,"It isnít enough to just deploy automation, and it isnít enough to simply rely on functional tests ñ **QA for composite applications needs a horizontal, process-oriented view, not the vertical unit-test methods used in the past** (Figure 1)."
13238,best_in_class,The typical Best-in-Class company:
13444,best_in_class;figure_reference,**Figure 1: Best-in-Class Keys to Success for Quality**
