filename,page,sha1,size_bytes,labels_on_page
figure_001.png,4,9771a02221b3fb9ab83be8698cd32e2f861c0747,224001,1;2;3;3;4;5;6;7;8
figure_002.png,5,255f9b81b20d26e806bc34d3b699837f862f2b64,100484,1;2;3;4;5;6
figure_003.png,6,007374d7f7a9c75d969eec9c2ce1243aff4c9d61,235403,1;1
figure_004.png,7,515c033bf560cae9d2a03520b0d0f205bbea7ef0,180484,2
figure_005.png,8,9d1030140012ada2ab484fbcce713069f4b96896,166553,3
figure_006.png,9,7865e5741410890c594324c43e832ffb09586f26,236748,1
figure_007.png,10,9e26784c0db986e225231f53ce02776df15f89b0,278419,2
figure_008.png,12,768a1a60727fc2c0638fce8c2f73502101773864,177224,3
figure_009.png,13,b8044fc139e620aace2708be45301c8b680d4f02,188716,4
figure_010.png,14,248b0ff65ada5d4b2783888e62aa18c578ede572,199248,5
figure_011.png,15,95e8af096efae6a92b30deb933faaf2915b73b7e,144493,6
figure_012.png,16,7bbdbce74ceaaf167acf05cc63375c612084515d,154714,7
figure_013.png,17,95e90a8ebfc7ba2a20b02c5a27f71fd0036371e6,209380,8
figure_014.png,19,99258babf79ff0d74098d69f8e039ece0a5b8362,144169,9
figure_015.png,25,0f24d10b433b1460e9f65ffa92191a067ff9dcfe,321650,4;5
figure_016.png,26,9344b5f0c335e7d2233bb6c0dad117ca3272c636,117320,6
