entity_id,entity_name,entity_type,sector,status,successor,years_active,notes,source_studies
peter-kastner,Peter S. Kastner,person,IT-research,active,,1969-present,Author of memoir; author of both RAMP and DCT corpuses.,dct-memoir-ramp-vs-dct-prescience-2026
david-hill,David Hill,person,IT-research,active,,1990s-present,Co-author on Maxtor RAMP white papers and mid-line storage definition.,dct-memoir-ramp-vs-dct-prescience-2026
russ-craig,Russ Craig,person,IT-research,active,,1990s-present,DCT practice co-analyst at Aberdeen Group.,dct-memoir-ramp-vs-dct-prescience-2026
isaac-ro,Isaac Ro,person,IT-research,active,,2000s-present,DCT practice co-analyst at Aberdeen Group.,dct-memoir-ramp-vs-dct-prescience-2026
aberdeen-group,Aberdeen Group,company,IT-research,acquired-by-harte-hanks,Harte-Hanks (2007),1988-2007,Publisher of both RAMP and DCT corpora.,dct-memoir-ramp-vs-dct-prescience-2026
maxtor,Maxtor,company,storage,acquired,Seagate (2006),1982-2006,Client for the RAMP mid-line storage program.,dct-memoir-ramp-vs-dct-prescience-2026
applied-materials,Applied Materials,company,semiconductor-equipment,active,,1967-present,RAMP interview subject.,dct-memoir-ramp-vs-dct-prescience-2026
inovant,Inovant,company,payments-processing,absorbed-into-visa,Visa Inc.,1974-2005,Visa processing subsidiary; RAMP interview subject.,dct-memoir-ramp-vs-dct-prescience-2026
kaiser-permanente,Kaiser Permanente,institution,healthcare,active,,1945-present,RAMP interview subject.,dct-memoir-ramp-vs-dct-prescience-2026
state-street,State Street Corporation,company,financial-services,active,,1792-present,RAMP interview subject.,dct-memoir-ramp-vs-dct-prescience-2026
timex,Timex,company,consumer-goods,active,,1854-present,RAMP interview subject.,dct-memoir-ramp-vs-dct-prescience-2026
best-buy,Best Buy (stores),company,PC-retail,active,,1966-present,DCT weekly retail tracker target.,dct-memoir-ramp-vs-dct-prescience-2026
circuit-city,Circuit City (stores),company,PC-retail,dissolved,liquidated 2009 (brand relaunched online),1949-2009,DCT weekly retail tracker target.,dct-memoir-ramp-vs-dct-prescience-2026
compusa,CompUSA,company,PC-retail,dissolved,Systemax/TigerDirect,1984-2012,DCT weekly retail tracker target.,dct-memoir-ramp-vs-dct-prescience-2026
microsoft,Microsoft,company,software,active,,1975-present,Subject of Mira Smart Display refutation.,dct-memoir-ramp-vs-dct-prescience-2026
intel,Intel,company,semiconductor,active,,1968-present,Subject of Hyper-Threading 3 GHz verification.,dct-memoir-ramp-vs-dct-prescience-2026
sony,Sony,company,consumer-electronics,active,,1946-present,Subject of Blu-ray launch verification and CE-decline verification.,dct-memoir-ramp-vs-dct-prescience-2026
hewlett-packard,Hewlett-Packard,company,PC-manufacturing,split,HP Inc. (2015) + HPE (2015),1939-2015,Subject of HP/Compaq brand split strategy verification.,dct-memoir-ramp-vs-dct-prescience-2026
compaq,Compaq,company,PC-manufacturing,merged,HP (2002),1982-2002,Subject of HP/Compaq brand split strategy verification.,dct-memoir-ramp-vs-dct-prescience-2026
gartner,"Gartner, Inc.",firm,IT-research,active,,1979-present,Source of 2003 IT spending forecast discussed in DCT commentary.,dct-memoir-ramp-vs-dct-prescience-2026
emc,EMC Corporation,company,storage,acquired,Dell Technologies (2016),1979-2016,Storage incumbent referenced in RAMP mid-line thesis.,dct-memoir-ramp-vs-dct-prescience-2026
netapp,NetApp,company,storage,active,,1992-present,Beneficiary of the mid-line storage mainstreaming RAMP predicted.,dct-memoir-ramp-vs-dct-prescience-2026
