char_offset,trigger_labels,sentence
3637,average_stat,And the respondents’ companies that have implemented Business Process Monitoring systems are achieving an **average 9% improvement in revenues** .
4020,percentage_stat,Some 94% of respondents’ companies are either moderately or very pleased with the overall improvement Business Process Monitoring has delivered.
4167,best_in_class,"The top-performing, or Best in Class, companies in the survey succeed because they focus on **specific business process metrics** such as customer satisfaction in product service and repair as opposed to broader goals such as “achieve more revenue.” The following list also clearly differentiate Best in Class organizations when compared with the Industry Average and Laggard companies represented in this report:"
5455,percentage_stat,"However, more than 70% of companies surveyed for an earlier Aberdeen report indicated that the need for _greater visibility into business processes on a real-time basis_ was the top driver for enterprise integration projects."
6270,percentage_stat,"Third, no less than 84% of respondents are moderately or very happy with eight success ratings in their Business Process Monitoring implementations."
6419,best_in_class;percentage_stat,"About 67% (yet only 43% of Best in Class) found that data integration, loading, and cleansing were more complex"
6634,percentage_stat,More than 70% of Laggards found they had to tune Business Process Monitoring metrics because of false positive or false negative results or a poor choice of key performance metrics (KPMs).
6964,best_in_class;percentage_stat,"Finally, there is a wide divergence on the definition of “real-time.” While a quarter of Best in Class companies capture process performance changes in 10 seconds or less, and 36% of the respondents’ companies in 10 minutes or less, more than half the survey believe daily or weekly process performance measurement is adequate."
7294,percentage_stat,The fact that 42% of the participating companies are in the planning stages of Business Process Monitoring is likely indicative of the early stages of market penetration and market awareness of Business Process Monitoring.
8561,best_in_class,"Don’t be afraid to jump in the water and start swimming. **Best in Class companies participating in our survey are aggressively implementing Business Process Monitoring** in more business processes immediately, while Industry Average firms take a moderate speed and Laggards are risk averse."
8853,best_in_class,"There is a **direct correlation between Best in Class** and **success metrics,** and **a high degree of IT adoption** in support of Business Process Monitoring."
13138,figure_reference,Figure 1: Key Business Drivers of Business Process Monitoring..........................3 Figure 2: How Companies Were Challenged in Initial Business Process Monitoring Projects ..................................................................7
18456,percentage_stat,"More than 84% of companies surveyed are moderately or very pleased with the results of their Business Process Monitoring implementations, with an 18% ROI."
21161,figure_reference,"By a slight margin, the two most important business drivers leading to the implementation of a Business Process Monitoring system are **competitive pressures** and **increasing sales and revenue** (Figure 1)."
21372,best_in_class,Best in Class firms are more concerned than others about competition.
21685,figure_reference,**Figure 1: Key Business Drivers of Business Process Monitoring**
27919,percentage_stat,"A healthy 94% of companies surveyed report moderate or very good results in their Business Process Monitoring initiatives, with a median ROI of 18%."
28072,best_in_class,"Best in Class companies are aggressively implementing multiple projects simultaneously, driven by top-down management support and execution discipline."
28535,best_in_class,"The second weighted priority is to **implement Business Process Monitoring projects in order of decreasing ROI/ROA over several years** , with Best in Class firms twice as likely as others to take this approach."
28747,best_in_class,The Best in Class are also significantly less likely to open process information to key customers or business partners.
29704,best_in_class,"Best in Class organizations are most concerned with a lack of best practices or lessons learned on which to draw, while half complained of too much IT complexity in implementing a Business Process Monitoring system."
30276,figure_reference,**Figure 2: How Companies Were Challenged in Initial Business Process Monitoring Projects**
31246,best_in_class,The top response is an **increased investment in IT infrastructure:** 39% overall and 63% at Best in Class firms.
