char_offset,trigger_labels,sentence
11080,dollar_stat,"We size the market for frontware software at under $50 million in 1990, growing at 20%-25% in 1991."
13907,percentage_stat,"with new-application development using the client-server model for the same 10%-20% of the MIS budget allocated for ""new application development"";"
14684,percentage_stat,We estimate well over 95% of potential applications at mainframe-size sites are still using dumb-terminal -- usually 3270 -- communications to the mainframe host from either 3270's or PCs using terminal emulation.
19541,percentage_stat,"Apple's market share in this decade is unlikely to exceed 15% of the business PC market, with large MIS shops putting up the largest resistance to Apple's marketing efforts."
21940,percentage_stat,"At 10%-20% of the surveyed sites, Apple was an established supplier with a healthy installed base."
22091,percentage_stat,"However, the other 80% of the large enterprises we surveyed had such a low visibility on Apple that when asked how many Macintoshes were installed, replied they either didn't know, didn't care, or that ""a couple were around somewhere."""
35070,dollar_stat,Transaction processing represents an over-$30 billion market for hardware and software.
50269,dollar_stat,(Telephone) (512) 345-5700 (Size of company) $62M in FY89;  $80M in FY90
55247,percentage_stat,"For 90% of users, MS Windows 3.0 equals a Mac."
57213,dollar_stat,(Size of company) $8.1 billion
60199,dollar_stat,1990 Systems and Programming Budget $ (excludes ops) Over $100M
71112,dollar_stat,Who approves PC Purchases DP Policy > $100K
71158,dollar_stat,Who approves PC Purchases DP Policy > $100K 1) Graphics Who approves PC suppliers No list 2) Deft CASE Approved PC manufacturer list No list 3) Design model Who sells and installs the PC's Dealer Note: Even the FIB ad/ slide dept doesn't use Macs
73115,dollar_stat,1990 Systems and Programming Budget $ (excludes ops) $ 7-9M includes $2M for development
73246,dollar_stat,Need to find $1M savings over 2 years.
73545,dollar_stat,"Maintaining/enhancing existing applications$1,500K - Designing/programming new applications 550K - User training and education 50K - Systems management and Other 50K"
85640,dollar_stat,1990 Systems and Programming Budget $ (excludes ops)  $175M
97274,dollar_stat,1990 Systems and Programming Budget $ (excludes ops) $25M
102860,dollar_stat,"Cost will exceed $5M in programming alone -- involves 5,000 client workstations."
103730,dollar_stat,1990 Systems and Programming Budget $ (excludes ops) $20M
105376,dollar_stat,Particularly liked idea of $75k pilot using a production application since demos alone can't show the limitations of a technology.
110474,dollar_stat,1990 Systems and Programming Budget $ (excludes ops) $2M
