"code_id","code_type","label","definition"
"market-definition","observation_type","Market Definition","Aberdeen defines a market category or concept"
"competitive-assessment","observation_type","Competitive Assessment","Aberdeen's assessment of a named competitor or competitive product"
"product-feature","observation_type","Product Feature","A specific capability or technical feature of a named product"
"market-finding","observation_type","Market Finding","An empirical or analytical finding about the market"
"analyst-recommendation","observation_type","Analyst Recommendation","A strategic recommendation from Aberdeen to enterprise buyers"
"technology-landscape","observation_type","Technology Landscape","Characterization of the broader technology environment"
"analyst-assessment","observation_type","Analyst Assessment","Aberdeen's evaluative judgment about a vendor or product"
"product-context","observation_type","Product Context","Contextual details about a product's positioning or presence"
"organization","entity_type","Organization","A company, consortium, or standards body"
"primary-vendor","entity_role","Primary Vendor","The vendor whose product is the subject of the study"
"research-author","entity_role","Research Author","The organization that authored the study"
"competitor-referenced","entity_role","Competitor Referenced","A competitor referenced for comparison"
"technology-partner","entity_role","Technology Partner","A vendor whose technology the primary product integrates with"
"technology-partner-planned","entity_role","Planned Technology Partner","Integration planned but not yet available at time of study"
"future-acquirer","entity_role","Future Acquirer","Entity that later acquired the primary vendor"
"platform-vendor-referenced","entity_role","Platform Vendor Referenced","Vendor whose platform is mentioned as supported"
"active","entity_status","Active","Entity operating independently as of the study date"
"acquired","entity_status","Acquired","Entity was acquired by another organization after the study"
"rebranded","entity_status","Rebranded","Entity underwent a name/brand change"
"obsolete","tech_lifecycle","Obsolete","Product/technology discontinued, no active maintenance"
"evolved","tech_lifecycle","Evolved","Technology transformed into or replaced by a named successor"
"active","tech_lifecycle","Active","Technology still in mainstream active use as of 2026"
"superseded","tech_lifecycle","Superseded","Technology replaced by alternative approaches; original largely unused"
"active-niche","tech_lifecycle","Active (Niche)","Technology still actively used but in niche or legacy contexts"
"product-profile","study_type","Product Profile","In-depth evaluation of a specific vendor product"
"groupware-workflow","domain","Groupware & Workflow","Collaborative software, workflow automation, and enterprise groupware"
"industry-analysis","methodology","Industry Analysis","Analysis of market dynamics and industry trends"
"competitive-profiling","methodology","Competitive Profiling","Structured comparison of competing products or vendors"
"field-research","methodology","Field Research","Primary research with enterprise customers or end-users"
"actual-outcome","observation_type","Actual Outcome","Verified post-publication outcome for a prior prediction"
"expert-opinion","observation_type","Expert Opinion","Analyst assessment, recommendation, or expert judgment"
"market-data","observation_type","Market Data","Market size, growth, competitive position, or financial metric"
"technology-assessment","observation_type","Technology Assessment","Evaluation of a technology's capabilities, features, or specifications"
"viability-prediction","observation_type","Viability Prediction","Forward-looking prediction about technology or market trajectory"
"document-review","methodology_code","Document Review","Analysis of published documents, product specs, and archival materials"
"industry-analysis","methodology_code","Industry Analysis","Analyst assessment and industry-level analysis based on market knowledge"
