"tech_id","study_id","name","category","vendor","version_at_study","lifecycle_status","lifecycle_note","successor"
"tech-001","aberdeen-1995-digital-linkworks","Digital LinkWorks","enterprise-groupware","Digital Equipment Corporation","3.0","obsolete","Discontinued after DEC was acquired by Compaq (1998); product not carried forward under HP.",""
"tech-002","aberdeen-1995-digital-linkworks","Lotus Notes","groupware-messaging","Lotus Development Corporation","3.x / 4.0","evolved","Acquired by IBM 1995; evolved through IBM Lotus Notes to HCL Notes after HCL Technologies acquired the product line from IBM in 2019.","HCL Notes"
"tech-003","aberdeen-1995-digital-linkworks","Microsoft Exchange","messaging-groupware","Microsoft Corporation","4.0 (pre-release 1995)","active","Still actively developed and widely deployed as of 2026; available as Exchange Server and Exchange Online (Microsoft 365).","Microsoft Exchange Online / Microsoft 365"
"tech-004","aberdeen-1995-digital-linkworks","OLE (Object Linking and Embedding)","integration-standard","Microsoft Corporation","OLE 2.0","evolved","OLE evolved into COM/DCOM and ActiveX; concepts persist in modern Windows development and COM automation.","COM/DCOM, ActiveX, .NET COM Interop"
"tech-005","aberdeen-1995-digital-linkworks","Distributed Object Technology / CORBA","middleware","Various (OMG standard)","CORBA 2.0","superseded","Superseded by web services (SOAP/REST), SOA, and microservices architectures; OMG CORBA standard technically maintained but rarely used in new development.","SOA, REST APIs, Microservices"
"tech-006","aberdeen-1995-digital-linkworks","Digital UNIX (Tru64)","operating-system","Digital Equipment Corporation","Digital UNIX 3.x","obsolete","Renamed Tru64 UNIX under Compaq; end-of-life support ended by HP around 2012.",""
"tech-007","aberdeen-1995-digital-linkworks","HP-UX","operating-system","Hewlett-Packard Company","HP-UX 9.x","active","HP-UX still supported as of 2026 for Integrity servers; Hewlett Packard Enterprise announced end of hardware support for Itanium in 2025.",""
"tech-008","aberdeen-1995-digital-linkworks","OpenVMS","operating-system","Digital Equipment Corporation / VSI","OpenVMS 6.x","active-niche","VMS Software Inc. (VSI) acquired OpenVMS from HP in 2014 and continues active development as of 2026.","OpenVMS (VSI)"
"tech-009","aberdeen-1995-digital-linkworks","IBM AIX","operating-system","IBM Corporation","AIX 3.x/4.x","active","IBM AIX remains actively supported as of 2026 for IBM Power Systems.",""
"tech-010","aberdeen-1995-digital-linkworks","Windows NT","operating-system","Microsoft Corporation","Windows NT 3.5","obsolete","Windows NT 3.5 end of life 2001; NT kernel architecture evolved through Windows 2000, XP, and into all modern Windows versions.","Windows Server 2025"
"tech-011","aberdeen-1995-digital-linkworks","Windows 3.1 / Windows for Workgroups","operating-system","Microsoft Corporation","3.11","obsolete","End of life December 2001; superseded by Windows 95, 98, and later Windows XP.","Windows 10/11"
"tech-012","aberdeen-1995-digital-linkworks","Digital All-in-1","office-automation","Digital Equipment Corporation","3.x","obsolete","DEC's All-in-1 office automation suite discontinued after DEC acquisition by Compaq. No modern successor.",""
"tech-013","aberdeen-1995-digital-linkworks","Oracle Database","relational-database","Oracle Corporation","Oracle 7","active","Oracle Database still actively developed and deployed as of 2026 (Oracle 23c).","Oracle 23c"
"tech-014","aberdeen-1995-digital-linkworks","Microsoft SQL Server","relational-database","Microsoft Corporation","SQL Server 6.0","active","Microsoft SQL Server still actively developed and deployed as of 2026.","SQL Server 2022"
"tech-015","aberdeen-1995-digital-linkworks","RPC (Remote Procedure Call)","middleware","Various (OSF/DCE standard)","DCE RPC","evolved","RPC concept evolved into web services, gRPC, and REST APIs; DCE RPC itself largely obsolete in new development.","gRPC, REST, GraphQL"
"tech-016","aberdeen-1995-digital-linkworks","OS/2 Presentation Manager","operating-system","IBM Corporation","OS/2 Warp 3","obsolete","IBM discontinued mainstream OS/2 support in 2006; ArcaOS (Arca Noae) provides continued support for legacy deployments.",""
"tech-017","aberdeen-1995-digital-linkworks","Macintosh OS","operating-system","Apple Computer","System 7","evolved","Classic Mac OS superseded by Mac OS X (now macOS) in 2001; macOS Sequoia current as of 2026.","macOS Sequoia"
"tech-018","aberdeen-1995-digital-linkworks","Motif (X Window GUI)","gui-toolkit","Open Software Foundation","Motif 1.2","obsolete","Motif largely obsolete; superseded by modern GUI toolkits such as GTK and Qt on Linux/Unix.","GTK, Qt"
"tech-019","aberdeen-1995-digital-linkworks","Document Management & Workflow (BPM)","software-category","Multiple","","evolved","Document management and workflow concepts evolved into Business Process Management (BPM), ECM, and low-code automation platforms.","BPM platforms, Microsoft Power Automate, ServiceNow"
