entity_id,entity_name,entity_type,sector,hit_count,first_context
aberdeen-group,Aberdeen Group,firm,IT market analysis,5,## _**Aberdeen Group Flash Report: High Availability Marketing Messages**_   Thi
hewlett-packard,Hewlett-Packard,company,technology hardware,4,"ie Rogers, Wesley Sawyer, John Atwell, and Jennifer Carr of Hewlett-Packard.  Attending for Aberdeen Group, Inc. were Peter Kastner, Th"
compaq,Compaq,company,computing/pc-server,4,"the bar for box-technology-only competitors such as Sun and Compaq.  Overall, Aberdeen Group rates HP’s end-to-end HA position"
microsoft,Microsoft,company,Software,1,"urance that “HP is doing everything practical to improve on Microsoft’s base platform, and that base platform, services, practice"
john-logan,John Logan,person,technology research,1,"erdeen Group, Inc. were Peter Kastner, Thomas Willmott, and John Logan.   ## **Summary**   Aberdeen Group field research confirms"
intel,Intel,company,semiconductors,1,"must clearly tell the market what the limits are for HA on Intel/NT.   3. For a market-leading HA campaign, Aberdeen would r"
google,Google,company,technology / cloud,1,"However, HP faced disruption from web-scale pioneers like Google who rebuilt availability into their cloud-native architectu"
dell,Dell,company,information technology hardware,1,ee/Marketing/titleLists/pwh-coverage.htm   [12] https://www.dell.com/en-us/dt/corporate/newsroom/announcements/1998/05/19980
marathon-technologies,Marathon Technologies Corp.,company,server-hardware,1,"d recommend the acquisition of NT fault-tolerance provider, Marathon Technologies.  Such an acquisition would give HP the industry’s only “FT"
ENT-006,Marathon Technologies,corporation,technology,1,"d recommend the acquisition of NT fault-tolerance provider, Marathon Technologies.  Such an acquisition would give HP the industry’s only “FT"
ENT-007,Cisco,corporation,technology;networking,1,"pt dictates more and deeper relationships such as that with Cisco and EMC.   2. At this time, no single HP product can improv"
ENT-013,Peter Kastner,person,market-research,1,"f Hewlett-Packard.  Attending for Aberdeen Group, Inc. were Peter Kastner, Thomas Willmott, and John Logan.   ## **Summary**   Aberde"
ENT-014,Thomas Willmott,person,market-research,1,"rd.  Attending for Aberdeen Group, Inc. were Peter Kastner, Thomas Willmott, and John Logan.   ## **Summary**   Aberdeen Group field re"
ENT-016,Jim Murphy,person,technology,1,"rt is the result of a meeting held on October 28, 1998 with Jim Murphy, Grant Dodson, Jody Stiely, Gary Price, Bonnie Rogers, Wesl"
dell-online,Dell.com,company,PC-retail,1,ee/Marketing/titleLists/pwh-coverage.htm   [12] https://www.dell.com/en-us/dt/corporate/newsroom/announcements/1998/05/19980504-
