"row_id","article_seq","date","headline","publication","author","content_type","kastner_quotation","immediate_context","is_predictive","prescience_score","prescience_rationale","forecast_horizon_years","theme","decade","accuracy_outcome","verdict_rationale","verdict_sources","pipeline_route_reason"
"1","1","1987-01-01","Fault-tolerant market to hit $2 billion in '87","Financial Times","","press-article","We are predicting the fault-tolerant market will reach $2 billion in 1987 and grow 40% to 50% each year until 1990","Pete Kastner, manager of marketing development at Stratus Computer, predicted rapid growth in the fault-tolerant computing market, then dominated by Stratus and Tandem.","yes","high","Kastner predicted the fault-tolerant market would reach $2B in 1987 and grow 40–50% annually through 1990. Stratus Computer's market did hit roughly those figures, and fault-tolerant systems grew strongly through the late 1980s before consolidating.","3","fault-tolerant-and-high-availability","1980s","","","","not_in_pdf"
"2","2","1988-06-17","Digital Challenges Tests by IBM of Firms' Midrange Computers","Wall Street Journal","Wall Street Journal staff","press-article","It was one of the cheapest tricks IBM could have pulled. A benchmark should be something that is widely circulated and can be duplicated and verified","John Logan, an Aberdeen Group consultant, criticized IBM's proprietary Ramp-C benchmark for midrange computers, calling it unfair because IBM refused to release the software for independent verification.","no","not-applicable","Observational — current-state analysis.","0","enterprise-servers-and-architecture","1980s","","","","not_in_pdf"
"3","3","1988-08-01","Benchmark Body Gains Stature With DEC Backing","Computerworld","Irwin Greenstein","press-article","I am going to call some of my colleagues personally in the industry to ask them to join","DEC joined the benchmark standards body (DCC, later TPC) immediately upon notification. Kastner, then at DEC, pledged to personally recruit other industry members.","no","not-applicable","Observational — current-state analysis.","0","databases-and-middleware","1980s","","","","not_in_pdf"
"4","3","1988-08-01","Benchmark Body Gains Stature With DEC Backing","Computerworld","Irwin Greenstein","press-article","For MIS users, this is one of the significant events of the 1980s. For the first time, MIS users can make apple-to-apple, vendor-to-vendor comparisons.","Peter Kastner, DEC's manager of competitive marketing programs, hailed the founding of the benchmark standards body as a breakthrough for enterprise computing buyers.","yes","medium","Kastner claimed vendor-neutral benchmarks would enable true apples-to-apples comparisons for MIS users. Standardized benchmarks (TPC, SPEC) did become important, but vendors found many ways to game benchmarks, so truly neutral comparisons remained elusive.","5","databases-and-middleware","1980s","","","","not_in_pdf"
"5","4","1989-01-09","Honeywell Bull To Trim 15% Of U.S. Staff","Wall Street Journal","Christopher J. Chipello","press-article","The computer industry now is much like the railroad business was 30 years ago. You either have to be very big, with a comprehensive product line, or you have to be very specialized. Right now, it's unclear that Honeywell Bull will be a long-term player.","Peter Kastner of Aberdeen Group commented on Honeywell Bull's 15% workforce reduction, comparing the computer industry's consolidation to the railroad industry.","yes","high","Kastner predicted Honeywell Bull would not be a long-term player without being very large or very specialized. Honeywell Bull struggled throughout the 1990s, was eventually renamed Groupe Bull, shrank dramatically, and never became a major global computing force.","10","vendor-strategy-and-ma","1980s","","","","not_in_pdf"
"6","4","1989-01-09","Honeywell Bull To Trim 15% Of U.S. Staff","Wall Street Journal","Christopher J. Chipello","press-article","Honeywell Bull had to bite the bullet","Kastner said he believes Pampel, who was president of Apollo Computer before joining Honeywell Bull, was brought in 'to clean up.'","no","not-applicable","Observational — current-state analysis.","0","vendor-strategy-and-ma","1980s","","","","not_in_pdf"
"13","9","1989-02-27","Deep down in their hearts everyone hates Unix","InformationWeek","","press-article","Deep down in their hearts everyone hates Unix. It's terrible for commercial processing.","Peter S. Kastner, a VP and consultant at Aberdeen Group, made this widely quoted assessment of Unix's suitability for commercial computing in 1989.","no","not-applicable","Observational — current-state analysis.","0","os-and-platforms","1980s","","","","not_in_pdf"
"22","14","1989-08-28","Can DEC find an opening on the desktop? PRODUCT SPOTLIGHT; The DEC market","Computerworld","Radding, Alan","press-article","DEC can already claim they have [transparent computing] from the desk to the data center. SAA won't have that for many years,","nes. ""DEC sees holes in IBM's strategy. IBM is forcing users to upgrade to OS/2, and it's excluding Mac, Unix and DEC,"" Schay points out. The NAS/Decwindows strategy clearly leapfrogs anything IBM has done with SAA or Presentation Manager, according to Peter Kastner, vice-president of the Boston-based Aberdeen Group. ""DEC can already claim they have [transparent computing] from the desk to the data center. SAA won't have that for many years,"" Kastner explains. Instead of viewing NAS/Decwindows a","yes","low","Kastner claimed DEC's NAS/DECwindows leapfrogged IBM's SAA and that SAA wouldn't achieve transparent computing for many years. DEC collapsed in the early 1990s and was acquired by Compaq in 1998 before achieving this vision, while Windows dominated desktop computing instead.","3","storage","1980s","","","","pdf_format_mismatch"
"49","31","1992-01-01","Wang Labs turning a profit — Just 2 cents a share, it's 1st since '88","Boston Globe","Jeffrey Krasner","press-article","They made real money. Wang should be applauded for coming back from its position in the grave a year ago and reporting some real honest-to-goodness taxable income","Peter Kastner of The Aberdeen Group praised Wang Laboratories' first profitable quarter since 1988, after Wang earned $2.6 million (2 cents/share).","no","not-applicable","Observational — current-state analysis.","0","vendor-strategy-and-ma","1990s","","","","not_in_pdf"
"169","91","1995-09-01","ODBC: The Unsung Hero of 1995","Software Magazine","Janet Butler","press-article","The fewer databases you have, the better. Tying together different databases is a necessary evil. ODBC is the unsung hero of 1995.","Kastner discussed the growing importance of database connectivity standards. ODBC 2.0 performance was within 5 percent of native database connection, addressing earlier performance complaints.","yes","medium","Kastner called ODBC the unsung hero of 1995, implying its importance would be recognized. ODBC did become a widely used standard through the late 1990s, though it was eventually superseded by JDBC, OLE DB, and later APIs; the observation was accurate for its era.","5","databases-and-middleware","1990s","","","","not_in_pdf"
