"row_id","article_seq","date","headline","publication","author","content_type","kastner_quotation","immediate_context","is_predictive","prescience_score","prescience_rationale","forecast_horizon_years"
"1","1","1987-01-01","Fault-tolerant market to hit $2 billion in '87","Financial Times","","press-article","We are predicting the fault-tolerant market will reach $2 billion in 1987 and grow 40% to 50% each year until 1990","Pete Kastner, manager of marketing development at Stratus Computer, predicted rapid growth in the fault-tolerant computing market, then dominated by Stratus and Tandem.","yes","high","Kastner predicted the fault-tolerant market would reach $2B in 1987 and grow 40–50% annually through 1990. Stratus Computer's market did hit roughly those figures, and fault-tolerant systems grew strongly through the late 1980s before consolidating.","3"
"2","2","1988-06-17","Digital Challenges Tests by IBM of Firms' Midrange Computers","Wall Street Journal","Wall Street Journal staff","press-article","It was one of the cheapest tricks IBM could have pulled. A benchmark should be something that is widely circulated and can be duplicated and verified","John Logan, an Aberdeen Group consultant, criticized IBM's proprietary Ramp-C benchmark for midrange computers, calling it unfair because IBM refused to release the software for independent verification.","no","not-applicable","Observational — current-state analysis.","0"
"3","3","1988-08-01","Benchmark Body Gains Stature With DEC Backing","Computerworld","Irwin Greenstein","press-article","I am going to call some of my colleagues personally in the industry to ask them to join","DEC joined the benchmark standards body (DCC, later TPC) immediately upon notification. Kastner, then at DEC, pledged to personally recruit other industry members.","no","not-applicable","Observational — current-state analysis.","0"
"4","3","1988-08-01","Benchmark Body Gains Stature With DEC Backing","Computerworld","Irwin Greenstein","press-article","For MIS users, this is one of the significant events of the 1980s. For the first time, MIS users can make apple-to-apple, vendor-to-vendor comparisons.","Peter Kastner, DEC's manager of competitive marketing programs, hailed the founding of the benchmark standards body as a breakthrough for enterprise computing buyers.","yes","medium","Kastner claimed vendor-neutral benchmarks would enable true apples-to-apples comparisons for MIS users. Standardized benchmarks (TPC, SPEC) did become important, but vendors found many ways to game benchmarks, so truly neutral comparisons remained elusive.","5"
"5","4","1989-01-09","Honeywell Bull To Trim 15% Of U.S. Staff","Wall Street Journal","Christopher J. Chipello","press-article","The computer industry now is much like the railroad business was 30 years ago. You either have to be very big, with a comprehensive product line, or you have to be very specialized. Right now, it's unclear that Honeywell Bull will be a long-term player.","Peter Kastner of Aberdeen Group commented on Honeywell Bull's 15% workforce reduction, comparing the computer industry's consolidation to the railroad industry.","yes","high","Kastner predicted Honeywell Bull would not be a long-term player without being very large or very specialized. Honeywell Bull struggled throughout the 1990s, was eventually renamed Groupe Bull, shrank dramatically, and never became a major global computing force.","10"
"6","4","1989-01-09","Honeywell Bull To Trim 15% Of U.S. Staff","Wall Street Journal","Christopher J. Chipello","press-article","Honeywell Bull had to bite the bullet","Kastner said he believes Pampel, who was president of Apollo Computer before joining Honeywell Bull, was brought in 'to clean up.'","no","not-applicable","Observational — current-state analysis.","0"
"7","5","1989-02-20","Users finding ESA alternatives","Computerworld","Hamilton, Rosemary","press-article","A lot of 4381 users are saying they don't really need ESA,",""" According to several analysts, while the big shops blaze the ESA trail, hundreds of low-end mainframe shops will take this less-glamorous approach during the next several years. ""A lot of 4381 users are saying they don't really need ESA,"" said Peter Kastner, a vice-president at the Aberdeen Group, a market research firm in Boston. ""There are tens of thousands of companies that can only afford a $250,000 to $500,000 machine. The 4381s will be around for a long time."" As of the end of 1988, ther","no","not-applicable","Observational — current-state analysis.","0"
"8","6","1989-02-20","IBM seen rushing out high-end AS/400 CPU","Computerworld","NEWS Hamilton, Rosemary","press-article","IBM doesn't react to DEC,","ine.' "" However, Peter Kastner, vice-president at the Aberdeen Group, a Boston-based research firm, said this week's introduction is not in response to DEC but rather is to appease some customers that are unhappy with the AS/400's performance. According to Kastner, several midrange and high-end AS/400 users have found that it takes more memory to drive the system than they originally anticipated. ""IBM doesn't react to DEC,"" Kastner said. ""Our guess is the customer base forced them to do this. Th","no","not-applicable","Observational — current-state analysis.","0"
"9","6","1989-02-20","IBM seen rushing out high-end AS/400 CPU","Computerworld","NEWS Hamilton, Rosemary","press-article","Our guess is the customer base forced them to do this. The AS/400 is their pride and joy, and they don't want anything to hurt that reputation.","e customers that are unhappy with the AS/400's performance. According to Kastner, several midrange and high-end AS/400 users have found that it takes more memory to drive the system than they originally anticipated. ""IBM doesn't react to DEC,"" Kastner said. ""Our guess is the customer base forced them to do this. The AS/400 is their pride and joy, and they don't want anything to hurt that reputation."" The memory price cuts, Kastner said, are one way of helping out midrange and high-end AS/400 use","no","not-applicable","Observational — current-state analysis.","0"
"10","7","1989-02-27","Unisys U series casts shadow in Unix arena","Computerworld","NEWS Moran, Robert","press-article","Unisys has quietly become a formidable player in the Unix market through its OEM strategy,","iprocessors. The X/Open branding ensures that the systems will comply with the Common Applications environment specified by the X/Open Consortium Ltd. ""Unisys has quietly become a formidable player in the Unix market through its OEM strategy,"" said Peter Kastner, vice-president of Aberdeen Group, a market research firm in Boston. ""They can now address anybody's requirements at a competitive price."" Unisys' largest growth area has been its Unix-based systems, said Robert Cameron, an analyst at Da","no","not-applicable","Observational — current-state analysis.","0"
"11","8","1989-02-27","RDBMS show they can pull OLTP weight","Computerworld","Relational DBMS Radding, Alan","press-article","the flexibility of the relational model and a lot of overhead,","r running Optimize DB,"" Palmer maintains. Sometimes, however, there is no change at all. Early models Early implementations of RDMBS, used primarily for decision support, had ""the flexibility of the relational model and a lot of overhead,"" says Peter Kastner, vice-president of the Aberdeen Group, a consulting and market research firm based in Boston. ""Now, the vendors are putting in the go-fast tricks they learned in nonrelational DBMSs in response to OLTP's demands,"" he says. Most","no","not-applicable","Observational — current-state analysis.","0"
"12","8","1989-02-27","RDBMS show they can pull OLTP weight","Computerworld","Relational DBMS Radding, Alan","press-article","Users have to be concerned with developing systems that make money for the business,","elational purity and does not think that users who are interested in RDBMSs for on-line transaction processing should let the issue worry or deter them, either. ""Users have to be concerned with developing systems that make money for the business,"" Kastner says. In some cases, gaining RDBMS/OLTP performance may entail giving up some of the flexibility of the relational model, he says, but if benchmarking indicates that is what is necessary, users should not let that stop them. Evidence suggests t","no","not-applicable","Observational — current-state analysis.","0"
"13","9","1989-02-27","Deep down in their hearts everyone hates Unix","InformationWeek","","press-article","Deep down in their hearts everyone hates Unix. It's terrible for commercial processing.","Peter S. Kastner, a VP and consultant at Aberdeen Group, made this widely quoted assessment of Unix's suitability for commercial computing in 1989.","no","not-applicable","Observational — current-state analysis.","0"
