"article_id","headline_norm","horizon_label","horizon_int","row_id"
"admit-orphan-1005","dell oracle linux your next sap platform","SH-5y","5","1005"
"admit-orphan-1020","microsoft says no to compromise","SH-3y","1","1020"
"admit-orphan-1045","high tech monday update","LH","17","1045"
"admit-orphan-1181","sony playstation","SH-3y","3","1181"
"admit-orphan-199","revised dell q2 outlook boosts market","prefilter_skip","0","199"
"admit-orphan-374","dell posts q2 profit predicts q3 growth","prefilter_skip","0","374"
"admit-orphan-426","business turns to composite applications to keep up with competition","prefilter_skip","0","426"
"admit-orphan-458","composite applications used to solve integration problems","prefilter_skip","0","458"
"admit-orphan-494","ibm lands navy supercomputer deal","prefilter_skip","0","494"
"admit-orphan-780","2004 in the it channel rewriting the rules all over again","SH-3y","1","780"
"pdf-0","unix draws a crowd","SH-3y","3","883"
"pdf-0","unix draws a crowd","SH-3y","3","884"
"pdf-0","unix draws a crowd","prefilter_skip","0","29"
"pdf-0","unix draws a crowd","prefilter_skip","0","30"
"pdf-10","sybase sets its own direction","SH-3y","3","950"
"pdf-10","sybase sets its own direction","SH-3y","3","951"
"pdf-10","sybase sets its own direction","SH-5y","4","736"
"pdf-10","sybase sets its own direction","prefilter_skip","0","120"
"pdf-114","the problem kastner explains is that it takes a lot of software to move icons and that in turn requires a","SH-3y","3","1088"
"pdf-115","coding to a graphical interface borders on rocket science it is very difficult and time consuming kastner","SH-3y","3","1089"
"pdf-12","imrs to push client server","SH-3y","1","116"
"pdf-12","imrs to push client server","SH-3y","1","735"
"pdf-12","imrs to push client server","SH-3y","3","946"
"pdf-13","streamlining restores informix to health","SH-3y","3","921"
"pdf-13","streamlining restores informix to health","SH-3y","3","922"
"pdf-13","streamlining restores informix to health","prefilter_skip","0","98"
"pdf-13","streamlining restores informix to health","prefilter_skip","0","99"
"pdf-13","streamlining restores informix to health","prefilter_skip","0","723"
"pdf-131","for instance access already provides referential integrity for its native data at the engine level and allows","SH-3y","3","1091"
"pdf-14","3 700 depart in dec retirement plan","SH-3y","3","910"
"pdf-14","3 700 depart in dec retirement plan","SH-3y","3","911"
"pdf-14","3 700 depart in dec retirement plan","SH-3y","3","912"
"pdf-14","3 700 depart in dec retirement plan","SH-5y","5","91"
"pdf-14","3 700 depart in dec retirement plan","prefilter_skip","0","90"
"pdf-148","this indicates that compaq is serious about developing a distributed architecture that is very scalable said","SH-3y","3","1092"
"pdf-15","for start up 2 million is serius money","SH-3y","3","903"
"pdf-15","for start up 2 million is serius money","prefilter_skip","0","51"
"pdf-152","even partners that don t have to rely on informix for matchmaking namely client server powerhouses such as sap","SH-3y","3","1093"
"pdf-163","the apis will allow application programmers to write software that can notify managers about applications","SH-3y","3","1095"
"pdf-166","organizing shifting from mainframe environments to client server networks do so for various reasons one is to better","SH-3y","3","1096"
"pdf-17","bull forms systems integration unit","SH-5y","5","44"
"pdf-17","bull forms systems integration unit","SH-5y","5","45"
"pdf-17","bull forms systems integration unit","SH-5y","5","714"
"pdf-17","bull forms systems integration unit","SH-5y","5","715"
"pdf-17","bull forms systems integration unit","prefilter_skip","0","43"
"pdf-18","sequoia rebounds with a vengeance","SH-3y","3","712"
"pdf-18","sequoia rebounds with a vengeance","SH-3y","3","893"
"pdf-18","sequoia rebounds with a vengeance","SH-3y","3","894"
"pdf-18","sequoia rebounds with a vengeance","prefilter_skip","0","39"
"pdf-187","new york two technologies continue to vie for the attention of network managers who need to provide decision","SH-3y","3","1097"
"pdf-189","we haven t discovered anything we don t really like it s a definite improvement over system 10","SH-3y","3","1098"
"pdf-189","we haven t discovered anything we don t really like it s a definite improvement over system 10","SH-3y","3","1099"
"pdf-194","vars are a very key part of the pie ultimately says mark marron senior vice president of sales and the person vars","SH-3y","3","1100"
"pdf-2","mini vendors adapt in order to survive","SH-3y","3","867"
"pdf-2","mini vendors adapt in order to survive","SH-3y","3","868"
"pdf-2","mini vendors adapt in order to survive","SH-5y","5","14"
"pdf-20","compaq cleans up its act in battery disposal","LH","10","52"
"pdf-20","compaq cleans up its act in battery disposal","LH","10","53"
"pdf-20","compaq cleans up its act in battery disposal","SH-3y","3","717"
"pdf-20","compaq cleans up its act in battery disposal","SH-3y","3","904"
"pdf-20","compaq cleans up its act in battery disposal","SH-3y","3","905"
"pdf-20","compaq cleans up its act in battery disposal","SH-3y","3","1001"
"pdf-205","peter s kastner media quotations","SH-3y","3","1101"
"pdf-207","certainly no single operating system can be completely secure from","SH-3y","3","1102"
"pdf-208","pc advisor 3ghz p4 launch date set for 14 november","SH-3y","3","1103"
"pdf-21","stratus unix systems to act as sna hosts","SH-3y","3","961"
"pdf-21","stratus unix systems to act as sna hosts","SH-3y","3","962"
"pdf-21","stratus unix systems to act as sna hosts","prefilter_skip","0","129"
"pdf-217","he carefully filled out a card with all the details needed for the rebate sent in the packaging code and the original","SH-3y","3","1104"
"pdf-217","he carefully filled out a card with all the details needed for the rebate sent in the packaging code and the original","SH-3y","3","1105"
"pdf-219","a move to build pcs without windows","SH-3y","1","789"
"pdf-219","a move to build pcs without windows","SH-3y","1","790"
"pdf-22","integration vs specialization","SH-3y","3","888"
"pdf-22","integration vs specialization","SH-3y","3","889"
"pdf-22","integration vs specialization","SH-3y","3","890"
"pdf-22","integration vs specialization","SH-3y","3","891"
"pdf-22","integration vs specialization","prefilter_skip","0","32"
"pdf-22","integration vs specialization","prefilter_skip","0","33"
"pdf-22","integration vs specialization","prefilter_skip","0","34"
"pdf-22","integration vs specialization","prefilter_skip","0","35"
"pdf-22","integration vs specialization","prefilter_skip","0","36"
"pdf-239","amd has no plans for selling off business units denton said the company really only has three main businesses its","SH-3y","3","1106"
"pdf-24","price wars pressure low end forecast","SH-3y","3","147"
"pdf-24","price wars pressure low end forecast","SH-3y","3","148"
"pdf-24","price wars pressure low end forecast","SH-3y","3","977"
"pdf-24","price wars pressure low end forecast","SH-3y","3","978"
"pdf-240","the most recent processor to appear in retail from amd is the athlon xp 2400 kastner said that processor was","SH-3y","3","1107"
"pdf-248","i don t see any loss of momentum for apple kastner said our research shows that people are coming into","SH-3y","3","1108"
"pdf-25","new great late","SH-3y","3","975"
"pdf-25","new great late","SH-3y","3","976"
"pdf-25","new great late","prefilter_skip","0","149"
"pdf-25","new great late","prefilter_skip","0","150"
"pdf-250","apple to answer rumors with facts","SH-3y","3","402"
"pdf-250","apple to answer rumors with facts","SH-3y","3","404"
"pdf-250","apple to answer rumors with facts","SH-3y","3","810"
"pdf-251","with pc sales making up the overwhelming majority of apple revenue the company s worldwide pc shipments also","SH-3y","3","1109"
"pdf-252","it is a little higher than expected said roger kay computer analyst with idc there s not that much of a gap in price","SH-3y","3","1110"
"pdf-255","aberdeen s kastner who said the g5 will benefit from the faster processors new cache and massive memory","SH-3y","3","1111"
"pdf-259","far from the exponential growth curves and hype analyst firm the aberdeen group s digital consumer technology","SH-3y","3","1113"
"pdf-259","far from the exponential growth curves and hype analyst firm the aberdeen group s digital consumer technology","SH-3y","3","1114"
"pdf-26","support for open systems builds piece by piece","LH","10","27"
"pdf-26","support for open systems builds piece by piece","SH-3y","3","28"
"pdf-26","support for open systems builds piece by piece","SH-3y","3","882"
"pdf-262","blade servers wait til next year","SH-5y","4","422"
"pdf-262","blade servers wait til next year","SH-5y","5","421"
"pdf-264","koo says aol expects to deploy a considerable number of blade servers during the next few years and will likely test","SH-3y","3","1116"
"pdf-266","peter kastner vice president at aberdeen group stated the partnership between informix and blyth is a win","SH-3y","3","1117"
"pdf-278","the underlying technologies of interbiz solutions including unicenter tng jasmine 3 d visualizations and neugents","SH-3y","3","1119"
"pdf-279","our research shows that ca customers are a lot happier than they were a year ago when ca started its new","SH-3y","3","1120"
"pdf-28","technology forecast forecast 96","SH-3y","3","1000"
"pdf-28","technology forecast forecast 96","SH-5y","5","173"
"pdf-309","manufacturers count on a low redemption rate as do retailers because they can advertise a discounted price but sell","SH-3y","3","1124"
"pdf-32","kodak hopes deals spur digital imaging growth","prefilter_skip","0","165"
"pdf-321","dell executives said shipments of its optiplex and dimension desktop computers rose 25 percent in the three","SH-3y","3","1127"
"pdf-321","dell executives said shipments of its optiplex and dimension desktop computers rose 25 percent in the three","SH-3y","3","1128"
"pdf-323","dell is clearly serious about its expansion efforts do not overlook the fact that dell computer inc changed its","SH-3y","3","1129"
"pdf-327","although the asset recovery business is profitable its success rests with helping customers purchase additional dell","SH-3y","3","1130"
"pdf-33","popular himalaya gives tandem new options markets","SH-3y","3","750"
"pdf-33","popular himalaya gives tandem new options markets","SH-3y","3","987"
"pdf-33","popular himalaya gives tandem new options markets","SH-3y","3","988"
"pdf-33","popular himalaya gives tandem new options markets","prefilter_skip","0","157"
"pdf-33","popular himalaya gives tandem new options markets","prefilter_skip","0","751"
"pdf-335","peter kastner a personal computer analyst with the aberdeen group said dell s performance supports the","SH-3y","3","1131"
"pdf-335","peter kastner a personal computer analyst with the aberdeen group said dell s performance supports the","SH-3y","3","1132"
"pdf-34","ibm and ca enhance database features","SH-3y","1","747"
"pdf-34","ibm and ca enhance database features","SH-3y","3","982"
"pdf-34","ibm and ca enhance database features","SH-5y","5","153"
"pdf-34","ibm and ca enhance database features","prefilter_skip","0","746"
"pdf-340","pescatore added that cisco should work to reduce the impact of future code exposures by joining the file signature","SH-3y","3","1133"
"pdf-340","pescatore added that cisco should work to reduce the impact of future code exposures by joining the file signature","SH-3y","3","1134"
