"reject","row_id","article_seq","date","headline","publication","author","content_type","kastner_quotation","immediate_context","is_predictive","prescience_score","prescience_rationale","forecast_horizon_years","theme","decade","accuracy_outcome","verdict_rationale","verdict_sources","source_segment_idx","classification","discovery_rule","discovery_confidence","detector_headline_attempted"
"","199","105","2002-07-12","Revised Dell Q2 Outlook Boosts Market","E-Commerce Times","Jennifer LeClaire","online-article","Many universities treat Dell as a preferred vendor,","imes. Gaining Ground Analysts said they expected Dell to profit in the education market, thanks largely to its network of partners developed over the past few years. ""Many universities treat Dell as a preferred vendor,"" Kastner said. ""Students can purchase discounted Dells at the university book store and get free university desktop support."" But in addition to an uptick in education, government and business sales, Dell executives said the company believes it is gaining ma","no","not-applicable","Observational — a factual statement about Dell's preferred vendor status at universities.","0","networking-and-comms","2000s","","","","361","ARTICLE_HEAD","F6","low","Gaining Ground"
"","494","591","2004-07-27","IBM Lands Navy Supercomputer Deal","E-Commerce Times","Keith Regan","online-article","It used to be if you needed a machine this powerful, you had only a handful of places to turn,","Research Officer Peter Kastner told the E-Commerce Times that more companies these days can lash servers together to produce high-powered machines. ""It used to be if you needed a machine this powerful, you had only a handful of places to turn,"" Kastner said, noting that because of the scarcity of such machines, there was little price competition. ""That's no longer the case."" US Aims for Fastest Supercomputer Title By Elizabeth Millard E-Commerce Times 05/13/04 2:27 PM PT Currently, Japan hol","no","not-applicable","Observational — current-state analysis.","0","e-commerce-and-internet","2000s","","","","304","ARTICLE_HEAD","F3","high","Keith Regan"
"","546","234","","Extended Business Markup Language (XBRL) Improves Financial Reporting","Kastner Blog","Peter S. Kastner","blog-post","","","","","","","vendor-strategy-and-ma","","","","","501","ARTICLE_HEAD","F0a","medium","Email ThisBlogThis!Share to TwitterShare to FacebookShare to Pinterest"
"","554","242","","Google Converts Your Phone Number Into a Map to Your House","Kastner Blog","Peter S. Kastner","blog-post","","","","","","","vendor-strategy-and-ma","","","","","527","UNKNOWN","F0a","medium",""
"","555","243","","Google plans web page links. Good or bad?","Kastner Blog","Peter S. Kastner","blog-post","","","","","","","vendor-strategy-and-ma","","","","","538","ARTICLE_HEAD","F0a","medium","Email ThisBlogThis!Share to TwitterShare to FacebookShare to Pinterest"
"","568","256","","IT Holiday: No Microsoft Patches This Month","Kastner Blog","Peter S. Kastner","blog-post","","","","","","","vendor-strategy-and-ma","","","","","530","UNKNOWN","F0a","medium",""
"","575","263","","Internet Explorer 7.0 Details Start Leaking","Kastner Blog","Peter S. Kastner","blog-post","","","","","","","e-commerce-and-internet","","","","","519","ARTICLE_HEAD","F0a","medium","Peter S. Kastner"
"","589","277","","Microsoft Xbox2 to Challenge Sony PS3","Kastner Blog","Peter S. Kastner","blog-post","","","","","","","vendor-strategy-and-ma","","","","","502","ARTICLE_HEAD","F0a","medium","Peter S. Kastner"
"","595","283","","Monday, March 21, 2005","Kastner Blog","Peter S. Kastner","blog-post","","","","","","","vendor-strategy-and-ma","","","","","516","UNKNOWN","F0a","medium",""
"","604","292","","Oracle Outbids SAP for Retek's Retail Apps","Kastner Blog","Peter S. Kastner","blog-post","","","","","","","databases-and-middleware","","","","","515","ARTICLE_HEAD","F0a","medium","Email ThisBlogThis!Share to TwitterShare to FacebookShare to Pinterest"
"","614","302","","Saturday, February 26, 2005","Kastner Blog","Peter S. Kastner","blog-post","","","","","","","vendor-strategy-and-ma","","","","","534","ARTICLE_HEAD","F0a","medium","Email ThisBlogThis!Share to TwitterShare to FacebookShare to Pinterest"
"","629","317","","Sunday, May 01, 2005","Kastner Blog","Peter S. Kastner","blog-post","","","","","","","vendor-strategy-and-ma","","","","","503","ARTICLE_HEAD","F0a","medium","Peter S. Kastner"
"","642","330","","Tip: Faster Windows Startup","Kastner Blog","Peter S. Kastner","blog-post","","","","","","","os-and-platforms","","","","","536","ARTICLE_HEAD","F0a","medium","Peter S. Kastner"
"","643","331","","Tips: iPod Without the iTunes","Kastner Blog","Peter S. Kastner","blog-post","","","","","","","vendor-strategy-and-ma","","","","","536","ARTICLE_HEAD","F0a","medium","Peter S. Kastner"
"","648","336","","Tuesday, March 22, 2005","Kastner Blog","Peter S. Kastner","blog-post","","","","","","","vendor-strategy-and-ma","","","","","515","ARTICLE_HEAD","F0a","medium","Email ThisBlogThis!Share to TwitterShare to FacebookShare to Pinterest"
