reject,row_id,article_seq,date,headline,publication,author,content_type,kastner_quotation,immediate_context,is_predictive,prescience_score,prescience_rationale,forecast_horizon_years,theme,decade,accuracy_outcome,verdict_rationale,verdict_sources,source_segment_idx,classification,discovery_rule,discovery_confidence,detector_headline_attempted
,199,105,2002-07-12,Revised Dell Q2 Outlook Boosts Market,E-Commerce Times,Jennifer LeClaire,online-article,"Many universities treat Dell as a preferred vendor,","imes. Gaining Ground Analysts said they expected Dell to profit in the education market, thanks largely to its network of partners developed over the past few years. ""Many universities treat Dell as a preferred vendor,"" Kastner said. ""Students can purchase discounted Dells at the university book store and get free university desktop support."" But in addition to an uptick in education, government and business sales, Dell executives said the company believes it is gaining ma",no,not-applicable,Observational — a factual statement about Dell's preferred vendor status at universities.,0,networking-and-comms,2000s,,,,361,ARTICLE_HEAD,F6,low,Gaining Ground
,374,595,2002-08-16,"Dell Posts Q2 Profit, Predicts Q3 Growth",E-Commerce Times,Jennifer LeClaire,online-article,"Dell's operating costs -- general, sales and administrative -- are under 10 percent now of sales,","ter, up 19 percent from the year-ago period. Its goal is to improve operating margins and earnings per share by 25 to 30 percent. ""Dell's operating costs -- general, sales and administrative -- are under 10 percent now of sales,"" said Kastner. ""So it's a lean and mean, low-overhead operation."" Dell is ahead of schedule in its effort to save more than $1 billion in total costs this year, including cost cuts in product design Click here to get the Free Email Design No-No's Guide from",no,not-applicable,Observational — current-state financial metric for Dell's operating costs.,0,pcs-and-clients,2000s,,,,349,UNKNOWN,F5,medium,
,426,458,2006-01-05,Business Turns to Composite Applications to Keep Up With Competition,PR Newswire (Aberdeen Group press release),Aberdeen Group,press-release,"The business focus for any organization should be on optimizing the processes that make it unique, such as customer satisfaction, service delivery, low-cost supply, and fast delivery,","erdeen report, ""The Composite Applications Benchmark Report."" ""The business focus for any organization should be on optimizing the processes that make it unique, such as customer satisfaction, service delivery, low-cost supply, and fast delivery,"" said Peter S. Kastner, Vice President of Aberdeen's Enterprise Technology research practice and primary author of the report. ""Our research found that companies are targeting web-based applications first - specifically portals and browser- based applic",no,not-applicable,Observational — general strategic principle about focusing on core business processes,0,enterprise-servers-and-architecture,2000s,,,,301,ARTICLE_CONTINUATION,F5,medium,
,458,488,2007-01-17,Composite Applications Used to Solve Integration Problems,Application Development Trends,James E. Powell,online-article,"The business focus for any organization should be on optimizing the processes that make it unique, such as customer satisfaction, service delivery, low-cost supply, and fast delivery.","Kastner (VP, Aberdeen Enterprise Technology research practice; primary author of The Composite Applications Benchmark Report: How SOA Standards Are Accelerating Business Change) on why companies are using composite applications rather than waiting for full SOA rollout.",no,not-applicable,Observational — current-state analysis.,0,enterprise-servers-and-architecture,2000s,,,,301,ARTICLE_CONTINUATION,F5,medium,
,494,591,2004-07-27,IBM Lands Navy Supercomputer Deal,E-Commerce Times,Keith Regan,online-article,"It used to be if you needed a machine this powerful, you had only a handful of places to turn,","Research Officer Peter Kastner told the E-Commerce Times that more companies these days can lash servers together to produce high-powered machines. ""It used to be if you needed a machine this powerful, you had only a handful of places to turn,"" Kastner said, noting that because of the scarcity of such machines, there was little price competition. ""That's no longer the case."" US Aims for Fastest Supercomputer Title By Elizabeth Millard E-Commerce Times 05/13/04 2:27 PM PT Currently, Japan hol",no,not-applicable,Observational — current-state analysis.,0,e-commerce-and-internet,2000s,,,,304,ARTICLE_HEAD,F3,high,Keith Regan
X,546,234,,Extended Business Markup Language (XBRL) Improves Financial Reporting,Kastner Blog,Peter S. Kastner,blog-post,,,,,,,vendor-strategy-and-ma,,,,,501,ARTICLE_HEAD,F0a,medium,Email ThisBlogThis!Share to TwitterShare to FacebookShare to Pinterest
X,554,242,,Google Converts Your Phone Number Into a Map to Your House,Kastner Blog,Peter S. Kastner,blog-post,,,,,,,vendor-strategy-and-ma,,,,,527,UNKNOWN,F0a,medium,
X,555,243,,Google plans web page links. Good or bad?,Kastner Blog,Peter S. Kastner,blog-post,,,,,,,vendor-strategy-and-ma,,,,,538,ARTICLE_HEAD,F0a,medium,Email ThisBlogThis!Share to TwitterShare to FacebookShare to Pinterest
X,568,256,,IT Holiday: No Microsoft Patches This Month,Kastner Blog,Peter S. Kastner,blog-post,,,,,,,vendor-strategy-and-ma,,,,,530,UNKNOWN,F0a,medium,
X,575,263,,Internet Explorer 7.0 Details Start Leaking,Kastner Blog,Peter S. Kastner,blog-post,,,,,,,e-commerce-and-internet,,,,,519,ARTICLE_HEAD,F0a,medium,Peter S. Kastner
