reject,row_id,article_seq,date,headline,publication,author,content_type,kastner_quotation,immediate_context,is_predictive,prescience_score,prescience_rationale,forecast_horizon_years,theme,decade,accuracy_outcome,verdict_rationale,verdict_sources,source_segment_idx,classification,discovery_rule,discovery_confidence,detector_headline_attempted
,,,,"The problem, Kastner explains, is that ""it takes a lot of software to move icons, and that, in turn, requires a",AP,,,"The problem, Kastner explains, is that ""it takes a lot of software to move icons, and that, in turn, requires a lot of MIPS."" ""You need at least 6M bytes on the user's desk to do anything with Decwindows,"" says Charles Babcock, editor of Boston-based Digital","The problem, Kastner explains, is that ""it takes a lot of software to move icons, and that, in turn, requires a lot of MIPS."" ""You need at least 6M bytes on the user's desk to do anything with Decwindows,"" says Charles Babcock, editor of Boston-based Digital News. Of course, in this regard, DEC's problem is no different from IBM's. OS/2 and Presentation Manager also require hefty desktop devices, typically high-end, 386-based PCs with high-resolution graphics capabilities. Decwindows ""can be a",,,,,,,,,,114,ARTICLE_HEAD,R1,medium,"The problem, Kastner explains, is that ""it takes a lot of software to move icons, and that, in turn, requires a"
,,,,"""Coding to a graphical interface borders on rocket science. It is very difficult and time-consuming,"" Kastner",AP,,,"""Coding to a graphical interface borders on rocket science. It is very difficult and time-consuming,"" Kastner explains. As a result, most developers have to be cautious about where and when they commit their limited resources. Compatibility with X Window and Motif may well be a critical deciding factor in how well DEC does with independents. Some","""Coding to a graphical interface borders on rocket science. It is very difficult and time-consuming,"" Kastner explains. As a result, most developers have to be cautious about where and when they commit their limited resources. Compatibility with X Window and Motif may well be a critical deciding factor in how well DEC does with independents. Some vendors are jumping onto the X Window and Motif bandwagons with the expectation that those standards will suffice for users who want to implement their products in a Decwindows environment. Applications written for Motif can run",,,,,,,,,,115,ARTICLE_HEAD,R1,medium,"""Coding to a graphical interface borders on rocket science. It is very difficult and time-consuming,"" Kastner"
,,,,OLTP Yields Better Software Tools,,,,"DBMSs in response to OLTP's demands,"" he says. Most of these improvements have nothing to do with the relational model -- they come from better use of the overall system architecture or by providing a better set of software tools. Kastner, however, is not all that concerned about relational purity and does not think that users who are interested in RDBMSs for on-line transaction processing should let the issue worry or deter them, either. ""Users have to be concerne","research firm based in Boston. ""Now, the vendors are putting in the go-fast tricks they learned in nonrelational DBMSs in response to OLTP's demands,"" he says. Most of these improvements have nothing to do with the relational model -- they come from better use of the overall system architecture or by providing a better set of software tools. Kastner, however, is not all that concerned about relational purity and does not think that users who are interested in RDBMSs for on-line transaction processing should let the issue worry or deter them, either. ""Users have to be concerne",,,,,,,,,,120,ARTICLE_CONTINUATION,R1,medium,
,,,,"For instance, Access already provides referential integrity for its native data at the engine level and allows",,,,"ting tables. Through Access Basic, developers can use commit and rollback features and locking for transaction operations. As a result, “You're going to see the PC databases pushing the bigger database development products down in price,'' Kastner says. It's going to be a lot harder to ask, say, $2,000 for SQLWindows when you can get any of the top PC databases for less than $500","For instance, Access already provides referential integrity for its native data at the engine level and allows users to define default values and validation rules to enforce data integrity when creating tables. Through Access Basic, developers can use commit and rollback features and locking for transaction operations. As a result, “You're going to see the PC databases pushing the bigger database development products down in price,'' Kastner says. It's going to be a lot harder to ask, say, $2,000 for SQLWindows when you can get any of the top PC databases for less than $500",,,,,,,,,,131,ARTICLE_HEAD,R1,medium,"For instance, Access already provides referential integrity for its native data at the engine level and allows"
,,,,"""This indicates that Compaq is serious about developing a distributed architecture that is very scalable,"" said",Inc.,,,"""This indicates that Compaq is serious about developing a distributed architecture that is very scalable,"" said Peter Kastner, vice president at the Aberdeen Group Inc., in Boston. The ServerNet-based PCI cards and hubs are expected to be available by mid-1996, Rooke said. The companies also plan to promote ServerNet as an industry standard for the clustering of NT-based","""This indicates that Compaq is serious about developing a distributed architecture that is very scalable,"" said Peter Kastner, vice president at the Aberdeen Group Inc., in Boston. The ServerNet-based PCI cards and hubs are expected to be available by mid-1996, Rooke said. The companies also plan to promote ServerNet as an industry standard for the clustering of NT-based servers. Tandem said other companies, including LAN hub providers, database suppliers, and telephone service pro-viders, have shown interest in the technology. Tandem is already working with NEC Technologies Inc. to design",,,,,,,,,,148,ARTICLE_HEAD,R1+R3,high,"""This indicates that Compaq is serious about developing a distributed architecture that is very scalable,"" said"
,,,,Even partners that don't have to rely on Informix for matchmaking--namely client/server powerhouses such as SAP,AP,,,"Alex Ott, vice president of Strategic Partnerships at SAP. Call it the click of credibility. ""Informix has a catalog of applications the size of the Manhattan phone book, but the knock has been that those applications aren't world-class,"" says Peter Kastner, of the Aberdeen Group. ""You can't say that anymore, given that it's the database in one SAP sale a day."" Of course, it helps that Informix has ""the fresh","Even partners that don't have to rely on Informix for matchmaking--namely client/server powerhouses such as SAP America--say good things. ""With Informix we just clicked right away,"" says Alex Ott, vice president of Strategic Partnerships at SAP. Call it the click of credibility. ""Informix has a catalog of applications the size of the Manhattan phone book, but the knock has been that those applications aren't world-class,"" says Peter Kastner, of the Aberdeen Group. ""You can't say that anymore, given that it's the database in one SAP sale a day."" Of course, it helps that Informix has ""the fresh",,,,,,,,,,152,ARTICLE_HEAD,R1,medium,Even partners that don't have to rely on Informix for matchmaking--namely client/server powerhouses such as SAP
,,,,Informix takes on Sybase,,,,"by Sybase. Analysts say parallel processing is now hitting it big and Informix is in the best position to take advantage of it. ""They have put in place a very well-thought-out architecture for delivering high performance on multiprocessors,"" says Kastner. With loads of cash and even more confidence, White says he is now ready to bolster its name recognition and pump up the company's excitement factor. ""We want to extend the database into new areas,"" he says. In other words, Informix is rea","White also decided to bet on parallel processing and other key technologies that have been overlooked by Sybase. Analysts say parallel processing is now hitting it big and Informix is in the best position to take advantage of it. ""They have put in place a very well-thought-out architecture for delivering high performance on multiprocessors,"" says Kastner. With loads of cash and even more confidence, White says he is now ready to bolster its name recognition and pump up the company's excitement factor. ""We want to extend the database into new areas,"" he says. In other words, Informix is rea",,,,,,,,,,155,UNKNOWN,R1,medium,
,,,,"""The APIs will allow application programmers to write software that can notify managers about applications-",AP,,,"""The APIs will allow application programmers to write software that can notify managers about applications- related events so they can catch system errors or errors in the making,"" Kastner adds. ICE will monitor HTTP servers for errors and exceptional events, and through its manager/ agent technology watch for system vital signs that signal outages and performance problems. An app written to the ICE APIs could generate an alert, and","""The APIs will allow application programmers to write software that can notify managers about applications- related events so they can catch system errors or errors in the making,"" Kastner adds. ICE will monitor HTTP servers for errors and exceptional events, and through its manager/ agent technology watch for system vital signs that signal outages and performance problems. An app written to the ICE APIs could generate an alert, and through the Ingres database these alerts can be e-mailed to managers. With Intranet application-savvy system management, IS managers can also give marketing staff",,,,,,,,,,163,ARTICLE_HEAD,R1,medium,"""The APIs will allow application programmers to write software that can notify managers about applications-"
,,,,Organizing shifting from mainframe environments to client/server networks do so for various reasons. One is to better,Inc.,,,"of end users. However, client/server, by nature, generates disparate databases. For IS, that means new headaches when end users want to be able to access them all from their desktops. Ideally, ""the fewer databases you have, the better,"" said Peter Kastner, group vice president of Aberdeen Group Inc., Boston. But in the real world, he said, companies are forced to provide access to multiple databases because they house critical information. ""Tying together","Organizing shifting from mainframe environments to client/server networks do so for various reasons. One is to better get data in the hands of end users. However, client/server, by nature, generates disparate databases. For IS, that means new headaches when end users want to be able to access them all from their desktops. Ideally, ""the fewer databases you have, the better,"" said Peter Kastner, group vice president of Aberdeen Group Inc., Boston. But in the real world, he said, companies are forced to provide access to multiple databases because they house critical information. ""Tying together",,,,,,,,,,166,ARTICLE_HEAD,R1+R3,high,Organizing shifting from mainframe environments to client/server networks do so for various reasons. One is to better
,,,,NEW YORK--Two technologies continue to vie for the attention of network managers who need to provide decision-,AP,,,"on of network managers who need to provide decision- support applications to analyze huge data sources and archives--multidimensional database technology (MDD) and relational on-line analytical processing, or ROLAP. At DB Expo here last week, Peter Kastner, senior analyst at the Aberdeen Group Inc., Boston, moderated a debate between representatives of both vendor communities to highlight some advantages and disadvantages of each. A multidimensional database essentially compiles the contents of a dat","NEW YORK--Two technologies continue to vie for the attention of network managers who need to provide decision- support applications to analyze huge data sources and archives--multidimensional database technology (MDD) and relational on-line analytical processing, or ROLAP. At DB Expo here last week, Peter Kastner, senior analyst at the Aberdeen Group Inc., Boston, moderated a debate between representatives of both vendor communities to highlight some advantages and disadvantages of each. A multidimensional database essentially compiles the contents of a data warehouse into a database that ho",,,,,,,,,,187,ARTICLE_HEAD,R1,medium,NEW YORK--Two technologies continue to vie for the attention of network managers who need to provide decision-
