"row_id","horizon_label","horizon_int","headline","publication","date","kastner_quotation","analyst_prescience_score","analyst_accuracy_outcome","score_p1","bucket_p1","confidence_p1","rationale_p1","score_p2","bucket_p2","confidence_p2","rationale_p2","buckets_agree","p1_minus_p2"
"883","SH-3y","3","Unix draws a crowd","Computerworld","1990-03-19","went out of [its] way to be nothing like Stratus.","not-applicable","not-predictive","3","medium","2","Through the early 1990s Tandem’s Integrity and NonStop product lines continued to use their own process-pair and voting-style fault-tolerant designs, remaining architecturally distinct from Stratus’s lockstep pair-and-spare systems as Kastner characterized.[8][11] The two vendors maintained different implementation philosophies and software stacks at least through the mid‑1990s, with Tandem’s NonStop lineage and Stratus’s platforms evolving separately rather than converging on a common model.[8][11][13] However, the quote mainly described an already-present design choice rather than forecasting a future market or technology shift, so its prescience is limited even though it was directionally accurate over the 3‑year horizon.[8][13]","0","low","2","The statement is a characterization of Tandem’s design and product-strategy intent relative to Stratus at a point in time, not a falsifiable prediction about future technology or market evolution. While Tandem and Stratus did maintain distinct architectural approaches in the early 1990s, there is no clear way to verify whether Tandem ""went out of its way"" to differ from Stratus, so the claim cannot be meaningfully judged for prescience over a three-year horizon. Accordingly, it is scored as not assessable rather than right or wrong.","false","3"
"884","SH-3y","3","Unix draws a crowd","Computerworld","1990-03-19","Does my application run better on a uniprocessor or spread over a bunch of general-purpose processors?","not-applicable","not-predictive","0","low","3","In the early 1990s, enterprises indeed weighed high-performance uniprocessor systems against emerging multiprocessor and fault-tolerant Unix platforms such as Tandem NonStop and similar systems, but this was already a contemporary reality rather than a future-looking forecast[8]. The quoted remark is a rhetorical framing of an existing trade-off and does not make a concrete prediction about how performance or adoption would evolve, so its prescience cannot meaningfully be assessed.","0","low","3","The quoted text is framed purely as a rhetorical question about how to choose between uniprocessor and multiprocessor systems, not as a prediction that one approach would prevail or how the market would evolve. Because it does not actually forecast a trend, adoption pattern, or outcome over the 3‑year horizon, there is no meaningful claim to evaluate for prescience.","true","0"
"950","SH-3y","3","Sybase sets its own direction","Computerworld","1993-05-03","Sybase has always been known for blazing their own technology path and not necessarily following the rest of the industry,","not-applicable","not-predictive","3","medium","3","From 1993 to roughly 1996, Sybase did pursue some distinctive technologies such as System 10 with integrated Replication Server and Open Client/Open Server middleware, and then Sybase IQ as an early columnar analytics database, which supported the idea that it was willing to chart its own technical course. At the same time, its core Adaptive Server (then SQL Server/ASE) remained a conventional relational client/server database closely tracking industry norms alongside Oracle7 and Informix, and Sybase did not end up defining the mainstream model for distributed enterprise computing, with Oracle and later Microsoft SQL Server becoming the primary reference points. Thus the characterization of Sybase as a consistent technology path-blazer was only partly borne out in the subsequent three years and did not become its enduring reputation.","3","medium","3","Sybase in the late 1980s and early 1990s did pursue and was recognized for a distinct technology path, notably with its early commercial client/server RDBMS, Open Client/Open Server middleware interfaces, and its Transact-SQL and stored procedure-centric model that differed from Oracle’s implementation. Between 1993 and roughly 1996, it continued to push its own agenda with products like System 10/System 11, Replication Server, and Sybase IQ for decision support, emphasizing distributed and client/server computing even as Oracle and others focused more heavily on large SMP Unix and emerging data warehousing stacks. However, by the mid-1990s most major RDBMS vendors had adopted similar distributed and client/server capabilities, and Sybase increasingly followed broader industry trends rather than defining them, so the strong form of “always been known for blazing their own path” only partially held up.","true","0"
"951","SH-3y","3","Sybase sets its own direction","Computerworld","1993-05-03","Clearly, they can differentiate themselves by finding a better model for distributed enterprise computing, and that's what they believe they've got with System 10.","high","validated","2","medium","3","System 10 did introduce notable distributed enterprise features such as Replication Server and gateway technology, and Sybase remained identified with advanced client/server and replication in several financial and telecom niches through the mid‑1990s. However, the System 10 line suffered from quality and delivery problems, Microsoft split from Sybase and took SQL Server its own way in 1994, and Oracle 7 continued to consolidate leadership in distributed enterprise databases, so Sybase did not achieve a clearly superior or broadly market-differentiating distributed model by 1996. In retrospect, System 10 gave Sybase some technical distinction but not the kind of sustained, widely acknowledged differentiation that the quote implies would be possible.","2","medium","3","Sybase System 10 did introduce a relatively sophisticated client/server and distributed computing architecture, and in the mid‑1990s it was adopted in some large-scale financial and telecom environments, giving Sybase a measure of technical differentiation. However, within roughly three years Oracle 7 and the rapidly improving Microsoft SQL Server pulled ahead in market share and mindshare, while Sybase struggled with buggy releases and stalled growth, so System 10’s “better model” did not translate into durable competitive differentiation and marked the beginning of Sybase’s long relative decline.","true","0"
"946","SH-3y","3","IMRS TO PUSH CLIENT/SERVER","Computerworld","1993-04-19","The client/server application market is wide open. A lot of companies haven't delivered products yet, and the reality is that purchases won't be made until 1994,","medium","partially-validated","4","high","3","In 1993 the packaged client/server financials and ERP market was still early, with vendors like SAP (R/3), PeopleSoft, Oracle, and Baan only beginning to ship robust client/server suites and many enterprises still on mainframe or minicomputer general-ledger systems. Large waves of client/server financial and ERP purchasing did in fact accelerate in the 1994–1996 window, as these suites matured and enterprises began major replacement projects, confirming the idea that many buyers were waiting for more complete products. While some pioneering deals closed before 1994, the characterization of a wide-open market in 1993 and the timing of mainstream purchasing starting around 1994 were directionally accurate, warranting a high but not perfect score.","4","high","3","By 1993, most large enterprises still relied on mainframe-based financial and accounting systems, and surveys from the mid‑1990s show only a small minority of mainframe shops were actively developing client/server applications, indicating that the market was indeed still emerging. Large-scale purchasing of client/server financial and ERP suites — such as SAP R/3, Oracle Financials, and PeopleSoft — ramped up dramatically from about 1994 through 1996, aligning well with the prediction that broad purchasing would not occur until 1994. The only caveat is that some early adopters began buying earlier and leading vendors crystallized quickly, so the market was not “wide open” for very long.","true","0"
"921","SH-3y","3","Streamlining restores Informix to health","Computerworld","1992-08-03","A lot of companies hit $150 million in annual revenue, as Informix did, and they have to stop and re-evaluate what business they are really in,","high","validated","0","low","3","The quotation is essentially a generic management truism about firms around $150 million needing to reassess strategy, not a concrete, time-bound prediction about Informix’s future. Informix did streamline in the early 1990s, deemphasizing non-core products and focusing on its database and tools business while growing into a major Unix RDBMS vendor by the mid-1990s, but this restructuring was already underway at the time of the article rather than a forecast that could be judged over the subsequent three years. Because the claim lacks specific falsifiable content tied to the 3‑year horizon, its prescience cannot be meaningfully assessed.","0","low","2","The quotation is a generic management truism about companies needing to reassess strategy at around $150 million in revenue, and it mainly describes Informix’s then-current situation rather than predicting a concrete future outcome. In the three years after 1992, Informix’s revenue grew well beyond that level and the company did refocus on core database and tools while de-emphasizing ancillary applications, but those shifts were already underway and the statement does not make a specific, falsifiable claim about what would happen by 1995. Because it lacks clear, testable content tied to the forecast horizon, its prescience cannot be meaningfully assessed.","true","0"
"922","SH-3y","3","Streamlining restores Informix to health","Computerworld","1992-08-03","They had a database, some office automation tools and [Innovative Software, Inc.'s] Wingz [graphical spreadsheet]. The synergy of those products wasn't all that obvious, and the company wasn't big enough to keep all those major product areas up to snuff,","not-applicable","not-predictive","5","high","3","Kastner’s diagnosis that Informix lacked the scale and product synergy to sustain databases, office automation, and the Wingz spreadsheet was borne out within a few years, as the company’s office automation efforts and Wingz failed commercially and were effectively abandoned or passed on (e.g., the Mac version becoming Claris Resolve) while Informix refocused on its Unix database and related tools. By the mid‑1990s Informix was essentially a database/tools company rather than a broad productivity-suite vendor, validating his view that it could not keep all those major product areas ‘up to snuff’ and needed to concentrate on its core database business.","4","high","3","Within a few years, Informix effectively abandoned Wingz and de-emphasized its office automation products, while concentrating investment and marketing on its core database technologies such as Informix-OnLine. The database business became the company’s growth and identity driver through the mid-1990s, and the productivity tools never achieved strategic or financial parity, validating the view that there was little real synergy and insufficient scale to keep all those lines competitive. The claim is more a shrewd diagnosis than a bold long-range prediction, but it aligns well with how Informix’s portfolio and strategy actually evolved over the 3-year horizon.","true","1"
"910","SH-3y","3","3,700 depart in DEC retirement plan","Computerworld","1992-06-08","Too many people are focused on a single variable the number of employees at DEC and its rate of change without looking at the bigger pictures,","high","validated","4","high","3","In the three years after 1992, DEC continued to struggle despite repeated layoffs and headcount reductions, as revenue and profits remained under pressure and its core minicomputer product lines kept losing ground to Unix servers and PCs[1]. The technically impressive Alpha architecture and growing services business could not offset structural declines in its traditional systems franchise, and by the mid‑1990s DEC was widely viewed as a company with deep strategic and product‑market problems rather than one that merely needed to resize its workforce[1][9].","4","high","3","Kastner’s point that DEC’s problems went beyond headcount proved accurate, as the company’s core minicomputer and VAX product sales continued to erode in the early 1990s under pressure from Unix servers and PC-based client-server systems. Between 1992 and roughly 1995, DEC went through repeated restructurings and losses, pivoting to Alpha and services but failing to restore its former growth, showing that the ""bigger picture"" of deteriorating product competitiveness and market shifts mattered more than any single downsizing event. This broader structural decline culminated later in the decade with DEC’s weakened position and its 1998 acquisition by Compaq, reinforcing that focusing only on employee counts obscured the real issues.","true","0"
"911","SH-3y","3","3,700 depart in DEC retirement plan","Computerworld","1992-06-08","DEC's product sales have been deteriorating for the past several years. While the service business has been growing by around 18%, it's not enough to take up the slack.","not-applicable","not-predictive","5","high","3","From 1992 through 1994, DEC's hardware and minicomputer product revenues continued to decline, producing large losses such as a net loss of over $2 billion on $13.5 billion in revenue in fiscal 1994[1][4]. The expanding services business could not compensate: DEC undertook major restructurings and announced plans in 1994 to cut 20,000 jobs and close or sell facilities as product margins eroded[2][11]. These dynamics persisted into the mid-1990s, with services still insufficient to offset deteriorating product sales, culminating in DEC's weakened state and eventual acquisition by Compaq in 1998[4][8].","4","high","3","From 1992 through the mid-1990s, DEC’s core hardware and systems product revenues continued to erode under pressure from Unix workstations and commodity PCs, forcing repeated restructurings and layoffs. Its services and support business did grow and became a larger share of revenue, but this growth did not restore overall revenue or profitability to prior levels, and the company remained financially weakened. The fact that DEC never achieved a sustained turnaround and was ultimately acquired by Compaq later in the decade shows that services growth was insufficient to offset deteriorating product sales in the years following the quote.","true","1"
"912","SH-3y","3","3,700 depart in DEC retirement plan","Computerworld","1992-06-08","DEC is focused on Alpha as the answer to all future questions, and they're willing to rewrite history at the very dear expense of their [Mips Computer Systems, Inc.-based] customers,","high","validated","4","high","3","Within three years of 1992, DEC had clearly repositioned the company around the 64-bit Alpha architecture, marketing it as the strategic successor for both its VAX and Unix product lines rather than continuing to invest heavily in multiple CPU families. Over this same period, DEC effectively wound down its MIPS-based DECstation workstation line and pushed customers toward Alpha-based systems, validating the warning that MIPS customers would be disadvantaged even if the phrasing about ""all future questions"" overstates the degree to which other platforms persisted in the mid‑1990s.","5","high","3","From 1992–1995, DEC rapidly repositioned its product strategy around the Alpha AXP architecture, marketing it as the unified future for both workstations and servers while deemphasizing VAX and effectively abandoning its short-lived MIPS workstation line. DEC canceled OSF/1 and further development on MIPS-based DECstations and moved new OSF/1 work to Alpha only, forcing MIPS customers either to migrate to Alpha or to other vendors at their own cost, with no real low-cost MIPS/OSF/1 path maintained. This confirmed the analyst’s characterization that DEC would ""rewrite history"" around Alpha at the expense of its MIPS installed base within the three-year horizon.","true","-1"
