"theme","decade","accuracy_outcome","count","exemplar_row_ids"
"databases-and-middleware","1980s","not-predictive","3","863; 869; 864"
"databases-and-middleware","1980s","too-vague","1","880"
"databases-and-middleware","1980s","validated","2","873; 879"
"databases-and-middleware","1990s","not-predictive","14","820; 901; 896; 907; 906"
"databases-and-middleware","1990s","partially-validated","3","846; 989; 996"
"databases-and-middleware","1990s","too-vague","3","829; 985; 997"
"databases-and-middleware","1990s","validated","10","858; 930; 931; 951; 972"
"databases-and-middleware","2000s","not-predictive","2","800; 801"
"emerging-tech","1990s","not-predictive","1","888"
"emerging-tech","1990s","validated","4","830; 848; 968; 967"
"emerging-tech","2000s","contradicted","1","832"
"emerging-tech","2000s","not-predictive","3","786; 794; 847"
"emerging-tech","2000s","validated","3","787; 853; 845"
"enterprise-servers-and-architecture","1980s","not-predictive","3","860; 859; 878"
"enterprise-servers-and-architecture","1980s","validated","3","874; 861; 862"
"enterprise-servers-and-architecture","1990s","not-predictive","17","793; 731; 827; 813; 889"
"enterprise-servers-and-architecture","1990s","partially-validated","1","838"
"enterprise-servers-and-architecture","1990s","validated","9","788; 837; 886; 926; 956"
"enterprise-servers-and-architecture","2000s","not-predictive","5","777; 799; 802; 804; 844"
"enterprise-servers-and-architecture","2000s","partially-validated","2","812; 803"
"enterprise-servers-and-architecture","2000s","validated","1","824"
"fault-tolerant-and-high-availability","1990s","contradicted","1","964"
"fault-tolerant-and-high-availability","1990s","not-predictive","5","883; 884; 954; 962; 961"
"fault-tolerant-and-high-availability","1990s","partially-validated","1","927"
"fault-tolerant-and-high-availability","1990s","validated","2","928; 988"
"it-spend-and-market-outlook","1990s","partially-validated","2","887; 946"
"it-spend-and-market-outlook","1990s","validated","1","978"
"it-spend-and-market-outlook","2000s","too-vague","1","781"
"it-spend-and-market-outlook","2000s","validated","4","780; 798; 779; 821"
"mobile-and-wireless","2000s","contradicted","1","817"
"mobile-and-wireless","2000s","partially-validated","3","810; 835; 831"
"mobile-and-wireless","2000s","validated","3","841; 850; 852"
"networking-and-comms","2000s","not-predictive","3","823; 816; 815"
"networking-and-comms","2000s","validated","1","814"
"os-and-platforms","1980s","not-predictive","1","876"
"os-and-platforms","1980s","validated","3","882; 865; 866"
"os-and-platforms","1990s","not-predictive","6","939; 941; 944; 965; 940"
"os-and-platforms","1990s","partially-validated","1","1000"
"os-and-platforms","1990s","too-vague","1","899"
"os-and-platforms","1990s","validated","7","885; 908; 948; 947; 900"
"os-and-platforms","2000s","contradicted","1","789"
"os-and-platforms","2000s","mixed","1","833"
"os-and-platforms","2000s","not-predictive","1","771"
"pcs-and-clients","1980s","validated","4","867; 868; 870; 881"
"pcs-and-clients","1990s","not-predictive","2","892; 903"
"pcs-and-clients","1990s","partially-validated","3","904; 929; 1001"
"pcs-and-clients","1990s","validated","10","717; 897; 905; 895; 917"
"pcs-and-clients","2000s","not-predictive","8","778; 796; 797; 808; 822"
"pcs-and-clients","2000s","partially-validated","1","772"
"pcs-and-clients","2000s","too-vague","1","818"
"pcs-and-clients","2000s","validated","10","773; 790; 819; 840; 806"
"security","2000s","not-predictive","3","783; 784; 785"
"security","2000s","partially-validated","1","809"
"storage","2000s","not-predictive","1","807"
"storage","2000s","partially-validated","2","792; 791"
"vendor-strategy-and-ma","1980s","not-predictive","1","877"
"vendor-strategy-and-ma","1980s","validated","3","871; 875; 872"
"vendor-strategy-and-ma","1990s","mixed","1","893"
"vendor-strategy-and-ma","1990s","not-predictive","15","826; 891; 890; 922; 920"
"vendor-strategy-and-ma","1990s","partially-validated","1","993"
"vendor-strategy-and-ma","1990s","too-vague","2","902; 975"
"vendor-strategy-and-ma","1990s","validated","14","805; 828; 898; 913; 919"
"vendor-strategy-and-ma","2000s","contradicted","1","843"
"vendor-strategy-and-ma","2000s","mixed","1","782"
"vendor-strategy-and-ma","2000s","not-predictive","1","776"
"vendor-strategy-and-ma","2000s","unverifiable","1","795"
"vendor-strategy-and-ma","2000s","validated","2","775; 774"
