tech_id,tech_name,category,vendor,era,lifecycle_at_study,lifecycle_current,study_id,notes
erp,Enterprise Resource Planning (ERP),application,multiple,1990-,mature,unknown,erpv2p~1-b15573,Core business applications: Finance/Accounting; Manufacturing/Logistics; HR Management; Sales/Distribution
mrp,Material Requirements Planning (MRP),application,multiple,1970-,declining,unknown,erpv2p~1-b15573,First-generation predecessor to ERP; focused on materials flow inside plant; lacking demand forecasting
sap-r3,SAP R/3,application,SAP AG,1992-,mature,unknown,erpv2p~1-b15573,Best-selling SAP product; moving from big-bang to componentized modules; Business Engineer (BE) process modeler included
sap-r2,SAP R/2,application,SAP AG,1979-1993,legacy,unknown,erpv2p~1-b15573,Mainframe ERP; predecessor to R/3; developed by four ex-IBM employees 25 years before report
sap-acceleratedsap,AcceleratedSAP (ASAP),framework,SAP AG,1996-,emerging,unknown,erpv2p~1-b15573,Rapid implementation methodology addressing protracted implementation complaints; supports middle market
baan-series,BaanSeries,application,Baan Company,1997-,emerging,unknown,erpv2p~1-b15573,Componentized ERP suite; includes BaanERP and Dynamic Enterprise Modeler (DEM) for process modeling
baan-dem,Dynamic Enterprise Modeler (DEM),framework,Baan Company,1996-,emerging,unknown,erpv2p~1-b15573,Most mature process modeling entry per Aberdeen; Baan's Target Enterprise implementation methodology included
oracle-release-11,Oracle Applications Release 11,application,Oracle Corporation,1998-,emerging,unknown,erpv2p~1-b15573,Financials/Manufacturing/HRM; Application Wizard for process modeling; competitive with SAP; vertical market solutions via partners
oracle-aim,Oracle AIM,framework,Oracle Corporation,1995-,active,unknown,erpv2p~1-b15573,Oracle's Applications Implementation Methodology; listed alongside Baan/PeopleSoft/SAP rapid implementation methodologies
peoplesoft-apps,PeopleSoft Enterprise Applications,application,PeopleSoft,1992-,mature,unknown,erpv2p~1-b15573,Financials/Materials Management/Distribution/Supply Chain/Manufacturing/HR; DirectPath process modeling product; version 7.5 for Order Management and Manufacturing
peoplesoft-directpath,PeopleSoft DirectPath,framework,PeopleSoft,1997-,emerging,unknown,erpv2p~1-b15573,PeopleSoft's process modeling and rapid implementation technology; competing with Baan DEM and SAP Business Engineer
jde-oneworld,J.D. Edwards OneWorld,application,J.D. Edwards,1996-,emerging,unknown,erpv2p~1-b15573,Platform-independent; introduced June 1996; CASE technology foundation; Windows NT and AS/400 support
apo,Advanced Planning and Optimization (APO),application,multiple,1994-,emerging,unknown,erpv2p~1-b15573,Market >$600M per Aberdeen; bridges ERP/MRP gap; capacity/resource/schedule optimization; i2 RHYTHM is leading product
i2-rhythm,i2 RHYTHM,application,i2 Technologies,1994-,emerging,unknown,erpv2p~1-b15573,i2's APO product suite; supply chain planning/scheduling across enterprise; synchronous and asynchronous ERP/legacy integration
imi-system-ess,IMI System ESS,application,IMI,1990-,active,unknown,erpv2p~1-b15573,Pull-driven customer-demand order fulfillment; targets $250M+ companies; Consumer Packaged Goods/wholesale distribution focus
infinium-domino,Infinium/Lotus Domino Integration,application,Infinium Software,1998-,emerging,unknown,erpv2p~1-b15573,First business application supplier to capitalize on IBM's native Lotus Domino implementation on AS/400
marcam-protean,Marcam Protean,application,Marcam Solutions,1997-,emerging,unknown,erpv2p~1-b15573,First fully object-based Process ERP solution; Windows NT; Protean 3.0 complete with process automation/financials/order management
marcam-prism,Marcam Prism,application,Marcam Solutions,1990-,mature,unknown,erpv2p~1-b15573,Most functionally rich AS/400-based process manufacturing ERP solution per Aberdeen; process manufacturing focus
qad-mfgpro,QAD MFG/PRO,application,QAD Inc.,1985-,mature,unknown,erpv2p~1-b15573,Flagship QAD product; global supply chain/manufacturing/distribution/financials/service; 82 countries; 30% Fortune 100 customers
qad-onq,QAD On/Q,application,QAD Inc.,1997-,emerging,unknown,erpv2p~1-b15573,Extended supply chain; 100% Java and CORBA compliant; componentized; manages complex demand/fulfillment across multi-vendor supply chain
lawson-insight,Lawson Insight Business Management System,application,Lawson Software,1995-,active,unknown,erpv2p~1-b15573,Web-deployable; multi-level cross-organizational workflow; non-manufacturing focus; Minneapolis MN
windows-nt,Windows NT,platform,Microsoft,1993-,mature,unknown,erpv2p~1-b15573,WINTEL (Windows NT on Intel) strategy; attractive price point for mid-market; key ERP platform
internet,Internet,protocol,multiple,1993-,emerging,unknown,erpv2p~1-b15573,Described as now a 'metaphor'; enabling e-commerce and B2B transactions; fundamental to IRP model
object-oriented-technology,Object-Oriented Technology (OOT),framework,multiple,1990-,emerging,unknown,erpv2p~1-b15573,One of three IRP convergent technologies; component-based architectures; IBM/Microsoft/Sun infrastructure providers
eai,Enterprise Application Integration (EAI),application,multiple,1997-,emerging,unknown,erpv2p~1-b15573,Distinct emerging market per Aberdeen; integrates at business semantics/process level vs. traditional middleware; 8 named vendors
network-centric-computing,Network-Centric Computing (NCC),framework,multiple,1995-,emerging,unknown,erpv2p~1-b15573,Third IRP convergent technology; multi-topology network; Internet/Intranet architecture; scaleable server hardware with RDBMS and TP-monitor middleware
kanban,KANBAN/JIT Manufacturing,framework,multiple,1980-,mature,unknown,erpv2p~1-b15573,Just-in-time supply chain execution adopted in early 1990s; driving need for cross-enterprise ERP
microsoft-ole,Microsoft OLE,protocol,Microsoft,1993-,mature,unknown,erpv2p~1-b15573,Cited as familiar integration model (spreadsheet to financial system); precursor vision for future IRP integration
irp-model,Infinite Resource Planning (IRP),framework,Aberdeen Group,1998-,emerging,unknown,erpv2p~1-b15573,Aberdeen's conceptual model for next-generation ERP: object orientation + network-centric computing + Internet; cross-company multi-tier supply chain
