code_id,code_type,label,definition
strategy-classification,observation_type,Strategy Classification,Categorization of an entity's business strategy
viability-prediction,observation_type,Viability Prediction,Expert prediction of entity's long-term survival
actual-outcome,observation_type,Actual Outcome,Verified historical outcome for an entity
technology-assessment,observation_type,Technology Assessment,Evaluation of a technology's maturity or fitness
benchmark-result,observation_type,Benchmark Result,Quantitative comparison against peers or standards
framework-factor,observation_type,Framework Factor,One component of a multi-factor analytical framework
market-data,observation_type,Market Data,Quantitative market statistic
expert-opinion,observation_type,Expert Opinion,Qualitative professional judgment
personal-recollection,observation_type,Personal Recollection,First-person memory or anecdote from Kastner
ai-exchange,observation_type,AI Exchange,A question posed by Kastner and the AI response extracted as a structured observation
topic-insight,observation_type,Topic Insight,An analytical claim or framework point within a technology topic deep-dive
industry-analysis,methodology,Industry Analysis,Systematic analysis of industry structure and dynamics
competitive-profiling,methodology,Competitive Profiling,Detailed comparison of competing entities
benchmarking,methodology,Benchmarking,Comparison against industry standards or peers
field-research,methodology,Field Research,Primary data collection via interviews or surveys
document-review,methodology,Document Review,Analysis of existing documents and records
statistical-analysis,methodology,Statistical Analysis,Quantitative data analysis with statistical methods
oral-history,methodology,Oral History,First-person spoken or written recollection of events
ai-dialog,methodology,AI Dialog,Question-and-answer exchange between a human and an AI system
high,confidence,High Confidence,Strong evidentiary basis; multiple corroborating sources
medium,confidence,Medium Confidence,Reasonable basis but limited corroboration
low,confidence,Low Confidence,Directional judgment with limited evidence
verified,confidence,Verified,Confirmed by subsequent events or independent sources
study-design,observation_type,Study Design,Study-specific code: study-design
quantitative-survey,methodology,Quantitative Survey,Study-specific code: quantitative-survey
demographic-finding,observation_type,Demographic Finding,Study-specific code: demographic-finding
strategic-finding,observation_type,Strategic Finding,Study-specific code: strategic-finding
storage-capacity,observation_type,Storage Capacity,Study-specific code: storage-capacity
storage-utilization,observation_type,Storage Utilization,Study-specific code: storage-utilization
technology-mix,observation_type,Technology Mix,Study-specific code: technology-mix
storage-growth-projection,observation_type,Storage Growth Projection,Study-specific code: storage-growth-projection
technology-adoption,observation_type,Technology Adoption,Study-specific code: technology-adoption
data-copies,observation_type,Data Copies,Study-specific code: data-copies
data-classification,observation_type,Data Classification,Study-specific code: data-classification
market-insight,observation_type,Market Insight,Study-specific code: market-insight
market-conclusion,observation_type,Market Conclusion,Study-specific code: market-conclusion
willingness-to-adopt,observation_type,Willingness To Adopt,Study-specific code: willingness-to-adopt
market-readiness,observation_type,Market Readiness,Study-specific code: market-readiness
purchase-intent,observation_type,Purchase Intent,Study-specific code: purchase-intent
backup-restore,observation_type,Backup Restore,Study-specific code: backup-restore
 old email),methodology, Old Email),Study-specific code:  old email)
pain-point,observation_type,Pain Point,Study-specific code: pain-point
positioning-recommendation,observation_type,Positioning Recommendation,Study-specific code: positioning-recommendation
terminology-recommendation,observation_type,Terminology Recommendation,Study-specific code: terminology-recommendation
market-opportunity,observation_type,Market Opportunity,Study-specific code: market-opportunity
