code_id,code_type,label,definition
strategy-classification,observation_type,Strategy Classification,Categorization of an entity's business strategy
viability-prediction,observation_type,Viability Prediction,Expert prediction of entity's or technology's future state or survival
actual-outcome,observation_type,Actual Outcome,Verified historical outcome for an entity or technology
technology-assessment,observation_type,Technology Assessment,"Evaluation of a technology's maturity, architecture, or fitness for purpose"
benchmark-result,observation_type,Benchmark Result,Quantitative or qualitative comparison against peers or standards
framework-factor,observation_type,Framework Factor,"One component of a multi-factor analytical framework (e.g., HPSN stages)"
market-data,observation_type,Market Data,Quantitative or factual market statistic or position
expert-opinion,observation_type,Expert Opinion,Qualitative professional judgment by Aberdeen analysts or cited users
industry-analysis,methodology,Industry Analysis,Systematic analysis of industry structure and competitive dynamics
competitive-profiling,methodology,Competitive Profiling,"Detailed comparison of competing products, entities, or strategies"
benchmarking,methodology,Benchmarking,Comparison against industry standards or peers using quantitative metrics
field-research,methodology,Field Research,"Primary data collection via on-site visits, interviews, or surveys"
document-review,methodology,Document Review,"Analysis of existing documents, specifications, and records"
statistical-analysis,methodology,Statistical Analysis,Quantitative data analysis with statistical methods
product-profiling,methodology,Product Profiling,"Structured evaluation of a specific product's features, architecture, and market position"
user-research,methodology,User Research,Primary research via interviews and site visits with actual product users
high,confidence,High Confidence,Strong evidentiary basis; multiple corroborating sources or direct measurement
medium,confidence,Medium Confidence,Reasonable basis but limited corroboration; directional with some evidence
low,confidence,Low Confidence,Directional judgment with limited evidence; speculative
verified,confidence,Verified,Confirmed by subsequent events or independent sources
emerging,lifecycle,Emerging,Technology newly introduced; limited deployment; rapidly evolving
mature,lifecycle,Mature,Technology widely deployed; standards stable; well-understood
declining,lifecycle,Declining,Technology losing market share; being superseded by newer alternatives
obsolete,lifecycle,Obsolete,Technology no longer in active commercial use or development
legacy-supported,lifecycle,Legacy-Supported,Technology no longer evolving but still maintained for backward compatibility
active,lifecycle,Active,Technology in active development and broad current deployment
expert-opinion,methodology_code,Expert Opinion,Methodology: expert-opinion
