"code","category","description"
"analyst-assessment","methodology","Analysis based on Aberdeen Group analyst evaluation and judgment"
"vendor-claim","methodology","Statistic or claim sourced from vendor-provided data"
"benchmark","methodology","Formal performance benchmark result"
"public-record","methodology","Fact verified from public records or historical sources"
"strategy-classification","observation_type","Classification of an entity's strategic positioning or approach"
"viability-prediction","observation_type","Forward-looking prediction about a technology or company's viability"
"actual-outcome","observation_type","Documented actual outcome of a prior prediction or claim"
"technology-assessment","observation_type","Evaluation of a technology's capabilities or characteristics"
"benchmark-result","observation_type","Result from a formal or informal benchmark comparison"
"framework-factor","observation_type","Factor identified as part of a framework or structured analysis"
"market-data","observation_type","Market size, share, or adoption metric"
"expert-opinion","observation_type","Opinion or judgment from a recognized industry expert"
