entity_id,entity_name,entity_type,sector,hit_count,first_context
e89-01,Stanley-Vidmar,company,industrial-manufacturing,50,ble for their style of management.   ## **IMPLICATION**   - Stanley-Vidmar's computer selection problem is best suited to a custom con
aberdeen-group,Aberdeen Group,firm,IT market analysis,26,AS/400 HP 3000 with 2024 Metadata**   **I.** IN WHAT WAY IS ABERDEEN GROUP QUALIFIED  TO CONSULTTO STANLEY- VIDMAR ON MATTERS CONCERNI
hewlett-packard,Hewlett-Packard,company,technology hardware,24,erformance of the AS/400 in relationship to both comparable Hewlett-Packard and Digital systems.   Research Studies. In-depth market st
gartner,Gartner,firm,IT Market Research,9,OMPARE THE QUALIFICATIONS OF ABERDEEN GROUP TO THOSE OF THE GARTNER GROUP AND OTHER RESEARCH FIRMS. IS THE ABERDEEN GROUP MORE
gartner-group,Gartner Group,firm,IT market analysis,8,OMPARE THE QUALIFICATIONS OF ABERDEEN GROUP TO THOSE OF THE GARTNER GROUP AND OTHER RESEARCH FIRMS. IS THE ABERDEEN GROUP MORE EXPERI
arthur-andersen,Arthur Andersen,company,accounting,5,"o HP   - IBM's AS/400 performance as reported in _Report of Arthur Andersen & Co. -- RAMP-C Benchmark_ , dated June 1, 1989.   - Aberde"
peter-kastner,Peter S. Kastner,person,IT Market Research,4,"verification.   Aberdeen's principals -- Charles T. Casale, Peter S. Kastner, John R. Logan, and Thomas H. Willmott -- are recognized in"
prime-computer,Prime Computer,company,technology/minicomputers,3,tem (the CDC 3600) and director of corporate development at Prime Computer. He began his career as a large-scale computer systems arch
john-r-logan,John R. Logan,person,IT-analyst,3,"erdeen's principals -- Charles T. Casale, Peter S. Kastner, John R. Logan, and Thomas H. Willmott -- are recognized industry figures"
unisys,Unisys,company,IT services / mainframe,2,"pliers (Data General, Stratus, Prime, Hewlett-Packard, DEC, Unisys, IBM, Wang and numerous software   enterprises) second to n"
e89-05,Arthur Andersen & Co.,company,professional-services,2,"o HP   - IBM's AS/400 performance as reported in _Report of Arthur Andersen & Co. -- RAMP-C Benchmark_ , dated June 1, 1989.   - Aberdeen's e"
forrester,Forrester Research,firm,IT market analysis,1,"t an extension of either's public relations department.   - Forrester Research is in the newsletter and seminar business, not consulting."
stratus-computer,Stratus Computer,company,technology/fault-tolerant computing,1,"ement positions with Digital Equipment, Prime Computer, and Stratus Computer. He has been a consultant with Arthur D. Little where for 9"
yankee-group,Yankee Group,firm,technology research / analyst,1,"deen, he was director of mid-range computer research at the Yankee Group where he followed HP and IBM products as well as co-authore"
data-general,Data General,company,computer-hardware,1,"al, Business Week, Computer World, MIS Week) and suppliers (Data General, Stratus, Prime, Hewlett-Packard, DEC, Unisys, IBM, Wang an"
aberdeen-transaction-services,Aberdeen Transaction Services,firm,technology/benchmark auditing,1,"president of Aberdeen Group, Inc. and is general manager of Aberdeen Transaction Services, an Aberdeen unit providing industry analysis and consultin"
mis-week,MIS Week,institution,technology media,1,"press (Wall Street Journal, Business Week, Computer World, MIS Week) and suppliers (Data General, Stratus, Prime, Hewlett-Packa"
idc,International Data Corporation (IDC),firm,technology research and advisory,1,d Forrester frequently recommend each other's services.   - International Data Corporation (IDC) is well known as the official numbers keeper of the industr
wall-street-journal,Wall Street Journal,institution,financial / technology press,1,"ive on the midrange marketplace is considered by the press (Wall Street Journal, Business Week, Computer World, MIS Week) and suppliers (Da"
amdahl,Amdahl,company,IT-hardware,1,"less. An IBM mainframe site has competitive alternatives in Amdahl and NAS. Stanley-Vidmar, once committed, has no reasonable"
enc-01,Encore Computer Corporation,company,computer-hardware,1,"founding officer of three high-technology companies (Taxon; Encore Computer; DQ Securities), architect of a major computer system (the"
stanley-works,Stanley Works,company,Industrial Tools,1,"nager of Information Systems Stanley-Vidmar Division of the Stanley Works 11 Grammes Road Allentown, PA 18103   Dear Mr. Walsh:   Att"
university-of-michigan,University of Michigan,institution,academia,1,arned a BSE with a major in Industrial Engineering from the University of Michigan and an MBA from Harvard University.   ## **PETER S. KASTNER
