char_offset,trigger_labels,sentence
1529,best_in_class,## **Best-in-Class Performance**
1564,best_in_class,"Three key performance indicators (KPIs) were used to identify those companies that are succeeding in their application development efforts, Aberdeen’s Best-in-Class."
1732,best_in_class,"|**KPI**|**Best-in-Class Performance**|
|---|---|
|Application development costs|**100%**saw reduction|
|Application maintenance costs|**72%**saw reduction|
|User satisfaction in IT service levels|**89%**saw improvement|"
2033,best_in_class;figure_reference,"Although prior Aberdeen research implied an even split between SOA infrastructure and web services strategies, the closer focus of this study revealed that Best-in-Class companies are building out SOA middleware infrastructure by a margin of nearly two to one (Figure 1)."
3779,best_in_class,The Best-in-Class recognize that SOA is a disruptive technology and are putting their money into building expertise.
7585,best_in_class,Table 1: Companies With Top Performance Earn  “Best-in-Class” Status:....9 Table 2: Best-in-Class PACE Framework..............................................................10 Table 3: Competitive Framework...........................................................................12 Table 4: PACE Framework .......................................................................................23 Table 5: Maturity Framework...................................................................................24 Table 6: Relationship between PACE and Competitive Framework..............24
8400,best_in_class,## **Chapter One: Benchmarking the Best-in-Class**
8480,percentage_stat,"While 90% of the Global 5000 have enthusiastically adopted plans and projects to implement new applications using services-oriented technologies (i.e., SOA), Aberdeen research in _ESB and SOA Middleware_ (June 2006) and _The Legacy Application Modernization Benchmark Report_ (September 2006) show a clear bifurcation of technology approaches to “getting to services”:"
9513,best_in_class,√ **100%** of Best-in-Class organizations report an improvement in application development costs using SOA
10298,figure_reference,"For this study, we looked more closely at the approaches in use (Figure 1)."
10719,figure_reference,## **Figure 1: What Technologies Are Being Used?**
11425,best_in_class;figure_reference,The top three drivers for Best-in-Class are different than those of the Industry Average and Laggard groups (Figure 2):
11937,figure_reference,**Figure 2: Top drivers for SOA and web services**
12673,best_in_class,Aberdeen used three key performance criteria to distinguish Best-in-Class companies from Industry Average and Laggard organizations:
12905,best_in_class,## **Table 1: Companies With Top Performance Earn Best-in-Class Status:**
13907,best_in_class,## **Best-in-Class PACE Model**
13941,best_in_class;percentage_stat,"Aberdeen’s methodology for understanding the top performing 20% of companies – the Best-in-Class – looks at business pressures, potential actions, organizational capabilities, and technology enablers."
14144,best_in_class,"The Best-in-Class (BIC) view SOA as a business strategy for accelerating the delivery of game-changing products and services, not as IT modernization."
14522,best_in_class,**Table 2: Best-in-Class PACE Framework**
15841,percentage_stat,"To solve this supplydemand imbalance, more than 90% of Global 5000 IT organizations by the end of 2006 had embarked on using a new architecture (SOA) and new development technologies."
16268,best_in_class,"With such a deep divide between the two approaches to distributed applications, web services or full SOA infrastructure, we wanted to know which would yield the larger benefits in terms of application lifecycle costs, productivity, and user satisfaction. **Best-in-Class organizations are twice as likely as the industry average to have focused on SOA middleware infrastructure rather than web services.** Only 17% indicated that they used a combination of full SOA and web services in their application development."
18253,best_in_class,√ Best-in-Class companies are **twice as likely** to have deployed SOA middleware rather than just web services.
18370,best_in_class;percentage_stat,"√ **39%** of Best-in-Class organizations measure application lifecycle cost, versus 13% of the Industry Average."
18487,best_in_class,√ **41%** of Best-in-Class are using SOA management and governance software.
18564,percentage_stat,Only 17% of Industry Average and 7% of Laggard companies are using these critical tools.
