entity_id,entity_name,entity_type,sector,hit_count,first_context
microsoft,Microsoft,company,Software,4,ystems_**<br>**_Management_**<br>BMC<br>CA<br>IBM Tivoli<br>Microsoft<br>Sun|||||||||    With the Mercury Systinet repository and
systinet,Systinet,company,enterprise-software,3,"management (which Mercury gained through its acquisition of Systinet in January), governance, performance, and development life-"
mercury-interactive,Mercury Interactive Corporation,company,Software / Performance Testing,2,"cury**   ## **Market Event**   Hewlett-Packard is acquiring Mercury Interactive, a leader in information technology optimization software."
ibm-tivoli,IBM Tivoli,company,Enterprise Systems Management,2,*_Enterprise Systems_**<br>**_Management_**<br>BMC<br>CA<br>IBM Tivoli<br>Microsoft<br>Sun|||||||||    With the Mercury Systinet r
aberdeen-group,Aberdeen Group,firm,IT market analysis,1,vernance software will help some of HP’s largest customers. Aberdeen Group recommended a focus on IT governance as one requirement for
peter-kastner,Peter S. Kastner,person,IT Market Research,1,"h_|||| |_Needed Framework;_<br> May 2006||||    **Author:** Peter S. Kastner, VP and Research Director, (peter.kastner@aberdeen.com)   F"
hewlett-packard,Hewlett-Packard,company,technology hardware,1,"rings with Acquisition of Mercury**   ## **Market Event**   Hewlett-Packard is acquiring Mercury Interactive, a leader in information t"
amberpoint,AmberPoint,company,enterprise-software,1,--|---|---|---| ||**_Governance &_**<br>**_Compliance_**<br>Amberpoint<br>CA<br>Compuware<br>IBM Rational<br>Planview<br>Progress
ibm-rational,IBM Rational,company,enterprise-software,1,_**<br>**_Compliance_**<br>Amberpoint<br>CA<br>Compuware<br>IBM Rational<br>Planview<br>Progress Actional||**_Enterprise Systems_**<
planview,Planview,company,enterprise-software,1,ance_**<br>Amberpoint<br>CA<br>Compuware<br>IBM Rational<br>Planview<br>Progress Actional||**_Enterprise Systems_**<br>**_Manage
progress-actional,Progress Actional,company,enterprise-software,1,mberpoint<br>CA<br>Compuware<br>IBM Rational<br>Planview<br>Progress Actional||**_Enterprise Systems_**<br>**_Management_**<br>BMC<br>CA<
