entity_id,entity_name,entity_type,sector,hit_count,first_context
aberdeen-group,Aberdeen Group,firm,IT market analysis,36,Aberdeen's Perspectives<br>For more<br>information about<br>Aberdeen Group:<br>Email Us<br>phone 800-577-<br>7891<br>outside the US:<b
valerie-oconnell,Valerie O'Connell,person,market-research,15,"Fix Maintenance||| |July 2001|Enterprise Systems Management|Valerie O'Connell| |In this evolving market space, Computer Network Solutions"
compaq,Compaq,company,computing/pc-server,10,"storage architectures.|    |_InSights:_HP's Acquisition of Compaq: Beyond the Naysayers, the| |---| |Promise and the Opportun"
microsoft,Microsoft,company,Software,7,Aberdeen_Insight_argues that Linux will join IBM's z/OS and Microsoft's<br>Windows as the primary server OSs before the end of th
dan-tanner,Dan Tanner,person,Market Research / IT Consulting,7,| |November<br>2001<br>Storage and Storage<br>Management<br>Dan Tanner| |This Aberdeen_InSight_discusses how blade servers can ach
stephen-lane,Stephen Lane,analyst,it-professional-services-research,7,ly 2001|Application Service Providers|Lew Hollerbach and<br>Stephen Lane|| |This Aberdeen_Impact_examines the implications of the Su
intel,Intel,company,semiconductors,6,s `Benchmark Gorilla' Sets New SAP Standard on Windows- and Intel-based ES7000 Database Server November e-Business and Enterp
oracle,Oracle,company,enterprise software,6,SAP should enthusiastically support Oracle9i and the Compaq/Oracle technology partnership.   _Viewpoint:_ Expense Management A
unisys,Unisys,company,IT services / mainframe,6,inuing changes in this highly diverse industry.   _Impact:_ Unisys `Benchmark Gorilla' Sets New SAP Standard on Windows- and I
reefedge,Reefedge,company,wireless-networking,6,ing - but now bankrupt - Exodus Communications.   _Impact:_ Reefedge's Connect System Makes Wireless LANs Enterprise-Strength De
ipass,iPass,company,communications-service-providers,6,to the world of mission-critical applications.   _Profile:_ iPass: Extending the Reach of Global Remote Access Through Greate
michael-hoch,Michael Hoch,person,market-research,6,grated Platform|||| |August<br>2001|Internet Infrastructure|Michael Hoch|| |This Aberdeen_Impact_examines Surgient Networks' single
ENT-013,Peter Kastner,person,market-research,5,"pport| |---| |October<br>2001<br>Enterprise Applications<br>Peter Kastner| |In this_InSight_, Aberdeen details why we believe almost"
tim-minahan,Tim Minahan,person,market-research,5,Portfolio?| |November<br>2001<br>Supply Chain Management<br>Tim Minahan|    This Aberdeen _Executive White Paper_ reviews the chall
chris-martins,Chris Martins,person,market-research,5,mer Care|||| |July 2001|Customer Relationship<br>Management|Chris Martins|| |This_Announcement Profile_reviews the specifics of the C
ed-black,Ed Black,person,technology research and advisory,3,"Members Identify IT Spending Hotspots   December e-Business Ed Black 2001 While the full tale of the tape is not yet known, prel"
verisign,VeriSign,company,Internet Infrastructure / Security,3,"rm is the chief focus of this Aberdeen _Impact_ . _Impact:_ VeriSign's Managed DNS Services: Flexible, Trusted Domain Name Manag"
cable-and-wireless,Cable & Wireless (C&W),company,telecommunications,3,"unications In this _InSight_ , Aberdeen outlines U.K.-based Cable & Wireless (C&W) $850 million bid to acquire the majority of assets from for"
exodus-communications,Exodus Communications,company,web-hosting,3,ity of assets from former hosting king - but now bankrupt - Exodus Communications.   _Impact:_ Reefedge's Connect System Makes Wireless LANs
managed-ops,ManagedOps,company,application-service-providers,3,"ubstantially reduced its administrative costs by turning to ManagedOps, an application service provider (ASP) providing Great Plai"
guy-creese,Guy Creese,person,,3,"rtners, and Employees   October 2001   Internet Analytics   Guy Creese   With its _Kaidara Commerce_ and _Kaidara Advisor_ softwar"
isaac-ro,Isaac Ro,person,IT-research,3,"br>Handheld Platform by 2005||| |September<br>2001|Wireless|Isaac Ro, David<br>Wright, and<br>Christopher Fletcher| |In this_InS"
honeywell,Honeywell,company,computer-hardware,2,ntain a comprehensive shield against viruses.||| |_Profile:_Honeywell IC and Webridge: Creating Electronic Customer<br>`Intimacy'
dell,Dell,company,information technology hardware,2,br>optimization strategy to boost earnings.||||| |_Profile:_Dell Ramps Up Its Product and Service Offerings in the U.K.<br>a
peoplesoft,PeopleSoft,company,Enterprise Software,2,"high-quality, fully functional streaming media. _InSight:_ PeopleSoft's Messages Connect with Customers: New Products, Renewed Co"
pragmatech-software,Pragmatech Software,company,CRM-sales-automation,2,"t, scalable network storage<br>environments.|||| |_Profile:_Pragmatech Software: Accelerating Sales with Proposal<br>Automation|||| |August"
mapics,MAPICS,company,ERP-manufacturing,2,oftware and its RFP and Proposal<br>products.|||| |_Impact:_MAPICS Cameleon: An Integrated Front-Office Solution to<br>Streaml
convergys,Convergys,company,customer-care-outsourcing,2,ffice solution quickly and cost effectively.|||| |_Profile:_Convergys and Siebel: An Alliance to Deliver Enterprise-<br>Class Cus
surgient-networks,Surgient Networks,company,network-infrastructure,2,"ns for the<br>telecommunications marketplace.|||| |_Impact:_Surgient Networks: Simplified Networking Through a<br>Flexible, Integrated Pl"
onetta,Onetta,company,optical-networking,2,imary server OSs before the end of the decade.||| |_Impact:_Onetta Embeds Intelligence into the Optical Network||| |July 2001|
datacore-software,DataCore Software,company,storage-software,2,banks to help businesses succeed in e-Commerce.   _Impact:_ DataCore Software's SANsymphony: Storage Virtualization Value Made Real   Aug
informatica,Informatica,company,data-integration-analytics,2,amines the basics of RiverSoft's Version 3.||||| |_Profile:_Informatica: Generating Cross-Enterprise Insight||||| |June 2001||Data
tom-manter,Tom Manter,person,market-research,2,"November<br>2001<br>Windows NT/Windows 2000<br>Platforms<br>Tom Manter| |This Aberdeen_InSight_discusses the ""blade server paradig"
george-peabody,George Peabody,person,IT market research,2,|| |August<br>2001|Carrier and Enterprise<br>Communications|George Peabody|| |This Aberdeen_Profile_describes the need for metering an
jim-hurley,Jim Hurley,person,IT-research-and-advisory,2,for a Rethinking of Security June 2001 Information Security Jim Hurley A new invasion is occurring on PCs throughout the enterpris
jack-maynard,Jack Maynard,person,market-research,2,"September<br>2001<br>Collaborative Business<br>Solutions<br>Jack Maynard| |Manufacturers today operate in a competitive, technology-"
bill-claybrook,Bill Claybrook,person,market-research,2,the Move - Up!||| |July 2001|Linux and Open Source Software|Bill Claybrook| |This Aberdeen_Insight_argues that Linux will join IBM's z
computer-associates,Computer Associates International,company,Enterprise Software,1,"eBusiness application and software and services division of Computer Associates International, Inc. (CA) offers an innovative strategy for open, end-to-e"
hewlett-packard,Hewlett-Packard,company,technology hardware,1,"ce and security, and provide direct file control. _Impact:_ Hewlett-Packard's FSAM: The Storage Federation Gathers October Storage and"
wayne-kernochan,Wayne Kernochan,person,technology research and advisory,1,eterogeneous World||||| |June 2001||Enterprise Applications|Wayne Kernochan|| |This Aberdeen_Profile_describes Computer Associates' Bri
