"code_id","code_type","code_value","description","study_id"
"METH-001","methodology_code","ANALYST-INTERVIEW","Findings based on Aberdeen client interviews","1997-object-technology-meets-demand-mana-551c84"
"METH-002","methodology_code","ANALYST-EXPERT","Aberdeen analyst expert opinion","1997-object-technology-meets-demand-mana-551c84"
"METH-003","methodology_code","WEB-RESEARCH","Outcome verified via web/archival research post-publication","1997-object-technology-meets-demand-mana-551c84"
"OBS-TYPE-001","observation_type","strategy-classification","Classification of strategic position or approach","1997-object-technology-meets-demand-mana-551c84"
"OBS-TYPE-002","observation_type","viability-prediction","Forward-looking prediction about market or technology viability","1997-object-technology-meets-demand-mana-551c84"
"OBS-TYPE-003","observation_type","actual-outcome","Verified historical outcome corresponding to a prediction","1997-object-technology-meets-demand-mana-551c84"
"OBS-TYPE-004","observation_type","technology-assessment","Evaluation of technology capabilities or positioning","1997-object-technology-meets-demand-mana-551c84"
"OBS-TYPE-005","observation_type","market-data","Quantitative or qualitative market data","1997-object-technology-meets-demand-mana-551c84"
"OBS-TYPE-006","observation_type","expert-opinion","Aberdeen analyst opinion","1997-object-technology-meets-demand-mana-551c84"
"OBS-TYPE-007","observation_type","framework-factor","Factor in an analytical or conceptual framework","1997-object-technology-meets-demand-mana-551c84"
