"code_id","code_type","label","definition"
"strategy-classification","observation_type","Strategy Classification","Categorization of organizational approach within the Aberdeen Competitive Framework tiers (Laggard, Industry Norm, Best in Class)"
"viability-prediction","observation_type","Viability Prediction","Observation is a forward-looking prediction about future market conditions, technology adoption, or business outcomes made at time of study"
"actual-outcome","observation_type","Actual Outcome","Retrospective record of what actually happened to a company, product, or technology after the study date; used to assess prescience"
"technology-assessment","observation_type","Technology Assessment","Empirical evaluation of a specific technology product or system based on hands-on testing, performance measurement, or documented behavior"
"benchmark-result","observation_type","Benchmark Result","Quantitative or time-based measurement from testing; a specific metric value obtained through direct measurement or structured evaluation"
"framework-factor","observation_type","Framework Factor","A component or variable within an analytical framework or model used to structure the analysis; a dimension of a multi-factor evaluation scheme"
"market-data","observation_type","Market Data","Quantitative or qualitative data point about market size, pricing, cost structures, or commercial dynamics derived from research"
"expert-opinion","observation_type","Expert Opinion","Observation records an analyst judgment, interpretation, or recommendation that goes beyond raw data to offer evaluative conclusions"
"personal-recollection","observation_type","Personal Recollection","First-person memory or anecdote from Kastner"
"ai-exchange","observation_type","AI Exchange","A question posed by Kastner and the AI response extracted as a structured observation"
"topic-insight","observation_type","Topic Insight","An analytical claim or framework point within a technology topic deep-dive"
"industry-analysis","methodology_code","Industry Analysis","Qualitative and quantitative assessment of industry trends, competitive dynamics, and market conditions using publicly available information"
"competitive-profiling","methodology_code","Competitive Profiling","Structured analysis of specific vendor strategies, product positioning, and competitive strengths and weaknesses"
"benchmarking","methodology_code","Benchmarking","Systematic measurement and comparison of performance using standardized test specifications with full-disclosure reporting"
"field-research","methodology_code","Field Research","Primary research conducted through direct interaction with products, services, or market participants in real-world settings"
"document-review","methodology_code","Document Review","Assessment based on review of published documentation such as vendor support policies and threat databases"
"statistical-analysis","methodology","Statistical Analysis","Quantitative analysis of survey data including frequency distributions, cross-tabulations, and trend analysis"
"oral-history","methodology","Oral History","First-person spoken or written recollection of events"
"ai-dialog","methodology","AI Dialog","Question-and-answer exchange between a human and an AI system"
"high","confidence","High Confidence","Assessment or data point is well-supported by multiple sources, specific numbers, or direct document citations"
"medium","confidence","Medium Confidence","Finding supported by qualitative analysis, expert interpretation, or retrospective assessment with reasonable evidence"
"low","confidence","Low Confidence","Finding is inferred from limited evidence in the source text or involves significant extrapolation"
"verified","confidence","Verified","Confirmed by subsequent events or independent sources; applied to actual-outcome observations"
"snr_first_appearance","observation_type","Snr_First_Appearance","Study-specific code: snr_first_appearance"
"deck-figure","methodology","Deck Figure","Study-specific code: deck-figure"
"downsizing_definition","observation_type","Downsizing_Definition","Study-specific code: downsizing_definition"
"deck-text","methodology","Deck Text","Study-specific code: deck-text"
"conrades_quote","observation_type","Conrades_Quote","Study-specific code: conrades_quote"
"deck-quotation","methodology","Deck Quotation","Study-specific code: deck-quotation"
"automotive_case_history","observation_type","Automotive_Case_History","Study-specific code: automotive_case_history"
"deck-case-history","methodology","Deck Case History","Study-specific code: deck-case-history"
"manufacturing_case_history","observation_type","Manufacturing_Case_History","Study-specific code: manufacturing_case_history"
"banking_case_history","observation_type","Banking_Case_History","Study-specific code: banking_case_history"
"kastner_role","observation_type","Kastner_Role","Study-specific code: kastner_role"
"deck-cover","methodology","Deck Cover","Study-specific code: deck-cover"
"ad_cycle_vision","observation_type","Ad_Cycle_Vision","Study-specific code: ad_cycle_vision"
"kastner_career_lineage","observation_type","Kastner_Career_Lineage","Study-specific code: kastner_career_lineage"
"deck-bio","methodology","Deck Bio","Study-specific code: deck-bio"
"ps2_lan_for_case","observation_type","Ps2_Lan_For_Case","Study-specific code: ps2_lan_for_case"
