"code_id","code_type","label","definition"
"ANALYST-EXPERT","methodology_code","Analyst Expert","Aberdeen analyst expert opinion or market assessment"
"ANALYST-PRODUCT","methodology_code","Analyst Product","Aberdeen product capability assessment"
"WEB-RESEARCH","methodology_code","Web Research","Outcome verified via web/archival research post-publication"
"strategy-classification","observation_type","Strategy Classification","Classification of vendor or enterprise strategic position"
"viability-prediction","observation_type","Viability Prediction","Forward-looking prediction about market or technology viability"
"actual-outcome","observation_type","Actual Outcome","Verified historical outcome corresponding to a prediction"
"technology-assessment","observation_type","Technology Assessment","Evaluation of technology capabilities or positioning"
"market-data","observation_type","Market Data","Quantitative or qualitative market data"
"expert-opinion","observation_type","Expert Opinion","Aberdeen analyst opinion"
"framework-factor","observation_type","Framework Factor","Factor in an analytical framework"
