"code_id","code_type","label","definition"
"study-type:product-profile","study-type","Product Profile","A vendor-focused profile examining a specific product or solution"
"study-type:industry-analysis","study-type","Industry Analysis","Broad examination of industry trends and market dynamics"
"methodology:competitive-profiling","methodology","Competitive Profiling","Analysis of competing vendors and products within a market segment"
"methodology:field-research","methodology","Field Research","Findings based on primary interviews with users and practitioners"
"methodology:industry-analysis","methodology","Industry Analysis","Secondary analysis of market structure and trends"
"domain:data-warehousing","domain","Data Warehousing","Technologies and practices for consolidating enterprise data for analytics"
"domain:decision-support","domain","Decision Support","Systems and tools enabling analytical queries and business intelligence"
"domain:data-virtualization","domain","Data Virtualization","Providing unified data access without physical consolidation"
"domain:query-reporting","domain","Query and Reporting","Tools for ad hoc querying and structured reporting against data sources"
"entity-type:vendor","entity-type","Vendor","Commercial software or technology company"
"entity-type:analyst-firm","entity-type","Analyst Firm","Market research and technology advisory organization"
"entity-type:product","entity-type","Product","Named software product or solution"
"entity-type:standard","entity-type","Standard","Technical specification or protocol"
"entity-status:active","entity-status","Active","Entity is currently operating under same or successor identity"
"entity-status:acquired","entity-status","Acquired","Entity was absorbed into another organization"
"entity-status:merged","entity-status","Merged","Entity combined with another to form new organization"
"entity-status:renamed","entity-status","Renamed","Entity continues under a different name"
"entity-status:discontinued","entity-status","Discontinued","Entity or product is no longer available"
"tech-lifecycle:active","tech-lifecycle","Active","Technology remains in current use"
"tech-lifecycle:evolved","tech-lifecycle","Evolved","Technology transformed into successor concept or product"
"tech-lifecycle:legacy","tech-lifecycle","Legacy","Technology still in use but superseded by newer approaches"
"tech-lifecycle:discontinued","tech-lifecycle","Discontinued","Technology is no longer in active development or use"
"observation-type:claim","observation-type","Analyst Claim","Forward-looking or evaluative statement by Aberdeen analyst"
"observation-type:fact","observation-type","Factual Statement","Stated fact about a product, company, or event"
"observation-type:user-feedback","observation-type","User Feedback","Reported opinion or experience of product users"
"observation-type:market-observation","observation-type","Market Observation","Description of market conditions or competitive dynamics"
"observation-type:product-feature","observation-type","Product Feature","Description of a specific product capability"
"observation-type:pricing","observation-type","Pricing","Information about product pricing"
"sentiment:positive","sentiment","Positive","Favorable assessment or outcome"
"sentiment:neutral","sentiment","Neutral","Non-evaluative or balanced statement"
"sentiment:negative","sentiment","Negative","Unfavorable assessment or limitation identified"
"strategy-classification","observation_type","Strategy Classification","Categorization of an entity's business strategy or competitive positioning"
"viability-prediction","observation_type","Viability Prediction","Expert prediction of entity's long-term survival or market trajectory"
"actual-outcome","observation_type","Actual Outcome","Verified historical outcome for an entity or prediction"
"technology-assessment","observation_type","Technology Assessment","Evaluation of a technology's maturity, fitness, or competitive positioning"
"benchmark-result","observation_type","Benchmark Result","Quantitative performance comparison against peers or industry standards"
"framework-factor","observation_type","Framework Factor","One component of a multi-factor analytical framework"
"market-data","observation_type","Market Data","Quantitative market statistic such as revenue, share, or growth rate"
"expert-opinion","observation_type","Expert Opinion","Qualitative professional judgment or analytical finding"
"document-review","methodology","Document Review","Analysis of existing documents, reports, and published records"
"field-research","methodology","Field Research","Primary data collection via IS executive interviews or customer surveys"
"industry-analysis","methodology","Industry Analysis","Systematic analysis of industry structure, dynamics, and competitive forces"
"competitive-profiling","methodology","Competitive Profiling","Detailed comparison of competing entities' strategies, products, and positions"
"benchmarking","methodology","Benchmarking","Comparison against industry standards, peers, or prior periods"
"revenue-benchmark","methodology","Revenue Benchmarking","Measurement and comparison of entity revenues against market total"
"high","confidence","High Confidence","Strong evidentiary basis; multiple corroborating sources or explicit supplier data"
"medium","confidence","Medium Confidence","Reasonable basis but data is estimated or partially corroborated"
"low","confidence","Low Confidence","Directional judgment with limited evidence; Aberdeen estimate only"
"verified","confidence","Verified","Confirmed by subsequent events, independent sources, or official records"
