"entity_id","study_id","name","entity_type","description","hq_location","status","status_detail","status_source_url"
"ent-001","aberdeen-1995-intersolv-virtual-data-warehouse","Intersolv Inc.","vendor","Developer of ODBC drivers, data access, and the Virtual Data Warehouse solution. Formed from merger of Sage Software and Index Technologies in 1991.","Rockville, Maryland, USA","acquired","Acquired by Micro Focus in 1998 for $534M; combined entity renamed Merant; DataDirect product line later spun off and acquired by Progress Software in 2003.","https://www.edm2.com/index.php/Intersolv"
"ent-002","aberdeen-1995-intersolv-virtual-data-warehouse","Aberdeen Group","analyst-firm","Technology market research and advisory firm that authored this profile.","Boston, Massachusetts, USA","acquired","Aberdeen Group was acquired by Harte-Hanks in 2001, then by The Aberdeen Group brand was relaunched; now operates under Aberdeen Strategy & Research.","https://en.wikipedia.org/wiki/Aberdeen_Group"
"ent-003","aberdeen-1995-intersolv-virtual-data-warehouse","TechGnosis International","vendor","Brussels, Belgium-based developer of SequeLink, a server-based database-independent architecture for client-server connectivity. Had approximately 4,000 customers at time of acquisition.","Brussels, Belgium","acquired","Acquired by Intersolv on October 23, 1995 for approximately $80 million.","https://www.washingtonpost.com/archive/business/1995/11/20/intersolv-buys-its-way-up-the-software-ladder/e7fd6b8a-11cb-4af5-9088-972a85f6a71f/"
"ent-004","aberdeen-1995-intersolv-virtual-data-warehouse","Cognos Corp.","vendor","Business intelligence vendor offering Impromptu query and reporting tool and Powerplay multidimensional database.","Ottawa, Ontario, Canada","acquired","Acquired by IBM in January 2008 for approximately $5 billion; now operates as IBM Cognos.","https://www.ibm.com/investor/att/pdf/ircorner/08-04-03-1.pdf"
"ent-005","aberdeen-1995-intersolv-virtual-data-warehouse","Business Objects","vendor","French business intelligence vendor offering BusinessObjects and preparing Mercury decision-support system.","Paris, France / San Jose, California, USA","acquired","Acquired by SAP on January 22, 2008 for approximately $6.8 billion; operates as SAP BusinessObjects.","https://en.wikipedia.org/wiki/BusinessObjects"
"ent-006","aberdeen-1995-intersolv-virtual-data-warehouse","DataDirect Technologies","vendor","Brand name for Intersolv's ODBC driver and data access product line, including SmartData, Explorer, ODBC Pack, and SequeLink.","Rockville, Maryland, USA","active","DataDirect brand survived Intersolv/Merant/Micro Focus transitions; acquired by Progress Software in 2003 for $88M; still active as Progress DataDirect.","https://goldengatecap.com/progress-software-completes-acquisition-of-datadirect/"
"ent-007","aberdeen-1995-intersolv-virtual-data-warehouse","IBM","vendor","Technology company referenced as provider of DB2 RDBMS and OS/2 and AIX operating systems.","Armonk, New York, USA","active","IBM remains an active publicly traded technology corporation.","https://www.ibm.com"
"ent-008","aberdeen-1995-intersolv-virtual-data-warehouse","Microsoft","vendor","Provider of Windows operating systems and OLE 2.0 technology referenced in the product profile.","Redmond, Washington, USA","active","Microsoft remains an active publicly traded technology corporation.","https://www.microsoft.com"
"ent-009","aberdeen-1995-intersolv-virtual-data-warehouse","Apple","vendor","Provider of the Macintosh operating system referenced as a supported platform.","Cupertino, California, USA","active","Apple Inc. remains an active publicly traded technology corporation.","https://www.apple.com"
"ent-010","aberdeen-1995-intersolv-virtual-data-warehouse","Oracle","vendor","Relational database vendor; Oracle tables referenced as a save target for Intelligent Snapshot feature.","Redwood City, California, USA","active","Oracle Corporation remains an active publicly traded technology corporation.","https://www.oracle.com"
"ent-011","aberdeen-1995-intersolv-virtual-data-warehouse","Micro Focus","vendor","British software company that acquired Intersolv in 1998.","Newbury, Berkshire, UK","active","Micro Focus merged with HPE Software in 2017; acquired by OpenText in 2023.","https://en.wikipedia.org/wiki/Micro_Focus"
"ent-012","aberdeen-1995-intersolv-virtual-data-warehouse","Progress Software","vendor","Technology company that acquired DataDirect Technologies in 2003.","Bedford, Massachusetts, USA","active","Progress Software Corporation (Nasdaq: PRGS) remains actively traded.","https://www.progress.com"
