"code_id","code_type","label","definition"
"strategy-classification","observation_type","Strategy Classification","Categorization of an entity's or enterprise's network strategy"
"viability-prediction","observation_type","Viability Prediction","Expert prediction about market growth or technology adoption"
"actual-outcome","observation_type","Actual Outcome","Verified historical outcome for an entity or technology"
"technology-assessment","observation_type","Technology Assessment","Evaluation of a network technology's maturity or fitness"
"benchmark-result","observation_type","Benchmark Result","Case study outcome or comparative supplier result"
"framework-factor","observation_type","Framework Factor","One component of the NIS service category framework"
"market-data","observation_type","Market Data","Quantitative market statistic or market definition"
"expert-opinion","observation_type","Expert Opinion","Qualitative professional judgment from Aberdeen analyst"
"industry-analysis","methodology","Industry Analysis","Systematic analysis of network integration industry structure and dynamics"
"competitive-profiling","methodology","Competitive Profiling","Detailed comparison of 21 network integration vendors"
"benchmarking","methodology","Benchmarking","Case study-based comparison of NIS provider outcomes"
"field-research","methodology","Field Research","Primary research via IT executive surveys and interviews"
"document-review","methodology","Document Review","Analysis of existing documents and post-publication records"
"statistical-analysis","methodology","Statistical Analysis","Quantitative data analysis"
"high","confidence","High Confidence","Strong evidentiary basis; multiple corroborating sources"
"medium","confidence","Medium Confidence","Reasonable basis but limited corroboration"
"low","confidence","Low Confidence","Directional judgment with limited evidence"
"verified","confidence","Verified","Confirmed by subsequent events or independent sources"
