"code_id","code_type","label","definition"
"strategy-classification","observation_type","Strategy Classification","Categorization of an entity's business strategy"
"viability-prediction","observation_type","Viability Prediction","Expert prediction of entity's long-term survival or market trajectory"
"actual-outcome","observation_type","Actual Outcome","Verified historical outcome for an entity or prediction"
"technology-assessment","observation_type","Technology Assessment","Evaluation of a technology's maturity, fitness, or competitive positioning"
"benchmark-result","observation_type","Benchmark Result","Quantitative comparison against peers or industry standards"
"framework-factor","observation_type","Framework Factor","One component of a multi-factor analytical framework"
"market-data","observation_type","Market Data","Quantitative market statistic such as revenue, share, or growth rate"
"expert-opinion","observation_type","Expert Opinion","Qualitative professional judgment or analytical finding"
"industry-analysis","methodology","Industry Analysis","Systematic analysis of industry structure, dynamics, and competitive forces"
"competitive-profiling","methodology","Competitive Profiling","Detailed comparison of competing entities' strategies, products, and positions"
"benchmarking","methodology","Benchmarking","Comparison against industry standards, peers, or prior periods"
"field-research","methodology","Field Research","Primary data collection via IS executive interviews or customer surveys"
"document-review","methodology","Document Review","Analysis of existing documents, reports, and published records"
"statistical-analysis","methodology","Statistical Analysis","Quantitative data analysis with statistical methods"
"high","confidence","High Confidence","Strong evidentiary basis; multiple corroborating sources or explicit supplier data"
"medium","confidence","Medium Confidence","Reasonable basis but data is estimated or partially corroborated"
"low","confidence","Low Confidence","Directional judgment with limited evidence; Aberdeen estimate only"
"verified","confidence","Verified","Confirmed by subsequent events, independent sources, or official records"
"emerging","lifecycle","Emerging","Technology newly introduced or gaining initial adoption at study time"
"mature","lifecycle","Mature","Technology widely adopted and stable at study time"
"declining","lifecycle","Declining","Technology losing market position or being superseded at study time"
"obsolete","lifecycle","Obsolete","Technology no longer in production use"
"active","lifecycle","Active","Technology currently in active production use and development"
"legacy-supported","lifecycle","Legacy Supported","Technology no longer actively developed but still maintained for existing installations"
"revenue-benchmark","methodology","Revenue Benchmarking","Measurement and comparison of entity revenues against market total and peers; core methodology of Aberdeen's annual RISC/Unix survey"
"market-share","methodology","Market Share Analysis","Calculation of entity revenue as percentage of total market revenue"
"growth-rate","methodology","Growth Rate Analysis","Year-over-year percentage change in revenue or units; used for comparison across platform categories"
