"tech_id","tech_name","category","vendor","era","lifecycle_at_study","lifecycle_current","study_id","notes"
"intel-pentium-4","Intel Pentium 4","processor","Intel","2000-2008","mature","[DEFERRED]","dct-business-2003-03-17-pc-deals","Referenced in weekly PC Deals commentary 2003-03-17"
"intel-pentium-4-m","Intel Pentium 4-M (Mobile)","processor","Intel","2002-2005","mature","[DEFERRED]","dct-business-2003-03-17-pc-deals","Referenced in weekly PC Deals commentary 2003-03-17"
"intel-celeron","Intel Celeron","processor","Intel","1998-present","mature","[DEFERRED]","dct-business-2003-03-17-pc-deals","Referenced in weekly PC Deals commentary 2003-03-17"
"amd-athlon-xp","AMD Athlon XP","processor","AMD","2001-2005","mature","[DEFERRED]","dct-business-2003-03-17-pc-deals","Referenced in weekly PC Deals commentary 2003-03-17"
"amd-athlon","AMD Athlon","processor","AMD","1999-2005","mature","[DEFERRED]","dct-business-2003-03-17-pc-deals","Referenced in weekly PC Deals commentary 2003-03-17"
"small-form-factor-pc","Small Form Factor PC (SFF)","form-factor","","2001-present","emerging","[DEFERRED]","dct-business-2003-03-17-pc-deals","Referenced in weekly PC Deals commentary 2003-03-17"
"tablet-pc","Tablet PC","form-factor","","2002-2013","emerging","[DEFERRED]","dct-business-2003-03-17-pc-deals","Referenced in weekly PC Deals commentary 2003-03-17"
"notebook-pc","Notebook PC","form-factor","","1989-present","mature","[DEFERRED]","dct-business-2003-03-17-pc-deals","Referenced in weekly PC Deals commentary 2003-03-17"
"desktop-pc","Desktop PC","form-factor","","1981-present","mature","[DEFERRED]","dct-business-2003-03-17-pc-deals","Referenced in weekly PC Deals commentary 2003-03-17"
"ddr-sdram","DDR SDRAM","memory","","2000-2007","mature","[DEFERRED]","dct-business-2003-03-17-pc-deals","Referenced in weekly PC Deals commentary 2003-03-17"
"windows-xp-pro","Windows XP Professional","operating-system","Microsoft","2001-2014","mature","[DEFERRED]","dct-business-2003-03-17-pc-deals","Referenced in weekly PC Deals commentary 2003-03-17"
"windows-xp","Windows XP","operating-system","Microsoft","2001-2014","mature","[DEFERRED]","dct-business-2003-03-17-pc-deals","Referenced in weekly PC Deals commentary 2003-03-17"
"lcd-flat-panel","LCD Flat Panel Monitor","display","","1998-present","mature","[DEFERRED]","dct-business-2003-03-17-pc-deals","Referenced in weekly PC Deals commentary 2003-03-17"
"15-inch-lcd","15-inch LCD Monitor","display","","2000-present","mature","[DEFERRED]","dct-business-2003-03-17-pc-deals","Referenced in weekly PC Deals commentary 2003-03-17"
