"obs_id","study_id","entity_id","tech_id","observation_type","year_observed","metric_name","metric_value","confidence","verification_method","methodology_code","source_page","notes"
"trends99-18726b-OBS-001","trends99-18726b","","eai-middleware","viability-prediction","1999","EAI approaches: Crossworlds/Oberon","Logan: data warehouse best path; Kastner: data warehouse only good for past business; key is buy vs build; ERP vendors dark horse","partially-verified","outcome-linkage","expert-opinion","Application Integration","PK response: real alternative is object broker-based toolkit for custom EAI"
"trends99-18726b-OBS-002","trends99-18726b","","microsoft-windows-2000","viability-prediction","1999","Windows 2000 enterprise adoption in 1999","Will not be quickly adopted by large enterprises in 1999; Y2K issues, delayed functionality, requires both server and desktop for proper operation -- likely one of Microsoft's flops at end of 1999","high","ingest-extraction","expert-opinion","Windows 2000","New Aberdeen research report on this subject exists"
"trends99-18726b-OBS-003","trends99-18726b","","microsoft-windows-2000","actual-outcome","2000","Windows 2000 enterprise adoption actual","unknown","medium","ingest-extraction","","","Windows 2000 launched Feb 2000; enterprise adoption was indeed slow initially"
"trends99-18726b-OBS-004","trends99-18726b","","microsoft-office-2000","viability-prediction","1999","Office 2000 delay and impact","Office 2000 delayed beyond expected Q1 1999; represents 40% of Microsoft profits; key feature: move in/out of HTML for Intranet posting","high","ingest-extraction","expert-opinion","Windows 2000","Represents significant Microsoft revenue risk for 1999"
"trends99-18726b-OBS-005","trends99-18726b","intel-corporation","","viability-prediction","1999","Intel PC refresh cycle 1999","Intel will have a banner year; SME replacing PCs and LAN servers in mid-1999 for Y2K + Windows 95/DOS replacement; buying frenzy in 3Q99","high","ingest-extraction","expert-opinion","Intel Will Have A Banner Year","Kastner formally told Intel this is Aberdeen's scenario"
"trends99-18726b-OBS-006","trends99-18726b","intel-corporation","","actual-outcome","1999","Intel 1999 banner year actual","unknown","medium","ingest-extraction","","","Was 1999 Intel's banner year? Verify with Intel financials"
"trends99-18726b-OBS-007","trends99-18726b","","","viability-prediction","1999","#1 companies gaining market share","SAP, Oracle, Cisco, Compaq (NT servers), Sun, IBM, Dell will increase shares in their specific areas of dominance in 1999; not year for new entrant","high","ingest-extraction","expert-opinion","#1 Company Gaining Market Share","IS decision makers believe products are equivalent in mature market; choose leader for risk reduction"
"trends99-18726b-OBS-008","trends99-18726b","","","actual-outcome","1999","Market share concentration 1999 actual","unknown","medium","ingest-extraction","","","Verify: did dominant players gain share in 1999?"
"trends99-18726b-OBS-009","trends99-18726b","sun-microsystems","java","viability-prediction","1999","Sun enterprise data center ascendancy","Sun's ascendancy is inevitable; championing Java; beacon of intellectual ideas for web-based data center applications; HP has higher-end servers, IBM better services","verified","outcome-linkage","expert-opinion","Sun Will Continue To Gain Market Share","Secondary analysis needed on Sun software strategy (Sloane/Fournier)"
"trends99-18726b-OBS-010","trends99-18726b","sun-microsystems","java","actual-outcome","2005","Sun enterprise ascendancy actual","unknown","medium","ingest-extraction","","","Sun ultimately acquired by Oracle 2010; Java dominance proved accurate"
