"tech_id","tech_name","category","vendor","era","lifecycle_at_study","lifecycle_current","study_id","notes"
"as400-advanced-series","AS/400 Advanced Series","hardware-platform","ibm-as400-division","","renamed","","aberdeen-1995-ibm-as400-sap-r3","Introduced May 1994; PowerPC AS-based models announced September 1995 for availability before end of 1995 | version_in_study=1994 introduction; successor_tech=IBM i; status_note=Renamed iSeries in 2000, then System i in 2006, then IBM i in 2008; platform still active"
"powerpc-as","PowerPC AS (64-bit RISC)","processor","ibm","","superseded","","aberdeen-1995-ibm-as400-sap-r3","64-bit RISC microprocessor at heart of new AS/400 Advanced Series models; also known as PowerPC AS | version_in_study=PowerPC AS; successor_tech=POWER architecture; status_note=PowerPC AS evolved into the POWER architecture series; POWER still active"
"os400-v3r6","OS/400 Version 3 Release 6 (V3R6)","operating-system","ibm-as400-division","","renamed","","aberdeen-1995-ibm-as400-sap-r3","Introduced to exploit 64-bit RISC architecture; required platform for SAP R/3 v3.0 on AS/400; implements Single Unix Specification (Spec 1170) | version_in_study=V3R6; successor_tech=IBM i OS; status_note=OS/400 renamed IBM i OS in 2008; still active"
"sap-r3","SAP R/3","erp-suite","sap-ag","","superseded","","aberdeen-1995-ibm-as400-sap-r3","Three-tier client-server ERP suite; version 3.0 announced for AS/400 September 1995; introduced 1992 | version_in_study=3.0; successor_tech=SAP S/4HANA; status_note=SAP R/3 replaced by SAP ERP (ECC) then SAP S/4HANA; R/3 support ended 2015"
"sap-r2","SAP R/2","erp-suite","sap-ag","","superseded","","aberdeen-1995-ibm-as400-sap-r3","SAP's mainframe-based predecessor product; still part of overall SAP strategy in 1995 but eclipsed by R/3 | version_in_study=current; successor_tech=SAP R/3; status_note=SAP R/2 mainframe product eventually sunset"
"db2-400","DB2/400","database","ibm-as400-division","","active","","aberdeen-1995-ibm-as400-sap-r3","Integrated RDBMS on AS/400; ability to run SAP R/3 as 64-bit application supported by 64-bit DB2/400 cited as key advantage | version_in_study=current; successor_tech=Db2 for i; status_note=DB2/400 still active as Db2 for i on IBM i platform"
"abap4","ABAP/4 Development Workbench","development-tool","sap-ag","","active","","aberdeen-1995-ibm-as400-sap-r3","SAP's proprietary 4GL development language and workbench; used to develop all R/3 applications; provides database independence layer | version_in_study=current; successor_tech=ABAP; status_note=ABAP/4 became ABAP; still used extensively in SAP development"
"three-tier-css","Three-Tier Client-Server Architecture","architecture","sap-ag","","active","","aberdeen-1995-ibm-as400-sap-r3","SAP R/3 deployed in three-tier client-server architecture with presentation/application/database separation | version_in_study=current; status_note=Three-tier architecture remains standard enterprise pattern"
"sap-r3-repository","R/3 Repository and SAP Information Model","development-tool","sap-ag","","superseded","","aberdeen-1995-ibm-as400-sap-r3","Central metadata and data dictionary; enables RDBMS portability; comprises Enterprise Data Model (EDM), Enterprise Functional Model (EFM), Organizational Model (OM) | version_in_study=3.0; successor_tech=SAP Business Technology Platform; status_note=Repository concept evolved into SAP BTP and S/4HANA metadata framework"
"system3x","IBM System/3X line","hardware-platform","ibm","","superseded","","aberdeen-1995-ibm-as400-sap-r3","IBM's midrange predecessor platform family (System/3, System/32, System/34, System/36, System/38); evolved into AS/400 | version_in_study=legacy; successor_tech=AS/400; status_note=System/3X evolved into AS/400"
"windows-gui","Windows GUI (3.1 / NT)","operating-system","hewlett-packard","","active","","aberdeen-1995-ibm-as400-sap-r3","SAP R/3 presentation layer supports Windows 3.1, Windows NT, and OS/2 GUIs simultaneously | version_in_study=Windows 3.1 and NT; successor_tech=Windows 10, Windows 11; status_note=Windows continues as Microsoft platform"
