"code_id","code_type","label","definition"
"product-profile","study_type","Product Profile","A detailed evaluation of a specific vendor's product, including features, competitive positioning, and buying recommendations"
"enterprise-computing-erp","domain","Enterprise Computing - ERP","Enterprise resource planning and midrange commercial computing"
"industry-analysis","methodology_code","Industry Analysis","Qualitative and quantitative assessment of industry trends, competitive dynamics, and market conditions using publicly available information"
"competitive-profiling","methodology_code","Competitive Profiling","Structured analysis of specific vendor strategies, product positioning, and competitive strengths and weaknesses"
"benchmarking","methodology_code","Benchmarking","Systematic measurement and comparison of performance using standardized test specifications with full-disclosure reporting"
"vendor","methodology","Vendor-Provided","Data provided by the vendor (Dell) including pricing, service specifications, and program details"
"product-division","entity_type","Product Division","A business division focused on specific products"
"subsidiary","entity_type","Subsidiary","Corporate subsidiary organization"
"consulting-firm","entity_type","Consulting Firm","Professional services or consulting organization"
"analyst-firm","entity_type","Analyst Firm","Market research and analyst organization publishing industry reports"
"active","lifecycle","Active","Technology is currently actively maintained, developed, and commercially available"
"acquired","entity_status","Acquired","Entity acquired by another company; brand may no longer exist independently"
"rebranded","entity_status","Rebranded","Company changed its name or was absorbed under a different brand"
"folded","entity_status","Folded","Division/unit folded into or merged with parent"
"superseded","tech_lifecycle","Superseded","Technology replaced by alternative approaches; original largely unused"
"renamed","entity_status","Renamed","Organization continues under different name"
"hardware-platform","tech_category","Hardware Platform","Server or computing hardware platform"
"processor","tech_category","Processor","Central processing unit microchip executing computer program instructions"
"operating-system","tech_category","Operating System","System software managing computer hardware and providing services for application software"
"erp-suite","tech_category","ERP Suite","Enterprise resource planning application suite"
"database","tech_category","Database","Software system for storing and managing structured data"
"development-tool","tech_category","Development Tool","Application development environment or language"
"architecture","observation_category","Architecture","Technical architecture or design characteristic"
"market-share","methodology","Market Share Analysis","Calculation of entity revenue as percentage of total market revenue"
"financial-metric","obs_type","Financial Metric","Revenue, profit or financial performance data"
"product-spec","observation_type","Product Specification","Technical specification or product capability detail"
"competitive-claim","obs_type","Competitive Claim","Analyst assertion about competitive positioning"
"market-data","observation_type","Market Data","Quantitative or qualitative data point about market size, pricing, cost structures, or commercial dynamics derived from research"
"product-module","obs_type","Product Module","Named functional module within a product suite"
"performance-claim","observation_type","Performance Claim","Assertion about technology performance improvement"
"partnership","obs_type","Partnership","Business partnership or alliance information"
"customer-data","obs_type","Customer Data","Customer counts, segments or behavior data"
"strategy-classification","observation_type","Strategy Classification","Categorization of organizational approach within the Aberdeen Competitive Framework tiers (Laggard, Industry Norm, Best in Class)"
"viability-prediction","observation_type","Viability Prediction","Observation is a forward-looking prediction about future market conditions, technology adoption, or business outcomes made at time of study"
"actual-outcome","observation_type","Actual Outcome","Retrospective record of what actually happened to a company, product, or technology after the study date; used to assess prescience"
"technology-assessment","observation_type","Technology Assessment","Empirical evaluation of a specific technology product or system based on hands-on testing, performance measurement, or documented behavior"
"benchmark-result","observation_type","Benchmark Result","Quantitative or time-based measurement from testing; a specific metric value obtained through direct measurement or structured evaluation"
"framework-factor","observation_type","Framework Factor","A component or variable within an analytical framework or model used to structure the analysis; a dimension of a multi-factor evaluation scheme"
"expert-opinion","observation_type","Expert Opinion","Observation records an analyst judgment, interpretation, or recommendation that goes beyond raw data to offer evaluative conclusions"
"document-review","methodology_code","Document Review","Assessment based on review of published documentation such as vendor support policies and threat databases"
"field-research","methodology_code","Field Research","Primary research conducted through direct interaction with products, services, or market participants in real-world settings"
"revenue-benchmark","methodology","Revenue Benchmarking","Measurement and comparison of entity revenues against market total and peers; core methodology of Aberdeen's annual RISC/Unix survey"
"high","confidence","High Confidence","Assessment or data point is well-supported by multiple sources, specific numbers, or direct document citations"
"medium","confidence","Medium Confidence","Finding supported by qualitative analysis, expert interpretation, or retrospective assessment with reasonable evidence"
"low","confidence","Low Confidence","Finding is inferred from limited evidence in the source text or involves significant extrapolation"
"verified","confidence","Verified","Confirmed by subsequent events or independent sources; applied to actual-outcome observations"
