"code_id","code_type","code_value","label","description"
"FIELD-RESEARCH","methodology","FIELD-RESEARCH","Field Research","Primary data collected through surveys, interviews, or direct observation of market participants."
"EXPERT-PANEL","methodology","EXPERT-PANEL","Expert Panel Assessment","Qualitative assessment based on expert panel discussion and professional judgment."
"THIRD-PARTY-REPORT","methodology","THIRD-PARTY-REPORT","Third-Party Report","Finding sourced from an independent third-party report or white paper."
"VENDOR-CONFIRMED","methodology","VENDOR-CONFIRMED","Vendor Confirmed","Information confirmed directly by the vendor's own team."
"HISTORICAL-RECORD","methodology","HISTORICAL-RECORD","Historical Record","Outcome verified through historical public records, acquisitions, product launches, or market events."
"market-research","observation_type","market-research","Market Research","Observation derived from primary or secondary market research data."
"strategic-assessment","observation_type","strategic-assessment","Strategic Assessment","Qualitative evaluation of a strategic position, capability, or initiative."
"strategic-recommendation","observation_type","strategic-recommendation","Strategic Recommendation","Advisory recommendation for a specific strategic action."
"competitive-assessment","observation_type","competitive-assessment","Competitive Assessment","Evaluation of a competitor's position, capabilities, or strategy."
"viability-prediction","observation_type","viability-prediction","Viability Prediction","Forward-looking prediction about the viability, timeline, or outcome of a technology or strategy."
"actual-outcome","observation_type","actual-outcome","Actual Outcome","Verified historical outcome that can be compared against predictions or assessments made in the study."
"gap-analysis","observation_type","gap-analysis","Gap Analysis","Identification of a gap in capabilities, products, or market coverage."
"market-scope","observation_type","market-scope","Market Scope","Definition of market boundaries, segments, channels, or verticals."
"partnership-assessment","observation_type","partnership-assessment","Partnership Assessment","Evaluation of the importance or status of a vendor partnership or alliance."
"contextual","observation_type","contextual","Contextual","Background contextual information relevant to understanding other observations."
"advisory-report","study_type","advisory-report","Advisory Report","Strategic advisory report produced from vendor briefings and market analysis."
"active","entity_status","active","Active","Entity is currently active and operating."
"acquired","entity_status","acquired","Acquired","Entity was acquired by another organization."
"split","entity_status","split","Split","Entity was split into two or more successor organizations."
"defunct","entity_status","defunct","Defunct","Entity is no longer operating and has no direct successor."
"unknown","entity_status","unknown","Unknown","Current status of the entity is unknown."
"production","lifecycle","production","Production","Technology is in active production use."
"emerging","lifecycle","emerging","Emerging","Technology is emerging and gaining adoption."
"mainstream","lifecycle","mainstream","Mainstream","Technology has achieved mainstream adoption."
"legacy-supported","lifecycle","legacy-supported","Legacy Supported","Technology is still supported but declining in adoption."
"obsolete","lifecycle","obsolete","Obsolete","Technology is obsolete and no longer in common use."
"niche-production","lifecycle","niche-production","Niche Production","Technology is in production but serving a niche market segment."
"evolved","lifecycle","evolved","Evolved","Technology evolved significantly into successor technologies."
"active-concept","lifecycle","active-concept","Active Concept","Conceptual framework or metric that remains actively used."
"OT-001","observation_type","expert-opinion","Expert Opinion","Qualitative professional judgment from a domain practitioner"
"OT-002","observation_type","framework-factor","Framework Factor","A criterion or dimension in an analyst's evaluative framework"
"OT-003","observation_type","market-data","Market Data","Quantitative or qualitative market size, growth, or segment statistic"
"OT-004","observation_type","strategy-classification","Strategy Classification","Characterizes strategic positioning or market stance of a vendor or technology"
