filename,page,sha1,size_bytes,labels_on_page
figure_001.png,5,fbe78fc126cec651cf1ad3346376a0fd6641ea9a,118803,1;2;3;4;5;1;2;3;4;5;6
figure_002.png,7,7af64b9560412fad4007df026f5fe5cbdbffbb2e,245797,1;1
figure_003.png,10,10814c0a11ba1054ee500baa77cd64ed1ec9fde8,155928,2
figure_004.png,12,66e0fa4afe8f0d514699c9e95b3256f9d8bff170,257310,3
figure_005.png,13,fb16fdcf8c566fa3f726b6c837b1568daaaf9930,205763,4;1
figure_006.png,14,a23d307e660b3d3cc9f51fcbaf920a96a98f4023,324188,2
figure_007.png,15,2b2591ef0d1eb52eebaabf6c81867ce5bed009a1,292139,3;3
figure_008.png,16,b43a382ac929673cbbb2fa4c2b3c6c04b16d5d46,267130,4;4
figure_009.png,17,f21adc48d8a3cdf25dd494bc97ab4eb60fc50636,194524,5
figure_010.png,22,78d0fb0ab0f0bdae4d8987ae84d613e431d9ce73,194704,5;6
