obs_id,study_id,entity_id,tech_id,observation_type,year_observed,metric_name,metric_value,confidence,verification_method,methodology_code,source_page,notes,collection,thread_tag,section,legacy_obs_id,_study_type,_study_prescience,_bucket
vitria-testimonials-kastner-bpa-soa-rese-93ccae-OBS-004,vitria-testimonials-kastner-bpa-soa-rese-93ccae,vitria-technology,vitria-bpa,market-trend,2007,Vitria customer base breadth,"Goodyear, BP, ALLTEL, KPMG/BearingPoint, MasterBrand, SureWest cited as customers/partners",high,ingest-extraction,vendor-disclosure,online,Curated testimonial roster,,,,,vendor-marketing-page,medium,market-research
ca-jasmine-ii-brochure-kastner-endorseme-6588be-OBS-004,ca-jasmine-ii-brochure-kastner-endorseme-6588be,miami-dade-county,,miami_dade_use_case,1999,use_case,contract-monitoring-system-using-Neugents,medium,ingest-extraction,brochure-quote,front-pages,Miami-Dade County: Jasmine TND for contract-monitoring with Neugents learning,,,,,vendor-marketing-brochure,high,market-research
perspecta-inc-september-1997-b8e81d-OBS-003,perspecta-inc-september-1997-b8e81d,perspecta-inc,,strategy-classification,1997,Market strategy,Pursuing Java and Internet/intranet/extranet-enabled markets needing more effective access formats,medium,ingest-extraction,industry-analysis,Abstract,Strategy targeting emerging web-enabled enterprise market,,,,,market-study,,market-research
hptpc92-2fd423-obs-007,hptpc92-2fd423,hewlett-packard,hp-mpe-ix,competitive-position,,,,high,ingest-extraction,,,,,,,,market-study,medium,market-research
1997-peoplesoft-works-the-internet-452445-OBS-005,1997-peoplesoft-works-the-internet-452445,peoplesoft-incorporated,,framework-factor,1997,interprise-layer-1-people,People layer — honing in on how people use Internet and Web technologies to access information more effectively,high,ingest-extraction,expert-opinion,Interprise,Layer 1 of 5-layer Interprise architecture,,,,,market-study,high,market-research
maxtor-ramp-interview-guide-first-draft-c68ebd-OBS-029,maxtor-ramp-interview-guide-first-draft-c68ebd,,,market-assumption,2003,Maximum disk utilization target probed,Maximum acceptable % full for disk storage — probed as management policy,medium,ingest-extraction,interview-design,Line 25,"Probing maximum utilization threshold (typically 70-80% in practice) quantifies the ""dark storage"" or over-provisioning that was endemic in 2003. This over-provisioning was a key economic argument for midline storage: if you could fill a midline disk to 90% rather than leaving 30% headroom on expensive FC arrays, the savings multiplied.",,,,,market-study,high,market-research
1998-microsoft-nt-windows-2000-multi-user-computing-5f91e4-OBS-002,1998-microsoft-nt-windows-2000-multi-user-computing-5f91e4,microsoft,windows-nt-4,technology-assessment,1998,Central management capability,Multi-user architectures enable managing entire enterprise from a central server,high,ingest-extraction,industry-analysis,Executive Summary,Key management benefit cited,,,,5f91e4-OBS-002,market-study,high,market-research
casale-evp-4-9bd4e6-OBS-004,casale-evp-4-9bd4e6,fti-fast-track-incorporated,,benchmark-result,1982,FTI FY82 Plan — RD&E as % of revenue,10.0%,high,ingest-extraction,quantitative-analysis,p.2 Table 1,R&D and Engineering planned flat at 10% all four quarters.,,,,,market-study,high,market-research
inovant-ramp-interview-for-maxtor-projec-e7f75d-OBS-019,inovant-ramp-interview-for-maxtor-projec-e7f75d,inovant,,operational-metric,2003,backup-window-status,no problem with window but jobs fail at unacceptable rate,high,ingest-extraction,ramp-interview,p2,No backup window problem but job failure rate unacceptable; restore time too long; ops management burdensome,,,,,market-study,high,market-research
aberdeen-1995-limd-technology-OBS-045,aberdeen-1995-limd-technology,digital-equipment-corporation,alpha-chip-dec-alpha,technology-assessment,1995,alpha-limd-availability-date,1995-04-11 date,high,ingest-extraction,document-review,5,"Section: hardware-state-of-art; Qualifier: date from which Digital Alpha/RDBMS solutions have built-in LIMD; Digital Alpha/RDBMS customers with products delivered after April 11, 1995 have LIMD built into their systems",,,,,market-study,high,market-research
outsourcing-application-development-and--59d651-OBS-016,outsourcing-application-development-and--59d651,,,market-sizing,2006,outsource-driver-quicker-turnaround,37% cite need for quicker turnaround,high,ingest-extraction,survey,,37% cite need for quicker turnaround in application development projects as a key outsourcing driver.,,,,,benchmark,high,market-research
stratus-internal-benchmark-tuning-guide--c53e3f-OBS-002,stratus-internal-benchmark-tuning-guide--c53e3f,stratus-computer,stratus-xa400,benchmark-result,1985,TP1 throughput,3.4 tps; 1.8 sec avg / 2.7 sec 90th-percentile; 80% CPU / 25% disk,high,ingest-extraction,internal-engineering,4-1,8 MB + 3 Fuji disks + 4 servers + 2 requesters x 55 tasks,,,,,internal-engineering-document,medium,employer-internal
aberdeen-group-intro-slides-7673aa-OBS-007,aberdeen-group-intro-slides-7673aa,aberdeen-group,,client-types,2000,primary_clients,Business technology suppliers seeking leadership in emerging markets,high,ingest-extraction,primary-doc,1,Aberdeen primary target clients from intro slides,,,,aberdeen-group-intro-slides-7673aa-007,employer-record,low,employer-internal
stratus-et1-functional-spec-and-benchmar-0c3172-OBS-006,stratus-et1-functional-spec-and-benchmar-0c3172,stratus-computer,stratus-tp1-benchmark,methodology,1986,TP1 profile,"150ms CPU loop + 5 indexed reads + 2 rewrites + 1 sequential log write; PL1 requester, COBOL server; Stratus TPF",high,ingest-extraction,primary-source-benchmark,2,TP1 design summary,,,,,internal-engineering-corpus,medium,employer-internal
2001-kickoff-content-1db48b-OBS-002,2001-kickoff-content-1db48b,aberdeen-group,,practice-framework,2001,base_practice_level_1,"Level 1 (X): Practice Definition — bio, practice summary/white paper, core services (RAMPs, collateral development, customer education, MarCom support)",high,ingest-extraction,primary-doc,1,Level X of analyst practice contribution framework,,,,2001-kickoff-content-1db48b-002,employer-record,low,employer-internal
aas-operational-playbooks-aug-2001-b5a001-OBS-025,aas-operational-playbooks-aug-2001-b5a001,aberdeen-group,aberdeen-swot-analysis-template,expert-opinion,2001,Analyst skill-set requirement for competitive analysis,Ability to conduct SWOT analysis on competitors; ability to capture data relating to the client's competition,high,ingest-extraction,primary-doc,Go-to-Market-Actitivy-Methodology-8 Step 1B / Market-Knowledge-Actitivy-Methodology-9 Step 1B,Explicit skill-set requirement listed in both activity methodology spreadsheets,,,,aas-operational-playbooks-aug-2001-b5a001-025,employer-record,medium,employer-internal
soa-web-services-2007-c3297b-obs-002,soa-web-services-2007-c3297b,aberdeen-group,soa-testing,survey-finding,2007,bic_quality_increase,94% of Best-in-Class reported increase in software quality,high,ingest-extraction,survey,6,Key KPI for Best-in-Class classification,,,,,employer-record,high,employer-internal
dec-debit-credit-guidelines-kohler-hsu-1-e228b4-OBS-003,dec-debit-credit-guidelines-kohler-hsu-1-e228b4,peter-s-kastner,,distribution_list,1987,memo_recipient_node,HPS::KASTNER,high,ingest-extraction,distribution-list,p.0-cover,Kastner appears on distribution list as HPS::KASTNER alongside 10 other DEC engineers,,,,,internal-engineering-memo,high,employer-internal
