"row_id","headline","date","final_score","final_bucket","rule","disposition","recommendation","fragment_start_flag","old_len","new_len","delta_len","old_quote","proposed_quote"
"1180","Peter S Kastner Blogging at oncomputerstips.blogspot.com","","0","low","strip_blog_header_or_date_prefix","manual_review","manual_review_probable_non_prediction_bio","false","264","181","-83","Peter S Kastner Blogging at oncomputerstips.blogspot.com Monday, February 07, 2005 Who is Peter S. Kastner? Peter Kastner has over thirty-five years experience in information-technology business and market development, management, and entrepreneurial success. He i","Who is Peter S. Kastner? Peter Kastner has over thirty-five years experience in information-technology business and market development, management, and entrepreneurial success. He i"
"1183","You must be careful when making any changes or modifications to the firmware of your GPS because there is a risk","","4","high","truncate_at_author_footer","auto_candidate","auto_strip_blog_artifact","false","494","228","-266","You must be careful when making any changes or modifications to the firmware of your GPS because there is a risk that things can go wrong and render the GPS inoperable. And sorry, I won't go sailing with you and your hacked GPS. Peter S. Kastner Posted by Anonymous at 2:23?AM Monday, June 06, 2005 The Implications of Doubling the Number of the World's Computer Users Intel research suggests that the next wave of computing users will look very different than the first. They will be less affl","You must be careful when making any changes or modifications to the firmware of your GPS because there is a risk that things can go wrong and render the GPS inoperable. And sorry, I won't go sailing with you and your hacked GPS."
"1186","-- Peter S. Kastner","","5","high","drop_leading_footer_keep_after_share_widget","manual_review","manual_review_leading_footer_split","false","269","111","-158","-- Peter S. Kastner Posted by Anonymous at 12:28?AM No comments: Email ThisBlogThis!Share to TwitterShare to FacebookShare to Pinterest Monday, June 06, 2005 Apple on Intel is a 3 Year Old Story With a little web sleuthing, the blogged article tells it all -- in August","Apple on Intel is a 3 Year Old Story With a little web sleuthing, the blogged article tells it all -- in August"
"1187","What is controversial about this site is shooting live game over the Internet. You will be hearing more about this web","","5","high","truncate_at_author_footer","auto_candidate","manual_review_fragment_start","true","505","235","-270","er the Internet. You will be hearing more about this web site as soon as (fill in the blank from a very long list) finds out about it and a Congressman calls a press conference covered on the nightly news. Hey, you heard it here first. -- Peter S. Kastner Posted by Anonymous at 11:18?PM No comments: Email ThisBlogThis!Share to TwitterShare to FacebookShare to Pinterest First Digital Mop Debuts If you have any doubts that twenty years from now our lives will be fundamentally changed by digital consume","er the Internet. You will be hearing more about this web site as soon as (fill in the blank from a very long list) finds out about it and a Congressman calls a press conference covered on the nightly news. Hey, you heard it here first."
"1188","These tests also show that ""normal users"" will see a considerably better user experience with a dual core","","4","high","truncate_at_author_footer","auto_candidate","auto_strip_blog_artifact","false","489","219","-270","These tests also show that ""normal users"" will see a considerably better user experience with a dual core microprocessor. The hour glass may not be a thing of the past, but it will take over your cursor much less often. -- Peter S. Kastner Posted by Anonymous at 11:58?PM No comments: Email ThisBlogThis!Share to TwitterShare to FacebookShare to Pinterest Game Consoles: Place Your Bets First Microsoft then Sony have announced specs for the next generation of game stations, which will be","These tests also show that ""normal users"" will see a considerably better user experience with a dual core microprocessor. The hour glass may not be a thing of the past, but it will take over your cursor much less often."
"1190","Expect to see these drives in servers for midline storage and in high-end consumer desktops. Is the end of the SCSI","","4","high","truncate_at_author_footer","auto_candidate","auto_strip_blog_artifact","false","407","140","-267","Expect to see these drives in servers for midline storage and in high-end consumer desktops. Is the end of the SCSI disk drive ara in sight? Peter S. Kastner Posted by Anonymous at 7:32?PM No comments: Email ThisBlogThis!Share to TwitterShare to FacebookShare to Pinterest An Introduction to RAID6 IT professionals will want to read this article to understand the problem that RAID6 solves compared to RAID5","Expect to see these drives in servers for midline storage and in high-end consumer desktops. Is the end of the SCSI disk drive ara in sight?"
"1193","That makes the introduction of dual core processors for personal computing this spring not just another product","","5","high","truncate_at_author_footer","auto_candidate","manual_review_fragment_start","true","454","238","-216","tory of the information technology industry. Bottom Line: intense computing users who do lots of multi-tasking will ""feel"" better performance in every day work with a dual-core processor, even though some individual tasks may take longer. Peter S. Kastner Posted by Anonymous at 3:14?PM No comments: Email ThisBlogThis!Share to TwitterShare to FacebookShare to Pinterest Your Computer Legal Rights and Responsibilities We talk about digital rights manage","tory of the information technology industry. Bottom Line: intense computing users who do lots of multi-tasking will ""feel"" better performance in every day work with a dual-core processor, even though some individual tasks may take longer."
"1194","The price as low as $722 (qty 1,000) makes the Cranford value chips attractive for a new generation of low-cost 4-","","3","medium","truncate_at_author_footer","auto_candidate","auto_strip_blog_artifact","false","505","239","-266","The price as low as $722 (qty 1,000) makes the Cranford value chips attractive for a new generation of low-cost 4- way servers. Dell immediately jumped in with its offering. These will sell by the boxcar for web processing and Tier 1 apps. Peter S. Kastner Posted by Anonymous at 1:33?AM No comments: Email ThisBlogThis!Share to TwitterShare to FacebookShare to Pinterest Open-Source Fans Often Miss Business Basics I love this op ed piece. Could not have said it better myself: If open source really want","The price as low as $722 (qty 1,000) makes the Cranford value chips attractive for a new generation of low-cost 4- way servers. Dell immediately jumped in with its offering. These will sell by the boxcar for web processing and Tier 1 apps."
"1199","In this case, the electronic bank robber was caught. However, this writer can assure our dear readers that electronic","","4","high","truncate_at_author_footer","auto_candidate","manual_review_fragment_start","true","419","238","-181","y, risking jail for the part of half a billion dollars has a better risk-reward than driving off with an ATM. [Update} Phishing also appears to be quite lucrative. The Brazilian police just landed a perp accused of $37M in phishing fraud. Peter S. Kastner Posted by Anonymous at 10:46?PM No comments: Email ThisBlogThis!Share to TwitterShare to FacebookShare to Pinterest Tuesday, March 22, 2005 Psst, Sony Playstations","y, risking jail for the part of half a billion dollars has a better risk-reward than driving off with an ATM. [Update} Phishing also appears to be quite lucrative. The Brazilian police just landed a perp accused of $37M in phishing fraud."
"1200","Caveat: Be sure to have your user manual so that you can get back to factory settings if you really mess up. You also","","0","low","truncate_at_author_footer","auto_candidate","auto_strip_blog_artifact","false","447","180","-267","Caveat: Be sure to have your user manual so that you can get back to factory settings if you really mess up. You also ought to have a copy of the latest Linksys firmware available. Peter S. Kastner Posted by Anonymous at 12:12?AM No comments: Email ThisBlogThis!Share to TwitterShare to FacebookShare to Pinterest Sunday, March 20, 2005 SIA, Barrett Renew Call For funds To Preserve U.S. Leadership U.S. leadership in technology is under assault,""","Caveat: Be sure to have your user manual so that you can get back to factory settings if you really mess up. You also ought to have a copy of the latest Linksys firmware available."
