obs_id,study_id,entity_id,tech_id,observation_type,year_observed,metric_name,metric_value,confidence,verification_method,methodology_code,source_page,notes,collection,thread_tag,section,legacy_obs_id,_study_type,_study_prescience,_bucket
aberdeen-1996-sqa-suite-50-automated-testing-OBS-015,aberdeen-1996-sqa-suite-50-automated-testing,,windows-nt,technology-assessment,1996,Windows NT Platform Adoption for Development,Enterprise IS migrating development to Windows NT; 32-bit testing becoming mandatory,high,ingest-extraction,industry-analysis,Executive Summary,Migration to NT platform driving need for 32-bit testing tools,,,,,market-study,high,market-research
trends99-18726b-OBS-007,trends99-18726b,,,viability-prediction,1999,#1 companies gaining market share,"SAP, Oracle, Cisco, Compaq (NT servers), Sun, IBM, Dell will increase shares in their specific areas of dominance in 1999; not year for new entrant",high,ingest-extraction,expert-opinion,#1 Company Gaining Market Share,IS decision makers believe products are equivalent in mature market; choose leader for risk reduction,,,,,market-study,high,market-research
aberdeen-1996-progress-software-webspeed-internet-OBS-001,aberdeen-1996-progress-software-webspeed-internet,progress-software,webspeed,strategy-classification,1996,WebSpeed product strategy,Internet development tool merging proven Progress CADE with TP-monitor-like web middleware,high,ingest-extraction,competitive-profiling,Executive Summary,Differentiation via legacy integration + internet scalability,,,,,market-study,medium,market-research
timex-ramp-interview-for-maxtor-project-8c1b71-OBS-020,timex-ramp-interview-for-maxtor-project-8c1b71,timex,,headcount-pressure,2003,IT staffing trend,Headcount being reduced; must reduce complexity,high,ingest-extraction,face-to-face-interview,p.2,Direct driver of anti-tiering posture. Lean-IT pressure that would accelerate through 2008 financial crisis.,,,,,market-study,high,market-research
aberdeen-1996-data-general-corporation-OBS-014,aberdeen-1996-data-general-corporation,data-general-corporation,,expert-opinion,1996,DG SAP partnership depth,DG sent 5 engineers to SAP Germany HQ in 1994; established Competency Center in North Carolina,high,ingest-extraction,field-research,SAP,"Competency Center performs system sizing, benchmarks, installations, and customer support",,,,,market-study,low,market-research
aberdeen-1996-mainframe-revival-short-lived-or-long-term-OBS-013,aberdeen-1996-mainframe-revival-short-lived-or-long-term,ibm,ibm-s390,viability-prediction,1996,Mainframe revival longevity prediction,Aberdeen assessment: mainframe revival is substantive rather than temporary; mainframe will occupy defensible tier in enterprise computing,verified,outcome-linkage,expert-opinion,p.2 (Aberdeen Assessment),Core study thesis: long-term not short-lived,,,,,market-study,high,market-research
2002-alternate-consumer-electronics-channels-ppliers-em-b9052b-OBS-007,2002-alternate-consumer-electronics-channels-ppliers-em-b9052b,best-buy,,actual-outcome,2026,Best Buy survival outcome,Active; transformed to omnichannel model; Q4 FY26 earnings reported March 2026,verified,web-source,document-review,n/a,Best Buy survived through transformation despite digital disruption,,,,,market-study,high,market-research
aberdeen-1996-clarify-inc-OBS-017,aberdeen-1996-clarify-inc,clarify-inc,clearsupport,actual-outcome,2001,Clarify post-Nortel fate,Nortel sold Clarify to Amdocs for $200M in 2001 — a fraction of the $2.1B paid; CRM market shifted toward Siebel and Salesforce,verified,web-source,document-review,post-publication,Source: Computerworld/Amdocs; Clarify's technology was absorbed into Amdocs telecom billing suite,,,,,market-study,high,market-research
casale-evp-7-215359-OBS-006,casale-evp-7-215359,,,expert-opinion,1982,Severity of 1981-1982 recession,Worst recession in fifty years; stretched all companies to limit and some beyond,high,ingest-extraction,expert-opinion,p.2,Context: 'The Recent Dismalness'; referenced alongside Office Automation Outlook,,,,,market-study,high,market-research
maxtor-ramp-interview-guide-first-draft-c68ebd-OBS-026,maxtor-ramp-interview-guide-first-draft-c68ebd,,,market-research-design,2003,CIO reporting line probed,CIO reports to: CFO / President-CEO / Other,medium,ingest-extraction,interview-design,Lines 142-146,"Probing CIO reporting line was a proxy for IT budget authority and storage investment decision-making power. In 2003, CIO-to-CFO reporting was growing (IT cost focus); by 2010 CIO-to-CEO reporting became more common as IT became strategic. The question anticipated IT governance debates of the 2000s.",,,,,market-study,high,market-research
