"obs_id","study_id","batch","existing_score","existing_confidence","existing_model","claim_text","observation_type","year_observed"
"ra-wan-pb-3854-d0b6ab-OBS-035","ra-wan-pb-3854-d0b6ab","1","0","3","sonar-reasoning-pro","Validated from prepared observation seed list and source text.","market-metric",""
"rr-businessintelligencecustmgmt-gb-3697-5bf0f4-OBS-034","rr-businessintelligencecustmgmt-gb-3697-5bf0f4","1","-1","1","sonar-reasoning-pro","Validated from prepared observation seed list and source text.","market-metric",""
"ra-cmo-smemme-la-3607-20a587-OBS-019","ra-cmo-smemme-la-3607-20a587","1","0","3","sonar-reasoning-pro","Validated from prepared observation seed list and source text.","market-assessment",""
"spotlightprofitline-f0b7b5-OBS-001","spotlightprofitline-f0b7b5","1","-1","1","sonar-reasoning-pro","Summary observation generated from extracted.md because the prepared observation seed list was sparse.","study-summary",""
"2007-aberdeen-research-calendar-629972-OBS-008","2007-aberdeen-research-calendar-629972","1","5","3","sonar-reasoning-pro","Validated from prepared observation seed list and source text.","viability-prediction","2007"
"written-dell-ars-white-paper-prod-7-11m-343063-OBS-004","written-dell-ars-white-paper-prod-7-11m-343063","1","4","2","sonar-reasoning-pro","Validated from prepared observation seed list and source text.","market-metric","2003"
"ra-cimss-la-2851-7ea2a2-OBS-013","ra-cimss-la-2851-7ea2a2","1","4","3","sonar-reasoning-pro","Validated from prepared observation seed list and source text.","market-metric",""
"bm-manufacturing-intelligence-3594-578435-OBS-014","bm-manufacturing-intelligence-3594-578435","1","0","3","sonar-reasoning-pro","Validated from prepared observation seed list and source text.","market-metric",""
"sample-personal-benchmark-94cc2b-OBS-002","sample-personal-benchmark-94cc2b","1","-1","1","sonar-reasoning-pro","Validated from prepared observation seed list and source text.","market-metric","2004"
"ra-web-site-search-3910-5f9297-OBS-055","ra-web-site-search-3910-5f9297","1","4","3","sonar-reasoning-pro","Validated from prepared observation seed list and source text.","market-assessment",""
"q106-svcnetopt-overview-cb1664-OBS-001","q106-svcnetopt-overview-cb1664","2","3","2","claude-sonnet-4.6","Validated from prepared observation seed list and source text.","framework","2006"
"1q06-ff-bp-retail-transportation-081905a-192432-OBS-002","1q06-ff-bp-retail-transportation-081905a-192432","2","-1","1","claude-sonnet-4.6","Summary observation generated from extracted.md because the prepared observation seed list was sparse.","study-summary","1905"
"ra-web-site-search-3910-5f9297-OBS-064","ra-web-site-search-3910-5f9297","2","4","3","claude-sonnet-4.6","Validated from prepared observation seed list and source text.","market-metric",""
"ra-indbpinrevlog-rg-3865-b61078-OBS-047","ra-indbpinrevlog-rg-3865-b61078","2","0","1","claude-sonnet-4.6","Validated from prepared observation seed list and source text.","market-metric",""
"aberdeen-companyprofile-50a990-OBS-003","aberdeen-companyprofile-50a990","2","-1","1","claude-sonnet-4.6","Summary observation generated from extracted.md because the prepared observation seed list was sparse.","study-summary",""
"ilmprimerwpa-fd53e8-OBS-001","ilmprimerwpa-fd53e8","2","-1","1","claude-sonnet-4.6","Validated from prepared observation seed list and source text.","viability-prediction",""
"ma-e2open-be-2484-31191f-OBS-002","ma-e2open-be-2484-31191f","2","-1","1","claude-sonnet-4.6","Summary observation generated from extracted.md because the prepared observation seed list was sparse.","study-summary","2005"
"written-dell-ars-white-paper-prod-7-11m-343063-OBS-023","written-dell-ars-white-paper-prod-7-11m-343063","2","3","2","claude-sonnet-4.6","Validated from prepared observation seed list and source text.","market-metric","2003"
"q106-svcnetopt-overview-cb1664-OBS-002","q106-svcnetopt-overview-cb1664","2","-1","1","claude-sonnet-4.6","Summary observation generated from extracted.md because the prepared observation seed list was sparse.","study-summary","2006"
"ra-indbpinrevlog-rg-3865-b61078-OBS-041","ra-indbpinrevlog-rg-3865-b61078","2","3","2","claude-sonnet-4.6","Validated from prepared observation seed list and source text.","market-metric",""
"sars-high-tech-monday-update-monday-apri-ac0cb5-OBS-005","sars-high-tech-monday-update-monday-apri-ac0cb5","3","","","none","Corporate response","market-data","2003"
"portal-software-infranet-real-time-billing-742af3-OBS-004","portal-software-infranet-real-time-billing-742af3","3","","","none","Architectural differentiation","expert-opinion","1999"
"ca-y2k-cfo-executive-exchange-1997-c59ca4-OBS-003","ca-y2k-cfo-executive-exchange-1997-c59ca4","3","","","none","","viability-prediction","1997"
"1998-y2k-report-f512fb-OBS-027","1998-y2k-report-f512fb","3","","","none","Computer Horizons wound down by 2007; INTO 2000/Bridging Data dissolved; category disappeared","actual-outcome","2000"
"dec-blue-monday-internal-sales-training-dectp-vs-ibm-0021cc-OBS-024","dec-blue-monday-internal-sales-training-dectp-vs-ibm-0021cc","3","","","none","Database story at Blue Monday.","expert-opinion","1988"
"informix-competitive-update-kastner-rdbms-jungle-25604a-OBS-005","informix-competitive-update-kastner-rdbms-jungle-25604a","3","","","none","","market-data","1994"
"informix-competitive-update-kastner-rdbms-jungle-25604a-OBS-002","informix-competitive-update-kastner-rdbms-jungle-25604a","3","","","none","Behind Oracle, Sybase, Ingres in revenue","market-data","1994"
"sars-high-tech-monday-update-monday-apri-ac0cb5-OBS-001","sars-high-tech-monday-update-monday-apri-ac0cb5","3","","","none","Kastner to Dow Jones Newswires, cited in Thomson Financial update","expert-opinion","2003"
"1997-viasoft-y2k-c2e540-OBS-004","1997-viasoft-y2k-c2e540","3","","","none","Eliminates need for enterprise to separately manage multiple Y2K vendors","framework-factor","1997"
"tighten-disease-tracking-sars-latimes-20-0568b4-OBS-008","tighten-disease-tracking-sars-latimes-20-0568b4","3","","","none","Post-9/11 biodefense framing presages 2020s public-health-security discourse","topic-insight","2003"
