"obs_id","study_id","batch","existing_score","existing_confidence","existing_model","claim_text","observation_type","year_observed"
"bm-compliance-traceability-3702-c02e4b-OBS-011","bm-compliance-traceability-3702-c02e4b","1","4","2","sonar-reasoning-pro","Best in class manufacturers are more than twice as likely as other manufacturers to integrate disparate software solutions.","viability-prediction",""
"written-outsourcing-application-development-and-maintenance-0877e6-OBS-035","written-outsourcing-application-development-and-maintenance-0877e6","1","4","3","sonar-reasoning-pro","Best in Class companies can get better results from outsourcing ─ and for their IT groups ─ by hanging onto strategic work and involving the business units in helping manage outsourcing providers.","analytical-claim",""
"bm-manufacturing-intelligence-3594-578435-OBS-013","bm-manufacturing-intelligence-3594-578435","1","4","3","sonar-reasoning-pro","By creating a unified view, manufacturers can leverage existing data sources from plant or shop floor data collection and execution systems, as well as enterprise level data such as orders, schedules and inventory from enterprise applications (Figure 2).","market-metric",""
"mobility-management-jb-3822-93c2b3-OBS-011","mobility-management-jb-3822-93c2b3","1","3","3","sonar-reasoning-pro","4. **Implement technology.** 74% of our respondents identify asset management and inventory tracking as their second biggest challenges.","market-metric",""
"written-dell-asset-recovery-services-2-0abe18-OBS-024","written-dell-asset-recovery-services-2-0abe18","1","4","3","sonar-reasoning-pro","A service such as Dell’s ARS saves $1.54 million and eliminates an e-waste headache.","market-metric",""
"ra-lbs-sd-3599-736223-OBS-029","ra-lbs-sd-3599-736223","1","4","3","sonar-reasoning-pro","GPS handhelds with data and voice are used by 64% of best-in-class and 42% report the use of AVL in their field service.","market-metric","2006"
"bm-compliance-traceability-3702-c02e4b-OBS-014","bm-compliance-traceability-3702-c02e4b","1","3","3","sonar-reasoning-pro","Best in class manufacturers are more than twice as likely as other manufacturers to have compliance and traceability centrally managed at the corporate level.","viability-prediction",""
"ra-scinnovator-be-3028-140f1e-OBS-042","ra-scinnovator-be-3028-140f1e","1","3","2","sonar-reasoning-pro","Companies such as Rich Products, a $2 billion food manufacturer, and Panasonic’s consumer electronics division are using managed services today from their supply chain technology vendors.","market-metric",""
"ra-procurementoutsourcing-rs-sb-3100-b7f944-OBS-009","ra-procurementoutsourcing-rs-sb-3100-b7f944","1","4","2","sonar-reasoning-pro","Outsourcing within the procurement function is growing: Within a year, enterprises that are already outsourcing will have farmed out an average of 21% of their procurement activities, up from 18% today.","viability-prediction",""
"oracle-wp-prod-15ac4a-OBS-012","oracle-wp-prod-15ac4a","1","4","3","sonar-reasoning-pro","Beneficial Life reported that more than 50% of its IT staff is involved in new product customization, including integration; however, when there is a very close match between the product to be integrated — the same data models, application programming interfaces (APIs), and a close fit with the architecture — the cost of integration is very close to the same as the cost of the software.","market-metric","2001"
"ra-indbpinrevlog-rg-3865-b61078-OBS-027","ra-indbpinrevlog-rg-3865-b61078","2","2","2","claude-sonnet-4.6","**Blue Coat Systems** — a $200M provider in the secure content and application delivery market — manufactures both hardware and software intended to help IT organizations optimize security and accelerate performance.","market-metric",""
"q406-endpointnac-66d658-OBS-004","q406-endpointnac-66d658","2","3","2","claude-sonnet-4.6","The technologies and processes that are being used by best in class organizations","analytical-claim","2006"
"09010005-d36601-OBS-001","09010005-d36601","2","4","3","claude-sonnet-4.6","The combined HP/Compaq will have one-third of its $87 billion in revenues in what HP calls “access devices,” which include desktop PCs, laptops and notebooks, and personal digital assistants (PDAs) such as iPaq and Jornada.","viability-prediction","2001"
