"obs_id","study_id","model","prescience_score","confidence","rationale","scored_at","scorer_version","source_pass","elapsed_sec","parse_ok"
"vitria-testimonials-kastner-bpa-soa-rese-93ccae-OBS-004","vitria-testimonials-kastner-bpa-soa-rese-93ccae","sonar-reasoning-pro","0","3","The statement simply lists contemporaneous reference customers and partners and does not articulate any forward-looking market trajectory, technology outcome, or adoption pattern that could later be validated or falsified. Because it functions as static 2007 marketing collateral rather than a prediction or characterization of future trends, there is no meaningful way to score its prescience against developments through the 2010–2026 period.","2026-06-14T18:21:07Z","v6","pass_c_sonar_v1","6.34","true"
"ca-jasmine-ii-brochure-kastner-endorseme-6588be-OBS-004","ca-jasmine-ii-brochure-kastner-endorseme-6588be","sonar-reasoning-pro","0","2","The phrase ""contract-monitoring-system-using-Neugents"" appears to be a terse label for an already-deployed Miami-Dade use case rather than a forward-looking, falsifiable prediction about how the broader market would evolve. While AI- and machine-learning-based contract analytics and compliance monitoring did become common in the 2010s and 2020s (e.g., tools like Kira Systems, Seal/DocuSign’s AI, and various procurement-fraud analytics in ERP suites), this specific fragment does not state a clear trajectory, scope, or expectation that can be meaningfully tested for prescience. With only this fragment, the claim is too underspecified to score as right or wrong rather than simply descriptive.","2026-06-14T18:21:15Z","v6","pass_c_sonar_v1","8.53","true"
"perspecta-inc-september-1997-b8e81d-OBS-003","perspecta-inc-september-1997-b8e81d","sonar-reasoning-pro","4","3","By the early 2000s, enterprise adoption of Java for server-side applications (J2EE, later Spring and related frameworks) and web-based delivery over Internet/intranet/extranet architectures had become the dominant model for business software, validating a focus on those markets. From portals and B2B extranets to later API-driven and mobile-friendly front ends, organizations consistently sought more effective ways to access and navigate information over the web. The only partial miss is that client-side Java (e.g., applets) lost out to JavaScript/HTML5 and native/mobile interfaces, but the underlying direction of Java- and web-enabled access to information-intensive systems was largely correct.","2026-06-14T18:21:40Z","v6","pass_c_sonar_v1","24.81","true"
"hptpc92-2fd423-obs-007","hptpc92-2fd423","sonar-reasoning-pro","0","3","The claim text is entirely missing, so there is no concrete prediction or characterization to compare against subsequent industry events. Without knowing what was asserted about HP, competitive position, or TPC benchmarks, it cannot be evaluated against later developments such as the rise of TPC-C as the dominant OLTP benchmark, the obsolescence of TPC-A/B, or shifts in enterprise database and server competition through the 2000s and 2010s. Because no substantive content is available, its prescience relative to these developments cannot be judged.","2026-06-14T18:21:46Z","v6","pass_c_sonar_v1","5.07","true"
"1997-peoplesoft-works-the-internet-452445-OBS-005","1997-peoplesoft-works-the-internet-452445","sonar-reasoning-pro","0","3","The claim only posits a generic 'people layer' focused on how users access information via the Internet, without specifying concrete behaviors, technologies, or business impacts that could later be validated or falsified. While user-centered design, web usability, and personalization did become major disciplines in the 2000s–2010s (e.g., widespread UX roles, mobile-centric design, and search-driven information access), the statement is so high-level and non-specific that it effectively applies to almost any phase of Internet evolution, making its prescience impossible to meaningfully assess.","2026-06-14T18:21:50Z","v6","pass_c_sonar_v1","4.30","true"
"maxtor-ramp-interview-guide-first-draft-c68ebd-OBS-029","maxtor-ramp-interview-guide-first-draft-c68ebd","sonar-reasoning-pro","3","2","The underlying assumption is that organizations treat a ""maximum acceptable % full"" threshold as an explicit management policy variable worth tracking, which did remain true as storage resource management matured through the 2000s and 2010s. Enterprise arrays, virtualization platforms, and cloud services all institutionalized utilization thresholds (for example, common 70–80–90% alert levels) as standard capacity-planning practice, but this was more a continuation and formalization of existing best practice than a novel or uniquely forward-looking insight. Because the statement is generic and not clearly predictive, it can only be judged as broadly consistent with how storage management evolved, not remarkably prescient.","2026-06-14T18:21:58Z","v6","pass_c_sonar_v1","7.63","true"
"1998-microsoft-nt-windows-2000-multi-user-computing-5f91e4-OBS-002","1998-microsoft-nt-windows-2000-multi-user-computing-5f91e4","sonar-reasoning-pro","3","3","Multi-user architectures such as Windows Terminal Services, Citrix MetaFrame/Presentation Server/XenApp, and later Remote Desktop Services and VDI did enable much more centralized application deployment and user session management, reducing per-PC administration in many enterprises. However, enterprise IT from the 2000s through the 2020s evolved toward fleets of PCs, laptops, mobile devices, and cloud/SaaS services managed by directories and management platforms (e.g., Active Directory, SCCM/ConfigMgr, Intune, MDM, SaaS admin consoles) rather than from a single central server. The claim correctly anticipates the value of centralization but overstates its scope and underestimates the continued and growing role of distributed endpoints and multi-server/cloud architectures, so it is only partially borne out by subsequent history.","2026-06-14T18:22:41Z","v6","pass_c_sonar_v1","42.81","true"
"casale-evp-4-9bd4e6-OBS-004","casale-evp-4-9bd4e6","sonar-reasoning-pro","0","3","The claim is only a bare numeric value, “10.0%”, with no indication of what is being measured (e.g., growth rate, margin, cost ratio, cohort share) or over what time horizon, industry, or sample. Without that semantic context, it cannot be mapped to any specific, historically verifiable trend in hypergrowth company P&Ls from the 1980s through the 2010–2026 period. Because essentially any later outcome could be compatible with some unstated 10% benchmark, the prescience of this observation cannot be meaningfully assessed.","2026-06-14T18:22:48Z","v6","pass_c_sonar_v1","6.24","true"
"inovant-ramp-interview-for-maxtor-projec-e7f75d-OBS-019","inovant-ramp-interview-for-maxtor-projec-e7f75d","sonar-reasoning-pro","0","3","The statement describes a point-in-time operational issue (acceptable backup or batch window but an unacceptable job failure rate) in a specific 2003 Inovant/Visa environment, without extrapolating a broader trend or future state. Subsequent history of enterprise storage and backup (e.g., improvements in RAID reliability, backup software, and later cloud-based backup and DR services) does not hinge on or validate this specific metric, and the claim does not make a generalizable prediction that can be tested over 2010–2026. As such, it is too narrow and situational to assess for prescience against industry-wide outcomes.","2026-06-14T18:22:54Z","v6","pass_c_sonar_v1","5.24","true"
"aberdeen-1995-limd-technology-OBS-045","aberdeen-1995-limd-technology","sonar-reasoning-pro","0","2","The claim text is not provided, only a date, so there is no substantive assertion to compare against subsequent technology developments. Without knowing what was said about LIMD technology, its projected performance, or adoption, it is impossible to judge whether later history (e.g., the evolution of memory, storage, or related enterprise systems through the 2000s and 2010s) confirms or contradicts it. As a result, the prescience of this observation cannot be assessed.","2026-06-14T18:23:01Z","v6","pass_c_sonar_v1","6.96","true"
